timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5020.78,0,0,0,0,0,0,0,54,0,0,11,0,3,2097278,2,1,2,4,0,2,1848,0,22,49824,0,0,1828,0,0,2,1,4,4,762,1,0,0,73,0,0,2,1,0,73389,73389,4,4,4,0,21,3,0,0,0,0,0,0,0,0,0
10030.92,5,8192,2,9605,632393252,1,0,54,45,150690,11,2350,4,10997868,92,1,3,1443,2980,2,1878,45,5776,3481504,3982026,489085,189085305,45,146,2,1,4,4,762,1,188260764,185036469,4830076,14353211,14369595,2,1,631541284,73389,73389,4,4,4,14353211,21,3,14270,507935,240913,6859,1438,188260764,143831,3740759,675
15035.64,5,8192,2,37426,2465492032,2,10516575,54,45,485950,11,9937,5,10997868,92,1,4,5532,3188,2,1884,45,22146,81618764,12558544,545355,727074981,45,146,2,1,4,4,762,1,724083100,720952727,14717985,56011568,56027952,2,1,2464508992,73389,73389,4,4,4,56011568,21,3,22548,1147672,394848,12629,5526,724083100,473321,12163495,675
20041.20,5,8192,2,69130,4554659812,2,10516575,54,45,876187,11,18585,5,10997868,92,1,4,10191,3314,2,1884,45,40798,160306620,21580913,545587,1340253182,45,146,2,1,4,4,762,1,1334747548,1331650207,25202815,103506059,103506059,2,1,4554266596,73389,73389,4,4,4,103506059,21,3,23239,1837255,487574,18696,10185,1334747548,857491,21093585,675
25046.62,5,8192,2,100955,6651757448,2,10516575,54,45,1257853,11,27264,5,10997868,92,1,4,14870,3371,2,1884,45,59534,256012116,30605738,546517,1956063706,45,146,2,1,4,4,762,1,1948033436,1944719904,35657701,151164390,151164390,2,1,6651233160,73389,73389,4,4,4,151164390,21,3,24828,2509098,573746,24726,14864,1948033436,1233127,30032604,675
30061.26,5,8192,2,119070,7845312936,2,10516575,54,45,1524936,11,32205,5,10997868,92,1,4,17531,15721,2,1884,45,70186,296095204,39133185,1488371,2306381181,45,146,2,1,4,4,762,1,2296816028,2293589495,46016576,178293630,178293630,2,1,7844919720,73389,73389,4,4,4,178293630,21,3,29213,3466112,831887,36677,17525,2296816028,1488259,38302487,675
35072.42,5,8192,2,136890,9019535304,2,10516575,54,45,1783668,11,37065,5,10997868,92,1,4,20148,20097,2,1884,45,80658,319373132,47708763,2426162,2650908424,45,146,2,1,4,4,762,1,2639831452,2636825763,56381725,204980502,204980502,2,1,9018421192,73389,73389,4,4,4,204964118,21,3,33905,4394255,1138288,48004,20142,2639831452,1735664,46570992,675
40082.99,5,8192,2,154265,10164594152,2,10516575,54,45,2075752,11,41805,5,10997868,92,1,4,22703,25371,2,1884,45,90878,325457228,56299978,3356963,2987271911,45,146,2,1,4,4,762,1,2974720412,2971483137,66768331,230995630,231012014,2,1,10163807720,73389,73389,4,4,4,230995630,21,3,39085,5350143,1412859,59562,22697,2974720412,2016190,54886047,675
45093.09,5,8192,2,171252,11283435292,2,10516575,55,45,2377476,11,46488,5,11263320,92,1,4,25199,33145,2,1884,45,100866,348463116,64875026,4265251,3315214810,45,146,2,1,4,4,762,1,3301216082,3298585420,77163515,256431285,256431285,2,1,11282255644,73389,73389,4,4,4,256414901,21,3,44716,6304893,1735475,71350,25193,3301216082,2306126,63138984,675
50103.48,5,8192,2,188648,12429604944,2,10516575,55,45,2690169,11,51234,5,11263320,92,1,4,27753,38118,2,1884,45,111086,371464620,73519096,5146657,3651440289,45,146,2,1,4,4,762,1,3635973970,3633603801,87562651,282473148,282489532,2,1,12428818512,73389,73389,4,4,4,282473148,21,3,46910,7254768,2036693,82876,27747,3635973970,2607293,71481745,675
55112.13,5,8192,2,206395,13599043184,2,10516575,55,45,3007716,11,56073,5,11263320,92,1,4,30361,43285,2,1884,45,121518,377688876,82123828,6077740,3994772196,45,146,2,1,4,4,762,1,3977809746,3975455597,97984071,309061716,309061716,2,1,13598715504,73389,73389,4,4,4,309061716,21,3,51354,8228393,2263867,94953,30355,3977809746,2912763,79859714,675
60122.94,5,8192,2,224325,14780474512,2,10516575,55,45,3326923,11,60997,5,11263320,92,1,4,32997,50316,2,1884,45,132074,434798372,90638281,6956516,4341796708,45,146,2,1,4,4,762,1,4323315538,4320846402,108256674,335896044,335912428,2,1,14779425936,73389,73389,4,4,4,335896044,21,3,53820,9185423,2489956,106529,32991,4323315538,3220394,88147939,675
65148.55,5,8192,2,242566,15982552988,2,10516575,55,45,3647190,11,65938,5,11263320,92,1,4,35677,59335,2,1884,45,142798,458354956,99436972,7830736,4694604960,45,146,2,1,4,4,762,1,4674588498,4672239901,118825461,363227925,363244309,2,1,15982028700,73389,73389,4,4,4,363227925,21,3,57725,10134184,2695324,117668,35671,4674588498,3529522,96741274,675
70155.05,5,8192,2,266380,17551721756,2,10516575,55,45,4013652,11,72432,5,11263320,92,1,4,39178,63614,2,1884,45,156826,569001916,108140389,8407599,5155441713,45,146,2,1,4,4,762,1,5133471570,5130949890,129312530,398892341,398892341,2,1,17550542108,73389,73389,4,4,4,398875957,21,3,60475,11046154,2893228,129607,39172,5133471570,3884045,105246247,675
75162.63,5,8192,2,295502,19470879228,2,10516575,56,45,4372835,11,80482,5,11528772,92,1,4,43454,63992,2,1884,45,173950,664073028,115139265,8408007,5718154200,45,146,2,1,4,4,762,1,5693935442,5691962743,137505901,442502109,442518493,2,1,19470092796,73389,73389,4,4,4,442502109,21,3,64014,11711325,3004397,138378,43449,5693935442,4234457,112134429,675
80171.03,5,8192,2,314900,20749048308,2,10516575,56,45,4688127,11,85719,5,11528772,92,1,4,46305,70963,2,1884,45,185354,670809732,125785036,9173365,6093434665,45,146,2,1,4,4,762,1,6067621714,6065636429,150149464,471560343,471560343,2,1,20748655092,73389,73389,4,4,4,471560343,21,3,72121,12621442,3293519,149078,46299,6067621714,4539049,122491431,675
85179.26,5,8192,2,332965,21939068160,2,10516575,57,45,4983837,11,90696,5,11794224,92,1,4,48958,78247,2,1884,45,195970,694220868,134320411,10113566,6442230639,45,146,2,1,4,4,762,1,6414898468,6413461464,160527448,498597312,498597312,2,1,21938281728,73389,73389,4,4,4,498597312,21,3,74214,13564232,3607445,160520,48952,6414898468,4823317,130711365,675
90183.91,5,8192,2,362328,23873754356,2,10516575,57,45,5393550,11,98706,5,11794224,92,1,4,53273,80947,2,1884,45,213254,807040708,142979442,10508348,7010157427,45,146,2,1,4,4,762,1,6980474148,6979003860,171052015,542577879,542577879,2,1,23873426676,73389,73389,4,4,4,542577879,21,3,75115,14467570,3758105,170270,53267,6980474148,5223280,139219833,675
95189.68,5,8192,2,394264,25978126488,2,10516575,57,45,5794754,11,107450,5,11794224,92,1,4,57968,81223,2,1884,45,232038,834926748,151930123,10508614,7628073837,45,146,2,1,4,4,762,1,7595857188,7594167623,181431807,590400050,590416434,2,1,25977602200,73389,73389,4,4,4,590400050,21,3,76985,15182158,3852439,177687,57962,7595857188,5617067,148076221,675
