timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.12,8192,2,30714,2023225332,2,26,54,0,45,344593,9,14,8109,5,10997868,92,1,4,4546,127,2,14,45,18192,27839080,9094315,923,597251758,36,53,9,2,1,4,4,387,1,594846108,591633933,10395211,45963031,45979415,2,1,2022373364,73389,73389,4,4,4,45963031,11,3,20343,627333,191435,7550,4540,594846108,337043,8902927,222
10016.97,8192,2,61200,4032039360,2,26,54,0,45,668430,9,14,16422,5,10997868,92,1,4,9027,192,2,14,45,36132,106965344,18186823,1518,1186981019,36,53,9,2,1,4,4,387,1,1182179740,1178903560,20788589,91626832,91626832,2,1,4031580608,73389,73389,4,4,4,91626832,11,3,21915,1221464,286879,16077,9021,1182179740,652353,17901038,222
15023.87,8192,2,91582,6034037644,2,26,54,0,45,988477,9,14,24708,5,10997868,92,1,4,13491,329,2,14,45,53988,134078512,27301993,1895,1774341779,36,53,9,2,1,4,4,387,1,1767154076,1764139503,31179462,137110409,137126793,2,1,6032857996,73389,73389,4,4,4,137110409,11,3,23760,1807255,367650,24455,13485,1767154076,964022,26935971,222
20029.51,8192,2,121205,7986028652,2,26,54,0,45,1308264,9,14,32817,5,10997868,92,1,4,17846,402,2,14,45,71420,177904968,36110656,2420,2347593080,36,53,9,2,1,4,4,387,1,2338103708,2334727121,41182838,181490225,181490225,2,1,7984849004,73389,73389,4,4,4,181473841,11,3,23773,2383666,452027,32684,17840,2338103708,1275580,35660550,222
25042.65,8192,2,139317,9179652984,2,26,54,0,45,1581542,9,14,37728,5,10997868,92,1,4,20504,3037,2,14,45,82060,218247648,45083304,899566,2697506803,36,53,9,2,1,4,4,387,1,2686493084,2683601778,51928399,208609114,208625498,2,1,9178801016,73389,73389,4,4,4,208609114,11,3,26721,3271556,641262,42583,20498,2686493084,1538959,44445677,222
30052.93,8192,2,157026,10346335404,2,26,54,0,45,1866394,9,14,42558,5,10997868,92,1,4,23109,11781,2,14,45,92488,258369752,53635368,1875967,3040432433,36,53,9,2,1,4,4,387,1,3027935644,3024629660,62324010,235126113,235142497,2,1,10345548972,73389,73389,4,4,4,235126113,11,3,29026,4224718,925244,53496,23103,3027935644,1812898,52713615,222
35070.23,8192,2,174625,11505550028,2,26,55,0,45,2152076,9,14,47409,5,11263320,92,1,4,25693,19635,2,14,45,102824,264520088,62200861,2751938,3379948780,36,53,9,2,1,4,4,387,1,3365965650,3363479824,72696321,261468921,261485305,2,1,11504632524,73389,73389,4,4,4,261468921,11,3,30647,5120815,1181732,64215,25687,3365965650,2087861,61022333,222
40081.86,8192,2,192139,12659718380,2,26,55,0,45,2454374,9,14,52183,5,11263320,92,1,4,28266,38202,2,14,45,113120,287461944,70759316,3733170,3718671837,36,53,9,2,1,4,4,387,1,3703213906,3700861784,83116343,287713425,287713425,2,1,12658669804,73389,73389,4,4,4,287697041,11,3,33225,6134111,1406555,75221,28260,3703213906,2379153,69355596,222
45087.88,8192,2,207112,13646297948,2,26,55,0,45,2627030,9,14,56322,5,11263320,92,1,4,30469,39298,2,14,45,121932,292576824,78031402,3958351,4008639455,36,53,9,2,1,4,4,387,1,3991965522,3989305042,93015249,310132709,310132709,2,1,13645118300,73389,73389,4,4,4,310116325,11,3,41042,6590511,1544568,89529,30463,3991965522,2537501,76489790,222
50093.83,8192,2,222577,14665386680,2,26,55,0,45,2778225,9,14,60540,5,11263320,92,1,4,32740,39658,2,14,45,131016,297809208,82760626,3958630,4307533907,36,53,9,2,1,4,4,387,1,4289630034,4287209592,98180871,333295306,333295306,2,1,14664272568,73389,73389,4,4,4,333278922,11,3,41043,6925725,1625790,108990,32734,4289630034,2669235,81138357,222
55099.74,8192,2,238511,15715477248,2,26,55,0,45,2932718,9,14,64884,5,11263320,92,1,4,35083,39945,2,14,45,140388,303207480,87489348,3959113,4615900134,36,53,9,2,1,4,4,387,1,4596731730,4594162229,103358778,357152064,357152064,2,1,15713704468,73389,73389,4,4,4,357129647,11,3,41044,7270798,1704806,128126,35077,4596731730,2804592,85788128,222
60105.66,8192,2,254169,16747214428,2,26,55,0,45,3086832,9,14,69156,5,11263320,92,1,4,37383,40280,2,14,45,149588,308506680,92221173,3959693,4918610629,36,53,9,2,1,4,4,387,1,4898197330,4895765115,108529079,380609573,380609573,2,1,16746100316,73389,73389,4,4,4,380593189,11,3,41201,7610836,1801008,147315,37377,4898197330,2939517,90423663,222
65112.12,8192,2,269623,17765316812,2,26,55,0,45,3235135,9,14,73371,5,11263320,92,1,4,39654,40626,2,14,45,158672,313739064,96961178,3960062,5217506126,36,53,9,2,1,4,4,387,1,5195861842,5193354037,113698128,403749753,403749753,2,1,17764268236,73389,73389,4,4,4,403733369,11,3,41212,7943953,1881375,166291,39648,5195861842,3068844,95083184,222
