timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.37,1,8192,2,23874,1572570024,2,23,54,45,244041,17,6297,5,10997868,92,1,4,3540,95,2,15,45,14168,25496424,4728611,637,464829808,45,69,6,1,2,1,4,4,380,1,462987676,459899970,5437739,35717886,35734270,2,1,1571586984,73389,73389,4,4,4,35717886,11,3,27212,514642,206684,19397,3534,462987676,224644,4522201,369
10018.66,1,8192,2,47645,3138920744,2,23,54,45,488651,17,12780,5,10997868,92,1,4,7035,197,2,15,45,28148,33548904,16205723,1685,924768517,45,69,6,1,2,1,4,4,380,1,921084316,917830276,19031423,71316766,71333150,2,1,3137937704,73389,73389,4,4,4,71316766,11,3,36845,1029638,355390,39151,7029,921084316,449500,15850931,369
15026.23,1,8192,2,72116,4751412116,2,23,54,45,735126,17,19455,5,10997868,92,1,4,10631,283,2,15,45,42532,41834088,22590970,2148,1397975303,45,69,6,1,2,1,4,4,380,1,1392419228,1389119869,26502149,107970255,107986639,2,1,4750691220,73389,73389,4,4,4,107970255,11,3,40962,1550575,453775,56927,10625,1392419228,678199,22138239,369
20032.92,1,8192,2,102676,6765075808,2,23,54,45,1074576,17,27735,5,10997868,92,1,4,15121,338,2,15,45,60512,154419780,35184295,2719,1988750225,45,69,6,1,2,1,4,4,380,1,1980801436,1977796632,41288056,153732360,153748744,2,1,6764223840,73389,73389,4,4,4,153732360,11,3,48382,2194419,574254,68341,15115,1980801436,1006235,34611283,369
25043.77,1,8192,2,121430,8000774252,2,23,54,45,1345671,17,32850,5,10997868,92,1,4,17877,5812,2,15,45,71544,177760764,43715330,919677,2351701958,45,69,6,1,2,1,4,4,380,1,2342166940,2339015389,51644212,181817905,181834289,2,1,7999987820,73389,73389,4,4,4,181817905,11,3,51534,3128414,793640,79334,17872,2342166940,1266337,42922362,369
30054.58,1,8192,2,139648,9201345400,2,23,54,45,1613838,17,37818,5,10997868,92,1,4,20556,14618,2,15,45,82264,201278180,52319026,1819195,2704398765,45,69,6,1,2,1,4,4,380,1,2693308828,2689979467,62010835,209100634,209117018,2,1,9200427896,73389,73389,4,4,4,209100634,11,3,58374,4034596,1059442,90838,20550,2693308828,1523000,51260210,369
35060.86,1,8192,2,169624,11176211780,2,23,55,45,1979537,17,46046,5,11263320,92,1,4,24959,16801,2,15,45,99888,262358868,61246237,1914970,3283246723,45,69,6,1,2,1,4,4,380,1,3269758802,3267239525,72474727,253994387,253994387,2,1,11175753028,73389,73389,4,4,4,253994387,11,3,59251,4720461,1181279,98595,24953,3269758802,1880942,60066434,369
40067.15,1,8192,2,203278,13393705664,2,23,55,45,2358548,17,55224,5,11263320,92,1,4,29904,16968,2,15,45,119676,307648140,70254645,1915742,3934057239,45,69,6,1,2,1,4,4,380,1,3917909842,3915428098,82928166,304384528,304400912,2,1,13392919232,73389,73389,4,4,4,304384528,11,3,59447,5391289,1265448,105988,29898,3917909842,2252560,68991625,369
45073.47,1,8192,2,237617,15656357160,2,23,55,45,2762530,17,64590,5,11263320,92,1,4,34949,17071,2,15,45,139884,438675172,79256791,1916614,4598021324,45,69,6,1,2,1,4,4,380,1,4579168082,4576898634,93417462,355812894,355829278,2,1,15655767336,73389,73389,4,4,4,355812894,11,3,59578,6098383,1369599,112393,34943,4579168082,2650137,77890080,369
50079.62,1,8192,2,277059,18255297028,2,23,55,45,3222476,17,75345,5,11263320,92,1,4,40745,17216,2,15,45,163120,673014588,87884434,1917403,5360801164,45,69,6,1,2,1,4,4,380,1,5338861394,5336595029,103981199,414885667,414885667,2,1,18254969348,73389,73389,4,4,4,414885667,11,3,59593,6910217,1487450,119301,40739,5338861394,3103175,86400183,369
55090.06,1,8192,2,315592,20794664672,2,23,56,45,3642748,17,85910,5,11528772,92,1,4,46410,18634,2,15,45,185812,822285028,96426589,1983776,6106251119,45,69,6,1,2,1,4,4,380,1,6081291200,6078952792,114493210,472582184,472598568,2,1,20793616096,73389,73389,4,4,4,472582184,11,3,59717,7729561,1608848,126803,46404,6081291200,3515945,94821492,369
60102.93,1,8192,2,333592,21980159232,2,23,57,45,3923024,17,90872,5,11794224,92,1,4,49052,26547,2,15,45,196388,862525644,104858043,2995369,6453709518,45,69,6,1,2,1,4,4,380,1,6427219236,6425480080,124861129,499531200,499547584,2,1,21979372800,73389,73389,4,4,4,499531200,11,3,62250,8673783,1880533,138832,49046,6427219236,3784192,102980736,369
