timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.94,1,8192,2,41268,2718608604,2,33,54,45,415967,2,10986,5,10997868,92,1,4,6098,357,2,13,45,24440,202677368,8585837,899,801456188,45,25,2,1,4,4,353,1,798269852,794963466,10489352,61776133,61776133,2,1,2717428956,73389,73389,4,4,4,61759749,9,3,11415,769520,172754,6880,6092,798269852,409087,8413610,175
10016.52,1,8192,2,81885,5395084176,2,33,54,45,783293,2,22065,5,10997868,92,1,4,12066,763,2,13,45,48360,440099520,17247933,1253,1586693639,45,25,2,1,4,4,353,1,1580376476,1577293961,20952789,122597676,122614060,2,1,5394297744,73389,73389,4,4,4,122597676,9,3,11817,1466795,268050,13596,12060,1580376476,769697,16981100,175
15022.66,1,8192,2,122697,8084339268,2,33,54,45,1154045,2,33193,5,10997868,92,1,4,18064,1284,2,13,45,72416,710663240,25894645,2063,2376138405,45,25,2,1,4,4,353,1,2366677404,2363463264,31416312,183714131,183730515,2,1,8083421764,73389,73389,4,4,4,183714131,9,3,11842,2164965,355667,20251,18058,2366677404,1133794,25540641,175
20027.14,1,8192,2,163463,10770579704,2,33,54,45,1534224,2,44313,5,10997868,92,1,4,24053,1799,2,13,45,96424,947010928,34530928,2555,3164265743,45,25,2,1,4,4,353,1,3151667612,3148654644,41876154,244765050,244781434,2,1,10769662200,73389,73389,4,4,4,244765050,9,3,11877,2873716,451970,26926,24047,3151667612,1507298,34080787,175
25033.29,1,8192,2,203877,13433227180,2,33,55,45,1913360,2,55386,5,11263320,92,1,4,29992,2063,2,13,45,120228,1165090144,43163309,3241,3945157371,45,25,2,1,4,4,353,1,3929444178,3927012275,52356322,305291681,305291681,2,1,13432113068,73389,73389,4,4,4,305275297,9,3,11956,3579936,559573,33489,29986,3929444178,1879871,42605860,175
30039.69,1,8192,2,244455,16107146848,2,33,55,45,2282636,2,66453,5,11263320,92,1,4,35956,2396,2,13,45,144140,1419530816,51808955,3884,4730002894,45,25,2,1,4,4,353,1,4711157586,4708638810,62817590,366064072,366064072,2,1,16106819168,73389,73389,4,4,4,366064072,9,3,11981,4289575,655291,39988,35950,4711157586,2242648,51155770,175
35045.49,1,8192,2,284408,18739841064,2,33,56,45,2632010,2,77403,5,11528772,92,1,4,41825,2654,2,13,45,167684,1722636488,60441794,4201,5502352857,45,25,2,1,4,4,353,1,5480419154,5478283473,73262752,425896542,425896542,2,1,18739447848,73389,73389,4,4,4,425896542,9,3,12073,4977126,763907,46464,41819,5480419154,2585546,59680008,175
40051.10,1,8192,2,317849,20942851492,2,33,57,45,2989723,2,86577,5,11794224,92,1,4,46737,2869,2,13,45,187364,1869785296,69397954,4962,6148338646,45,25,2,1,4,4,353,1,6123787556,6122213512,83712404,475959003,475975387,2,1,20942196132,73389,73389,4,4,4,475959003,9,3,12157,5625611,841710,53212,46731,6123787556,2936511,68557837,175
45065.77,1,8192,2,347940,22925778800,2,33,57,45,3365614,2,94782,5,11794224,92,1,4,51158,3136,2,13,45,205052,1896907608,78416690,77645,6730184565,45,25,2,1,4,4,353,1,6703256868,6701910132,94165822,521032980,521032980,2,1,22924730224,73389,73389,4,4,4,521016596,9,3,12175,6313114,942243,61549,51152,6703256868,3304065,77475630,175
50076.04,1,8192,2,366327,24137160080,2,33,57,45,3684806,2,99798,5,11794224,92,1,4,53861,10266,2,13,45,215872,1937674248,86889381,1021333,7086026526,45,25,2,1,4,4,353,1,7057544484,7055986035,104572298,548555436,548571820,2,1,24136439184,73389,73389,4,4,4,548555436,9,3,16883,7269979,1180777,72845,53855,7057544484,3611961,85710306,175
55081.35,1,8192,2,384297,25321478300,2,33,57,45,4005016,2,104754,5,11794224,92,1,4,56500,18548,2,13,45,226428,1943953416,95072180,1939767,7433438998,45,25,2,1,4,4,353,1,7403443492,7402182907,114617871,575477717,575494101,2,1,25321019548,73389,73389,4,4,4,575477717,9,3,18352,8219061,1412545,84908,56494,7403443492,3920108,93661994,175
