timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.90,1,8192,2,27224,1793442884,2,79,54,0,45,305940,9,17,7212,5,10997868,92,1,4,4033,336,2,15,45,16136,9329984,5100966,388,529683450,36,47,9,2,1,4,4,341,1,527606172,524471020,6024673,40745171,40761555,2,1,1792787524,73389,73389,4,4,4,40745171,12,3,28488,570167,151737,6013,4027,527606172,299927,4949798,204
10018.92,1,8192,2,53228,3506931848,2,79,54,0,45,588654,9,17,14302,5,10997868,92,1,4,7855,471,2,15,45,31424,18135872,9615709,600,1032605593,36,47,9,2,1,4,4,341,1,1028563356,1025386120,11372113,79688102,79704486,2,1,3506276488,73389,73389,4,4,4,79688102,12,3,28784,1103105,218914,11799,7849,1028563356,576855,9397881,204
15026.61,1,8192,2,78502,5172314080,2,79,54,0,45,862607,9,17,21195,5,10997868,92,1,4,11568,654,2,15,45,46276,26690624,14138868,1011,1521189312,36,47,9,2,1,4,4,341,1,1515233692,1512186113,16704623,117543656,117543656,2,1,5171199968,73389,73389,4,4,4,117527272,12,3,28784,1621237,297228,17236,11562,1515233692,845371,13843029,204
20035.66,1,8192,2,104056,6856046392,2,79,54,0,45,1136584,9,17,28164,5,10997868,92,1,4,15323,770,2,15,45,61296,35342144,18676403,1119,2015298999,36,47,9,2,1,4,4,341,1,2007409052,2004425755,22053451,155808810,155808810,2,1,6854866744,73389,73389,4,4,4,155792426,12,3,28786,2140824,371081,22780,15317,2007409052,1113804,18307001,204
25042.47,1,8192,2,129454,8529555088,2,79,54,0,45,1411850,9,17,35091,5,10997868,92,1,4,19057,940,2,15,45,76232,43945280,23192627,1435,2506646874,36,47,9,2,1,4,4,341,1,2496831900,2493600777,27388274,193844588,193844588,2,1,8528440976,73389,73389,4,4,4,193828204,12,3,28786,2665515,435241,28171,19051,2496831900,1383679,22759111,204
30048.80,1,8192,2,155546,10248811220,2,79,54,0,45,1690921,9,17,42207,5,10997868,92,1,4,22890,1014,2,15,45,91564,52776512,27711551,1793,3011017997,36,47,9,2,1,4,4,341,1,2999230876,2996135968,32737367,232918591,232918591,2,1,10247697108,73389,73389,4,4,4,232902207,12,3,29973,3196721,511137,33649,22884,2999230876,1657272,27202271,204
35055.52,1,8192,2,181579,11963941892,2,79,55,2,45,1986039,9,17,49359,5,11263320,92,1,4,26715,1114,2,15,45,106864,61589312,59879666,3192,3513688152,36,47,9,2,1,4,4,341,1,3499921234,3497468826,70036136,271900323,271900323,2,1,11962893316,73389,73389,4,4,4,271883939,12,3,38484,3752049,646098,39586,26709,3499921234,1946453,59236161,204
40065.61,1,8192,2,200033,13179979536,2,79,55,2,45,2296890,9,17,54339,5,11263320,92,1,4,29428,6194,2,15,45,117720,85080864,70511373,957203,3870833386,36,47,9,2,1,4,4,341,1,3855519570,3852937896,82891935,299527116,299543500,2,1,13179193104,73389,73389,4,4,4,299527116,12,3,47155,4761776,895275,53698,29422,3855519570,2243192,69619566,204
45076.77,1,8192,2,217726,14345878832,2,79,55,2,45,2601651,9,17,59163,5,11263320,92,1,4,32028,14085,2,15,45,128120,91278048,78908870,2053836,4213121111,36,47,9,2,1,4,4,341,1,4196306770,4193785295,93295018,326033764,326033764,2,1,14345485616,73389,73389,4,4,4,326033764,12,3,49541,5799625,1122973,64996,32022,4196306770,2536655,77789613,204
50086.61,1,8192,2,252343,16626749336,2,79,55,2,45,2960328,9,17,68604,5,11263320,92,1,4,37114,14675,2,15,45,148508,308132956,87709192,2175405,4882353973,36,47,9,2,1,4,4,341,1,4862807890,4860570684,103715699,377855346,377871730,2,1,16625635224,73389,73389,4,4,4,377855346,12,3,51992,6491138,1226503,72722,37108,4862807890,2887606,86486691,204
