timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.59,1,8192,2,30717,2023421940,2,33,54,0,45,419270,13,8109,5,10997868,92,1,4,4547,4238,2,15,45,18208,78959456,8417701,494353,597434946,45,23,2,1,4,4,391,1,594977180,591695606,10484733,45963031,45979415,2,1,2022373364,73389,73389,4,4,4,45963031,12,3,36295,998412,264607,11506,4542,594977180,407764,8153185,155
10026.25,1,8192,2,49441,3257166370,2,33,54,0,45,717384,13,13217,5,10997868,92,1,4,7297,12293,2,15,45,29224,153898016,16904655,1443038,959477217,45,23,2,1,4,4,391,1,955425180,952374516,20882693,74015808,74015808,2,1,3256695552,73389,73389,4,4,4,74015808,12,3,37496,1963199,496522,22861,7291,955425180,694523,16408071,155
15032.57,1,8192,2,71674,4722179752,2,33,54,0,45,1030320,13,19335,5,10997868,92,1,4,10566,14850,2,15,45,42304,178347664,23770440,1979522,1389731879,45,23,2,1,4,4,391,1,1383899548,1380619333,29213209,107308862,107325246,2,1,4721589928,73389,73389,4,4,4,107308862,12,3,38365,2761907,663264,31968,10560,1383899548,998352,23107415,155
20037.54,1,8192,2,99094,6528998596,2,33,54,0,45,1346515,13,26811,5,10997868,92,1,4,14595,14992,2,15,45,58420,187630480,28258084,1979626,1919887676,45,23,2,1,4,4,391,1,1911988636,1908796013,34588523,148377395,148377395,2,1,6527884484,73389,73389,4,4,4,148361011,12,3,38409,3325794,728958,38750,14589,1911988636,1307765,27528942,155
25042.92,1,8192,2,126936,8363739084,2,33,54,0,45,1677460,13,34404,5,10997868,92,1,4,18687,15187,2,15,45,74788,197058448,32729538,1979879,2458330831,45,23,2,1,4,4,391,1,2448335260,2445146595,39979915,190074553,190074553,2,1,8362559436,73389,73389,4,4,4,190058169,12,3,38411,3908490,805990,45444,18681,2448335260,1632016,31923036,155
30047.80,1,8192,2,154262,10164397544,2,33,54,0,45,2011659,13,41857,5,10997868,92,1,4,22702,15463,2,15,45,90848,206309008,37210944,1980036,2986646239,45,23,2,1,4,4,391,1,2974589340,2971441545,45383761,230995630,231012014,2,1,10163807720,73389,73389,4,4,4,230995630,12,3,38421,4498039,882811,52225,22696,2974589340,1959434,36327694,155
35052.58,1,8192,2,183427,12085583324,2,33,55,1,45,2353823,13,49809,5,11263320,92,1,4,26987,15612,2,15,45,107992,232960360,61921884,1981366,3549887290,45,23,2,1,4,4,391,1,3535572818,3533037095,72899489,274664901,274664901,2,1,12084534748,73389,73389,4,4,4,274648517,12,3,42650,5110216,1019845,60114,26981,3535572818,2293709,60902255,155
40065.01,1,8192,2,209823,13825027852,2,33,55,1,45,2707341,13,57009,5,11263320,92,1,4,30865,19813,2,15,45,123524,327325560,70501556,2584526,4060327508,45,23,2,1,4,4,391,1,4043870034,4041508226,83334956,314187305,314203689,2,1,13824241420,73389,73389,4,4,4,314187305,12,3,43693,6039268,1216027,71657,30859,4043870034,2635684,69286816,155
45085.36,1,8192,2,228418,15050306072,2,33,55,1,45,2979496,13,62079,5,11263320,92,1,4,33598,26247,2,15,45,134464,368937180,79018044,3545148,4420131704,45,23,2,1,4,4,391,1,4402089810,4399719233,93727310,342043474,342043474,2,1,15049191960,73389,73389,4,4,4,342027090,12,3,47682,6945706,1427564,83080,33592,4402089810,2896416,77590345,155
50096.03,1,8192,2,246942,16270931236,2,33,55,1,45,3252070,13,67133,5,11263320,92,1,4,36321,31513,2,15,45,145360,392659500,87481020,4534680,4778620169,45,23,2,1,4,4,391,1,4758998866,4756531821,104103710,369784955,369784955,2,1,16269817124,73389,73389,4,4,4,369768571,12,3,51302,7889003,1619872,93909,36315,4758998866,3158161,85861113,155
55106.27,1,8192,2,265632,17502435376,2,33,55,1,45,3520504,13,72228,5,11263320,92,1,4,39067,37806,2,15,45,156344,399201708,95946475,5495966,5140138781,45,23,2,1,4,4,391,1,5118922578,5116545023,114459144,397772196,397772196,2,1,17501255728,73389,73389,4,4,4,397755812,12,3,53882,8800726,1846036,105211,39061,5118922578,3415293,94101293,155
60112.52,1,8192,2,295348,19460521232,2,33,56,1,45,3834401,13,80386,5,11528772,92,1,4,43430,40106,2,15,45,173808,460696020,104772965,5801880,5714382110,45,23,2,1,4,4,391,1,5690789714,5688931384,124891146,442266700,442283084,2,1,19459734800,73389,73389,4,4,4,442266700,12,3,57369,9511497,2000828,112846,43424,5690789714,3721555,102773280,155
65119.63,1,8192,2,330593,21782554960,2,33,57,1,45,4150568,13,90051,5,11794224,92,1,4,48609,40149,2,15,45,194564,643019332,113751164,5803749,6395520773,45,23,2,1,4,4,391,1,6369154340,6367707484,135285285,495050620,495050620,2,1,21782227280,73389,73389,4,4,4,495050620,12,3,58397,10113067,2086259,119067,48603,6369154340,4031501,111666502,155
70131.74,1,8192,2,363350,23940997600,2,33,57,1,45,4485718,13,98985,5,11794224,92,1,4,53423,41102,2,15,45,213852,790902372,122625335,5941335,7029096236,45,23,2,1,4,4,391,1,7000134948,6998643513,145715619,544107624,544107624,2,1,23940735456,73389,73389,4,4,4,544107624,12,3,59409,10831546,2227298,126163,53417,7000134948,4359555,120400333,155
