timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.71,0,0,8192,48513,1,0,0,0,0,54,0,0,0,0,12,0,0,3,0,2097278,2,1,2,4,0,2,27,0,28,16835104,0,0,1702,0,0,0,2,1,3,5,437,1,0,0,60,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
10016.97,0,0,8192,48513,1,0,0,0,0,54,0,0,0,0,12,0,0,3,0,2097278,2,1,2,4,0,2,27,0,28,16835104,0,0,1702,0,0,0,2,1,3,5,437,1,0,0,60,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
15023.05,8192,2,8192,48513,1,15176,999352472,2,13017555,54,0,45,191504,9,12,3870,2,5,262,10997868,92,1,4,2261,235,2,298,45,9076,123923400,3393560,282,296505170,36,41,9,2,1,3,5,437,1,295346588,292350478,4094162,22702130,22702130,2,1,998893720,73389,73389,4,4,4,22702130,9,3,9320,354462,102866,6017,2255,295346588,185487,3290696,202
20029.52,8192,2,8192,48513,1,51750,3409538736,2,13017555,54,0,45,621964,9,12,13845,2,5,262,10997868,92,1,4,7636,463,2,298,45,30660,494107016,12288938,1535,1003810057,36,41,9,2,1,3,5,437,1,999858588,996898316,14621223,77480580,77480580,2,1,3408424624,73389,73389,4,4,4,77464196,9,3,9758,1157085,231512,21017,7630,999858588,600947,12058785,202
25034.64,8192,2,8192,48513,1,88428,5826275292,2,13017555,54,0,45,1043093,9,12,23850,2,5,262,10997868,92,1,4,13025,885,2,298,45,52292,833587280,21138160,2186,1712962648,36,41,9,2,1,3,5,437,1,1706205596,1703386171,25130258,132400453,132416837,2,1,5825619932,73389,73389,4,4,4,132400453,9,3,10114,1938001,362454,35051,13019,1706205596,1008042,20776998,202
30039.59,8192,2,8192,48513,1,124218,8184550428,2,13017555,54,0,45,1457659,9,12,33609,2,5,262,10997868,92,1,4,18286,1193,2,298,45,73388,1066493112,29969582,3022,2405280927,36,41,9,2,1,3,5,437,1,2395775388,2392743868,35634209,186003573,186003573,2,1,8184157212,73389,73389,4,4,4,186003573,9,3,10486,2713020,479943,49858,18280,2395775388,1407801,29491542,202
35054.06,8192,2,8192,48513,1,158017,10411812484,2,13017555,54,0,45,1880903,9,12,42830,2,5,262,10997868,92,1,4,23255,2031,2,298,45,93304,1247682752,38790305,120133,3059185457,36,41,9,2,1,3,5,437,1,3047072156,3043772385,46135269,236612739,236629123,2,1,10410960516,73389,73389,4,4,4,236612739,9,3,10907,3547375,615036,64853,23249,3047072156,1816050,38176915,202
40066.09,8192,2,8192,48513,1,175380,11555313259,2,13017555,55,0,45,2209003,9,12,47616,2,5,262,11263320,92,1,4,25802,15248,2,298,45,103492,1253738816,47315119,1082277,3393798540,36,41,9,2,1,3,5,437,1,3380252498,3378026084,56589036,262605450,262621834,2,1,11554639800,73389,73389,4,4,4,262605450,9,3,12149,4594925,853295,76643,25796,3380252498,2132360,46463221,202
45089.08,8192,2,8192,48513,1,192965,12714116568,2,13017555,55,0,45,2523674,9,12,52410,2,5,262,11263320,92,1,4,28388,24883,2,298,45,113836,1259887616,55784702,2069937,3734204887,36,41,9,2,1,3,5,437,1,3719204690,3716795526,66993961,288948258,288948258,2,1,12713723352,73389,73389,4,4,4,288948258,9,3,17233,5636322,1126192,88356,28382,3719204690,2435318,54660883,202
50095.02,8192,2,8192,48513,1,219740,14478399240,2,13017555,55,0,45,2874655,9,12,59712,2,5,262,11263320,92,1,4,32324,25541,2,298,45,129600,1354116976,64527855,2137064,4252144993,36,41,9,2,1,3,5,437,1,4235104082,4232557889,77464467,329044102,329044102,2,1,14477219592,73389,73389,4,4,4,329027718,9,3,24847,6303794,1268589,96949,32318,4235104082,2777706,63262104,202
55106.69,8192,2,8192,48513,1,239462,15778067436,2,13017555,55,0,45,3185617,9,12,65091,2,5,262,11263320,92,1,4,35223,28639,2,298,45,141200,1377749976,73200297,2913155,4633748263,36,41,9,2,1,3,5,437,1,4615081810,4612462300,87868529,358583505,358583505,2,1,15777674220,73389,73389,4,4,4,358583505,9,3,26914,7229014,1481027,107501,35217,4615081810,3078116,71722057,202
60115.61,8192,2,8192,48513,1,256643,16910146848,2,13017555,55,0,45,3475251,9,12,69777,2,5,262,11263320,92,1,4,37745,44098,2,298,45,151288,1383755544,81732494,3919053,4965747019,36,41,9,2,1,3,5,437,1,4945645394,4943363698,98246492,384314072,384314072,2,1,16909819168,73389,73389,4,4,4,384314072,9,3,30942,8242843,1701830,118956,37739,4945645394,3356295,80031712,202
65125.47,8192,2,8192,48513,1,274005,18054088276,2,13017555,55,0,45,3766070,9,12,74514,2,5,262,11263320,92,1,4,40298,53029,2,298,45,161500,1389840984,90342175,4812845,5301832523,36,41,9,2,1,3,5,437,1,5280272210,5277782975,108618438,410306783,410323167,2,1,18053498452,73389,73389,4,4,4,410306783,9,3,36099,9174146,1928100,129593,40292,5280272210,3636477,88413881,202
70140.56,8192,2,8192,48513,1,290974,19172539508,2,13017555,56,0,45,4060534,9,12,79194,2,5,262,11528772,92,1,4,42789,56926,2,298,45,171472,1429893200,99002213,5707487,5629762028,36,41,9,2,1,3,5,437,1,5606772562,5604748970,119023212,435732087,435732087,2,1,19172211828,73389,73389,4,4,4,435732087,9,3,36178,10048424,2141805,140256,42783,5606772562,3920278,96861054,202
75147.02,8192,2,8192,48513,1,319418,21046208380,2,13017555,57,1,45,4439159,9,12,87004,2,5,262,11794224,92,1,4,46969,61532,2,298,45,188212,1525361728,107793523,6080333,6179431276,36,41,9,2,1,3,5,437,1,6154196260,6152508753,129497432,478313981,478313981,2,1,21045815164,73389,73389,4,4,4,478313981,9,3,38488,10895045,2316478,151697,46963,6154196260,4287462,105477777,202
80153.25,8192,2,8192,48513,1,356537,23492111764,2,13017555,57,1,45,4893047,9,12,97128,2,5,262,11794224,92,1,4,52422,61561,2,298,45,210096,1844149136,116657599,6080929,6897046271,36,41,9,2,1,3,5,437,1,6868931876,6867433078,140046732,533895247,533911631,2,1,23491390868,73389,73389,4,4,4,533895247,9,3,38527,11699441,2450185,163599,52416,6868931876,4729448,114208541,202
85158.96,8192,2,8192,48513,1,393249,25911341996,2,13017555,57,1,45,5336867,9,12,107139,2,5,262,11794224,92,1,4,57816,61755,2,298,45,231740,2147675048,125541072,6081746,7606896270,36,41,9,2,1,3,5,437,1,7575934244,7574629631,150569097,588886689,588886689,2,1,25911014316,73389,73389,4,4,4,588886689,9,3,38542,12486248,2560361,175156,57810,7575934244,5161711,122982009,202
