timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.12,1,8192,2,39498,2602078980,2,17,54,45,423156,15,10506,5,10997868,92,1,4,5837,575,2,8,45,23392,184785848,8720559,687,767136048,45,39,2,1,4,4,312,1,764060060,760933429,10504818,59126243,59142627,2,1,2601554692,73389,73389,4,4,4,59126243,10,3,27114,792355,252266,6933,5831,764060060,416223,8468612,190
10017.01,1,8192,2,74586,4914082392,2,17,54,45,783924,15,20073,5,10997868,92,1,4,10993,1018,2,8,45,44036,281696584,17706613,1153,1445687237,45,39,2,1,4,4,312,1,1439867292,1436718935,20946894,111674754,111674754,2,1,4912968280,73389,73389,4,4,4,111658370,10,3,28620,1475147,360011,13097,10987,1439867292,770827,17347272,190
15023.17,1,8192,2,109232,7197118892,2,17,54,45,1150615,15,29521,5,10997868,92,1,4,16085,1355,2,8,45,64432,429762740,26725634,1386,2115686137,45,39,2,1,4,4,312,1,2107154844,2104091542,31411731,163551521,163567905,2,1,7196266924,73389,73389,4,4,4,163551521,10,3,29117,2164874,467543,19160,16079,2107154844,1131455,26259121,190
20036.55,1,8192,2,141055,9294085456,2,17,54,45,1501961,15,38204,5,10997868,92,1,4,20760,3653,2,8,45,83156,525334428,35706483,135766,2731091505,45,39,2,1,4,4,312,1,2720047516,2717063736,41862348,211209852,211226236,2,1,9293233488,73389,73389,4,4,4,211209852,10,3,29851,2883659,588244,26160,20754,2720047516,1475801,35118655,190
25046.87,1,8192,2,159695,10522312796,2,17,54,45,1785841,15,43285,5,10997868,92,1,4,23501,8230,2,8,45,94120,531860892,44266554,1020722,3091937235,45,39,2,1,4,4,312,1,3079315868,3076124258,52237379,239131557,239147941,2,1,10521788508,73389,73389,4,4,4,239131557,10,3,31768,3812613,798350,36392,23495,3079315868,1749449,43468623,190
30060.74,1,8192,2,177839,11717509992,2,17,55,45,2064275,15,48285,5,11263320,92,1,4,26164,13686,2,8,45,104780,572465140,52793073,1944433,3441854049,45,39,2,1,4,4,312,1,3427700562,3425429069,62620114,266299598,266299598,2,1,11717182312,73389,73389,4,4,4,266299598,10,3,32231,4748710,1007898,46208,26158,3427700562,2018067,51786178,190
35065.91,1,8192,2,205945,13569551984,2,17,55,45,2390491,15,56002,5,11263320,92,1,4,30295,14434,2,8,45,121304,581987380,59712281,1960703,3985456702,45,39,2,1,4,4,312,1,3969158994,3966858759,70709290,308389972,308389972,2,1,13568437872,73389,73389,4,4,4,308373588,10,3,34991,5358461,1106556,52918,30289,3969158994,2337573,58608107,190
40070.17,1,8192,2,234115,15425788280,2,17,55,45,2719385,15,63651,5,11263320,92,1,4,34436,14971,2,8,45,137868,591528244,64169832,1961025,4530333698,45,39,2,1,4,4,312,1,4511928146,4509468650,76103977,350578650,350578650,2,1,15424739704,73389,73389,4,4,4,350562266,10,3,36952,5960537,1205561,59106,34430,4511928146,2660279,62966948,190
45073.58,1,8192,2,264792,17447119684,2,17,55,45,3075260,15,72000,5,11263320,92,1,4,38945,15317,2,8,45,155916,653524068,80097624,1962088,5123761158,45,39,2,1,4,4,312,1,5102931794,5100367713,93854055,396504595,396520979,2,1,17446202180,73389,73389,4,4,4,396504595,10,3,44419,6607333,1365789,67293,38939,5102931794,3007967,78735442,190
50077.82,1,8192,2,293505,19339207480,2,17,56,45,3404579,15,79938,5,11528772,92,1,4,43162,15622,2,8,45,172792,696934212,87688377,1963184,5678724737,45,39,2,1,4,4,312,1,5655662418,5653485184,102608240,439518506,439518506,2,1,19338093368,73389,73389,4,4,4,439502122,10,3,45168,7206875,1448802,74043,43156,5655662418,3330536,86243356,190
55082.83,1,8192,2,319275,21036836732,2,17,57,45,3684081,15,86964,5,11794224,92,1,4,46947,15878,2,8,45,187932,705654852,98005616,1963708,6176327891,45,39,2,1,4,4,312,1,6151312676,6149748642,114604839,478100989,478100989,2,1,21036443516,73389,73389,4,4,4,478100989,10,3,47680,7720779,1517930,79522,46941,6151312676,3604559,96491836,190
60094.42,1,8192,2,340797,22455000632,2,17,57,45,3992882,15,92835,5,11794224,92,1,4,50107,23499,2,8,45,200584,763725052,106670059,2649099,6592268256,45,39,2,1,4,4,312,1,6565500196,6564263415,124993037,510323050,510339434,2,1,22454214200,73389,73389,4,4,4,510323050,10,3,50868,8590507,1728759,89551,50101,6565500196,3903331,104945274,190
65107.01,1,8192,2,359452,23684211012,2,17,57,45,4292692,15,97923,5,11794224,92,1,4,52848,30368,2,8,45,211552,770259388,115115685,3607938,6953247037,45,39,2,1,4,4,312,1,6924899620,6923567226,135384428,538261139,538277523,2,1,23683490116,73389,73389,4,4,4,538261139,10,3,53156,9571007,1979669,101437,52843,6924899620,4191255,113140800,190
70116.56,1,8192,2,378090,24912307280,2,17,57,45,4597644,15,103005,5,11794224,92,1,4,55590,36374,2,8,45,222520,794066308,123591965,4568530,7314089609,45,39,2,1,4,4,312,1,7284167972,7282581136,145800251,566182844,566182844,2,1,24912045136,73389,73389,4,4,4,566182844,10,3,55508,10582480,2226908,112821,55584,7284167972,4484823,121371447,190
75128.59,1,8192,2,397013,26159346760,2,17,57,45,4895203,15,108168,5,11794224,92,1,4,58370,44778,2,8,45,233640,800676676,132149463,5440881,7680071774,45,39,2,1,4,4,312,1,7648548132,7647123722,156187632,594520182,594536566,2,1,26158888008,73389,73389,4,4,4,594520182,10,3,61115,11523247,2462796,124619,58364,7648548132,4770584,129694186,190
