timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.79,8192,2,25742,1695787628,2,45,54,45,296006,12,6807,5,10997868,92,1,4,3815,148,2,12,45,15264,8827712,4665469,299,501000256,45,51,2,1,4,4,265,1,499032476,495898005,5525866,38521265,38537649,2,1,1694935660,73389,73389,4,4,4,38521265,7,3,28543,550578,162741,6425,3809,499032476,289581,4503106,255
10017.26,8192,2,51069,3364643268,2,45,54,45,578371,12,13713,5,10997868,92,1,4,7537,373,2,12,45,30152,17403200,9185239,416,990771518,45,51,2,1,4,4,265,1,986882460,983787708,10873880,76458739,76458739,2,1,3363463620,73389,73389,4,4,4,76442355,7,3,29118,1074505,236604,11455,7531,986882460,566916,8949422,255
15025.46,8192,2,78471,5170282464,2,45,54,45,890341,12,21134,5,10997868,92,1,4,11564,500,2,12,45,46260,26681408,26421234,991,1520696520,45,51,2,1,4,4,265,1,1514709404,1511631816,31090453,117494504,117494504,2,1,5169037280,73389,73389,4,4,4,117478120,7,3,36342,1654930,338061,17202,11558,1514709404,873139,26084067,255
20034.70,8192,2,105827,6972641552,2,45,54,45,1195065,12,28650,5,10997868,92,1,4,15586,622,2,12,45,62348,35948096,32317211,1281,2049957291,45,51,2,1,4,4,265,1,2041880988,2038538372,37941410,158458700,158475084,2,1,6972182800,73389,73389,4,4,4,158458700,7,3,37939,2227739,413937,23010,15580,2041880988,1172055,31904412,255
25056.99,8192,2,131086,8637040744,2,45,54,45,1482363,12,35484,5,10997868,92,1,4,19297,942,2,12,45,77192,44500544,44319294,87017,2538284232,45,51,2,1,4,4,265,1,2528289180,2525050566,51833889,196281486,196297870,2,1,8636385384,73389,73389,4,4,4,196281486,7,3,40850,2845879,500609,29043,19291,2528289180,1453320,43819539,255
30064.88,8192,2,148866,9808641672,2,45,54,45,1786235,12,40332,5,10997868,92,1,4,21908,5470,2,12,45,87648,101701360,52759014,1147858,2882029304,45,51,2,1,4,4,265,1,2870518172,2867482882,62266148,222902822,222919206,2,1,9807724168,73389,73389,4,4,4,222902822,7,3,46667,3871816,752582,40597,21902,2870518172,1745638,52006451,255
35076.98,8192,2,166961,11000627604,2,45,55,45,2094336,12,45318,5,11263320,92,1,4,24568,16113,2,12,45,98296,142164972,61167078,2169265,3231557645,45,51,2,1,4,4,265,1,3218509650,3215905702,72681610,250005327,250005327,2,1,10999513492,73389,73389,4,4,4,249988943,7,3,50604,4894076,986048,52370,24562,3218509650,2041966,60182607,255
40086.30,8192,2,199422,13139671588,2,45,55,45,2448759,12,54171,5,11263320,92,1,4,29335,16197,2,12,45,117364,153148140,70172410,2169761,3858957341,45,51,2,1,4,4,265,1,3843329874,3841184569,83121170,298619963,298619963,2,1,13138557476,73389,73389,4,4,4,298603579,7,3,50715,5500198,1075682,58144,29329,3843329874,2390615,69098805,255
45096.97,8192,2,232036,15288742580,2,45,55,45,2803612,12,63066,5,11263320,92,1,4,34132,16241,2,12,45,136564,215172948,79165861,2170615,4490301997,45,51,2,1,4,4,265,1,4472082258,4469441236,93559748,347447591,347463975,2,1,15287694004,73389,73389,4,4,4,347447591,7,3,50842,6103216,1144979,64012,34126,4472082258,2739600,78022900,255
50103.45,8192,2,264827,17449413444,2,45,55,45,3147434,12,72009,5,11263320,92,1,4,38948,16328,2,12,45,155836,260243336,88165169,2170802,5124144199,45,51,2,1,4,4,265,1,5103325010,5101002850,103961318,396570131,396570131,2,1,17448364868,73389,73389,4,4,4,396553747,7,3,50927,6696916,1233569,69843,38942,5103325010,3077591,86933316,255
55109.45,8192,2,298343,19657875426,2,45,56,45,3487764,12,81204,5,11528772,92,1,4,43871,16461,2,12,45,175540,322708984,97166899,2171249,5772063737,45,51,2,1,4,4,265,1,5748592466,5746650665,114384532,446747280,446763664,2,1,19656880320,73389,73389,4,4,4,446747280,7,3,51198,7292507,1311379,75945,43865,5748592466,3411819,95857714,255
60122.57,8192,2,329661,21721209956,2,45,57,45,3819187,12,89801,5,11794224,92,1,4,48473,16553,2,12,45,193956,367316920,106301651,2180139,6377265381,45,51,2,1,4,4,265,1,6351328548,6349766276,124778782,493651947,493668331,2,1,21720685668,73389,73389,4,4,4,493651947,7,3,51733,7882016,1406339,82705,48467,6351328548,3736482,104898322,255
65131.90,8192,2,347686,22908867204,2,45,57,45,4126569,12,94713,5,11794224,92,1,4,51121,21432,2,12,45,204552,390555968,114848995,3119070,6725878923,45,51,2,1,4,4,265,1,6698407204,6696947555,135180239,520650115,520650115,2,1,22908605060,73389,73389,4,4,4,520650115,7,3,52576,8841968,1599857,95148,51115,6698407204,4031421,113253414,255
70140.71,8192,2,366254,24132375952,2,45,57,45,4431108,12,99777,5,11794224,92,1,4,53850,24776,2,12,45,215464,397069568,123436114,4042306,7085009983,45,51,2,1,4,4,265,1,7055971620,7054582349,145601650,548457132,548457132,2,1,24132113808,73389,73389,4,4,4,548457132,7,3,55155,9788350,1825931,107462,53844,7055971620,4323646,121614437,255
75150.53,8192,2,396780,26143811420,2,45,57,45,4829414,12,108104,5,11794224,92,1,4,58337,24890,2,12,45,233416,407409920,132520768,4042949,7675688933,45,51,2,1,4,4,265,1,7644222756,7642610671,156084147,594170085,594170085,2,1,26142762844,73389,73389,4,4,4,594153701,7,3,56624,10491834,1944477,116760,58331,7644222756,4712654,130581004,255
