timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.54,1,8192,2,27338,1800913988,2,31,54,0,45,344374,3,7188,5,10997868,92,1,4,4050,1504,2,25,45,16204,9432832,8819902,326247,532035824,45,57,13,1,2,1,4,4,388,1,529834396,526651536,10405976,40909011,40925395,2,1,1799996484,73389,73389,4,4,4,40909011,16,3,29148,801705,255941,11226,4044,529834396,333148,8565676,291
10027.52,1,8192,2,45701,3010722404,2,31,54,0,45,664680,3,12195,5,10997868,92,1,4,6749,8305,2,25,45,26996,15871168,17373083,1264785,887211308,45,57,13,1,2,1,4,4,388,1,883466652,880338679,20828936,68415083,68415083,2,1,3010263652,73389,73389,4,4,4,68415083,16,3,31995,1765802,491009,22246,6743,883466652,642434,16884500,291
15041.66,1,8192,2,64082,4221975920,2,31,54,0,45,975409,3,17208,5,10997868,92,1,4,9447,13044,2,25,45,37804,73076620,25935975,2164618,1242524431,45,57,13,1,2,1,4,4,388,1,1237229980,1234431832,31244747,95927188,95943572,2,1,4220796272,73389,73389,4,4,4,95927188,16,3,33546,2747356,708554,33026,9441,1237229980,942383,25231625,291
20055.06,1,8192,2,82793,5454856316,2,31,54,0,45,1283288,3,22313,5,10997868,92,1,4,12198,20458,2,25,45,48820,113693632,34464419,3075154,1604816623,45,57,13,1,2,1,4,4,388,1,1597940124,1594802173,41649479,123963581,123963581,2,1,5454397564,73389,73389,4,4,4,123963581,16,3,37103,3735984,926002,44475,12193,1597940124,1238813,33543256,291
25072.24,1,8192,2,101087,6660408200,2,31,54,0,45,1605086,3,27300,5,10997868,92,1,4,14888,26295,2,25,45,59580,137246028,43072341,3998124,1958808260,45,57,13,1,2,1,4,4,388,1,1950392732,1947250400,52095753,151360998,151360998,2,1,6659883912,73389,73389,4,4,4,151360998,16,3,41429,4735020,1181604,55934,14882,1950392732,1549152,41895966,291
30087.72,1,8192,2,120122,7914787712,2,31,54,0,45,1915462,3,32493,5,10997868,92,1,4,17685,32698,2,25,45,70772,160660348,51703255,4851454,2327000671,45,57,13,1,2,1,4,4,388,1,2317001116,2313887784,62516480,179862176,179878560,2,1,7913935744,73389,73389,4,4,4,179862176,16,3,48513,5726144,1398080,67673,17679,2317001116,1847789,50310252,291
35099.27,1,8192,2,138453,9122498976,2,31,54,0,45,2213657,3,37491,5,10997868,92,1,4,20377,40841,2,25,45,81548,201257060,60238747,5761273,2681400155,45,57,13,1,2,1,4,4,388,1,2669846940,2666929477,72905105,207319096,207319096,2,1,9121319328,73389,73389,4,4,4,207302712,16,3,51209,6659018,1601629,81765,20371,2669846940,2131892,58641911,291
40104.87,1,8192,2,159638,10518577244,2,31,54,0,45,2502305,3,43323,5,10997868,92,1,4,23493,43987,2,25,45,94016,225815596,68550312,6278677,3091560677,45,57,13,1,2,1,4,4,388,1,3078267292,3074992039,82659676,239049637,239049637,2,1,10517463132,73389,73389,4,4,4,239033253,16,3,55536,7463167,1801732,99807,23487,3078267292,2402498,66754133,291
45110.05,1,8192,2,182587,12030267632,2,31,55,2,45,2751088,3,49581,5,11263320,92,1,4,26862,44383,2,25,45,107492,233577772,77496580,6279882,3534281587,45,57,13,1,2,1,4,4,388,1,3519188818,3516862376,93576616,273397300,273413684,2,1,12029481200,73389,73389,4,4,4,273397300,16,3,64758,7955724,1941894,114665,26856,3519188818,2636423,75560354,291
50114.65,1,8192,2,213029,14036198076,2,31,55,2,45,3101735,3,57882,5,11263320,92,1,4,31337,44662,2,25,45,125404,294610556,86655840,6280793,4123226234,45,57,13,1,2,1,4,4,388,1,4105736018,4103280636,104004511,318995565,318995565,2,1,14035804860,73389,73389,4,4,4,318995565,16,3,66902,8588831,2033796,121451,31331,4105736018,2980284,84628430,291
