timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.22,7,8192,2,10422,686201616,2,2291314,54,45,181753,12,2574,5,10997868,92,1,4,1563,4462,2,4683,45,6260,21325232,4570402,495145,204734983,45,106,2,1,4,4,1067,1,203858332,200805928,5611553,15571660,15588044,2,1,685153040,73389,73389,4,4,4,15571660,17,3,21221,557836,438941,5742,1557,203858332,176011,4131449,638
10041.96,7,8192,2,28345,1867174192,2,2291314,54,45,505163,12,7464,5,10997868,92,1,4,4199,10564,2,4683,45,16808,44460968,13121232,1431585,551758749,45,106,2,1,4,4,1067,1,549364124,546022893,16048330,42422372,42438756,2,1,1866584368,73389,73389,4,4,4,42422372,17,3,22547,1539724,695883,17201,4193,549364124,487962,12426235,638
15046.73,7,8192,2,54755,3607536224,2,2291314,54,45,877759,12,14664,5,10997868,92,1,4,8079,14998,2,4683,45,32348,139470480,21669419,2040230,1062437100,45,106,2,1,4,4,1067,1,1057923484,1054813909,26536919,81977544,81977544,2,1,3606291040,73389,73389,4,4,4,81961160,17,3,23483,2478866,884759,26884,8073,1057923484,850875,20786158,638
20052.49,7,8192,2,87918,5792586480,2,2291314,54,45,1219304,12,23709,5,10997868,92,1,4,12951,15250,2,4683,45,51844,184516688,30729187,2041496,1703583603,45,106,2,1,4,4,1067,1,1696506268,1693522675,36942263,131640756,131640756,2,1,5792193264,73389,73389,4,4,4,131640756,17,3,26782,3109338,982982,35321,12945,1696506268,1183983,29748336,638
25058.11,7,8192,2,122414,8065792580,2,2291314,54,45,1566280,12,33119,5,10997868,92,1,4,18023,15606,2,4683,45,72140,247104104,39773053,2042607,2370944106,45,106,2,1,4,4,1067,1,2361172380,2358029301,47375148,183304531,183304531,2,1,8065399364,73389,73389,4,4,4,183304531,17,3,27486,3743089,1072162,41360,18017,2361172380,1524920,38703689,638
30064.10,7,8192,2,155228,10227970772,2,2291314,54,45,1903675,12,42066,5,10997868,92,1,4,22844,15808,2,4683,45,91448,343116536,48836180,2043011,3005553577,45,106,2,1,4,4,1067,1,2993201564,2990069309,57784508,232443455,232443455,2,1,10227512020,73389,73389,4,4,4,232443455,17,3,29385,4352258,1152571,48030,22838,2993201564,1855645,47687185,638
35069.49,7,8192,2,188135,12395984976,2,2291314,55,45,2245004,12,51093,5,11263320,92,1,4,27679,16185,2,4683,45,110820,490294232,57860165,2043639,3641210608,45,106,2,1,4,4,1067,1,3626274642,3623764473,68199356,281719484,281719484,2,1,12395657296,73389,73389,4,4,4,281719484,17,3,29760,4967277,1251228,54818,27673,3626274642,2190186,56612484,638
40075.26,7,8192,2,222489,14659619512,2,2291314,55,45,2602894,12,60462,5,11263320,92,1,4,32728,16490,2,4683,45,131040,603969264,66824410,2043912,4305680466,45,106,2,1,4,4,1067,1,4288057170,4285522947,78643740,333164234,333164234,2,1,14659226296,73389,73389,4,4,4,333164234,17,3,30328,5615121,1335847,61612,32722,4288057170,2541282,65492678,638
45080.23,7,8192,2,262660,17306600576,2,2291314,55,45,2966305,12,71418,5,11263320,92,1,4,38631,16814,2,4683,45,154704,856757624,75441700,2044407,5082373897,45,106,2,1,4,4,1067,1,5061644114,5059284884,89090546,393308000,393324384,2,1,17305552000,73389,73389,4,4,4,393308000,17,3,30329,6315954,1422224,68106,38625,5061644114,2898199,74024048,638
50085.90,7,8192,2,302173,19910458952,2,2291314,56,45,3319134,12,82248,5,11528772,92,1,4,44435,16992,2,4683,45,177984,1127144488,84093296,2045233,5846313348,45,106,2,1,4,4,1067,1,5822517074,5820467811,99558463,452501494,452501494,2,1,19910065736,73389,73389,4,4,4,452501494,17,3,30425,7006362,1520560,74557,44429,5822517074,3244577,82577786,638
