timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.75,1,8192,2,24328,1602588820,2,26,54,45,385838,7,6366,5,10997868,92,1,4,3606,12618,2,15,45,14432,25323352,8613999,647268,473625832,45,44,2,1,4,4,399,1,471638428,468687579,10456119,36412047,36412047,2,1,1601409172,73389,73389,4,4,4,36395663,9,3,28108,963464,263060,9890,3600,471638428,375948,8351286,241
10029.48,1,8192,2,42862,2823869344,2,26,54,45,687972,7,11421,5,10997868,92,1,4,6331,16661,2,15,45,25336,48686616,17155867,1530580,832368039,45,44,2,1,4,4,399,1,828809628,825693918,20839271,64169912,64169912,2,1,2822755232,73389,73389,4,4,4,64153528,9,3,32003,1896731,481286,21395,6325,828809628,666577,16675264,241
15041.73,1,8192,2,61122,4026927552,2,26,54,45,1003814,7,16401,5,10997868,92,1,4,9015,24561,2,15,45,36068,55068696,25671844,2476133,1185575930,45,44,2,1,4,4,399,1,1180475804,1177378257,31268670,91512144,91512144,2,1,4026534336,73389,73389,4,4,4,91512144,9,3,38137,2919331,740901,32394,9009,1180475804,971420,24930130,241
20052.86,1,8192,2,79361,5228874956,2,26,54,45,1319963,7,21377,5,10997868,92,1,4,11696,29320,2,15,45,46800,78263192,34255473,3364940,1538659728,45,44,2,1,4,4,399,1,1532010908,1528734325,41674922,118827641,118827641,2,1,5227695308,73389,73389,4,4,4,118811257,9,3,41788,3891622,964572,43404,11690,1532010908,1276559,33290169,241
25063.66,1,8192,2,97884,6449434584,2,26,54,45,1638412,7,26429,5,10997868,92,1,4,14417,40544,2,15,45,57688,101912928,42781722,4274657,1896877998,45,44,2,1,4,4,399,1,1888657820,1885541319,52090153,146552738,146569122,2,1,6448320472,73389,73389,4,4,4,146552738,9,3,43662,4879457,1185840,54812,14411,1888657820,1583600,41593189,241
30075.32,1,8192,2,115886,7635584504,2,26,54,45,1949686,7,31338,5,10997868,92,1,4,17063,50316,2,15,45,68280,159574296,51293353,5241540,2245086216,45,44,2,1,4,4,399,1,2235343260,2232256065,62513224,173518138,173534522,2,1,7634798072,73389,73389,4,4,4,173518138,9,3,46763,5883882,1402495,65860,17057,2235343260,1883826,49888201,241
35088.76,1,8192,2,134188,8841660676,2,26,54,45,2262003,7,36330,5,10997868,92,1,4,19753,56259,2,15,45,79048,183224288,59906391,6098682,2599358339,45,44,2,1,4,4,399,1,2588058012,2584848888,72918111,200931939,200948323,2,1,8841005316,73389,73389,4,4,4,200931939,9,3,51650,6804212,1648666,76721,19747,2588058012,2185282,58255096,241
40099.52,1,8192,2,168051,11072592748,2,26,55,45,2666859,7,45617,5,11263320,92,1,4,24727,57226,2,15,45,98980,348208032,68588739,6299931,3253323955,45,44,2,1,4,4,399,1,3239350098,3236964583,83456773,251639409,251639409,2,1,11072133996,73389,73389,4,4,4,251639409,9,3,52168,7635699,1804555,84818,24721,3239350098,2582041,66782456,241
45111.38,1,8192,2,186155,12265427340,2,26,55,45,2974947,7,50553,5,11263320,92,1,4,27389,63607,2,15,45,109628,354553440,77147651,7256488,3603762021,45,44,2,1,4,4,399,1,3588263762,3585608919,93855182,278752265,278752265,2,1,12264378764,73389,73389,4,4,4,278735881,9,3,55866,8641814,2077957,96635,27383,3588263762,2878312,75068090,241
50120.69,1,8192,2,204614,13481792664,2,26,55,45,3269313,7,55587,5,11263320,92,1,4,30100,70166,2,15,45,120472,361018848,85719577,8166617,3960656116,45,44,2,1,4,4,399,1,3943599954,3941193241,104255368,306395442,306395442,2,1,13480678552,73389,73389,4,4,4,306379058,9,3,59973,9613536,2288012,107401,30094,3943599954,3161912,83429939,241
