timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.28,8192,2,38482,2535228952,2,29,54,45,524638,9,9,10227,5,10997868,92,1,4,5688,92,2,29,45,22822,303355856,8705432,683,747570241,36,33,9,2,1,4,4,393,1,744530332,741337722,10596133,57596498,57612882,2,1,2534245912,73389,73389,4,4,4,57596498,15,3,21549,900931,342956,12338,5682,744530332,512300,8362203,221
10019.58,8192,2,76830,5061941532,2,29,54,45,1012571,9,9,20685,5,10997868,92,1,4,11323,225,2,29,45,45414,539191520,17491811,1284,1489182660,36,33,9,2,1,4,4,393,1,1483121052,1479937357,21186230,115035189,115035189,2,1,5061548316,73389,73389,4,4,4,115035189,15,3,21893,1743363,468014,25338,11317,1483121052,987233,17023486,221
15024.61,8192,2,106652,7027239656,2,29,54,45,1426998,9,9,28818,5,10997868,92,1,4,15705,257,2,29,45,62942,549287648,26549018,3074,2065899618,36,33,9,2,1,4,4,393,1,2057478556,2054464687,31663121,159683182,159699566,2,1,7026060008,73389,73389,4,4,4,159683182,15,3,22790,2451514,570499,35107,15699,2057478556,1391891,25978299,221
20030.07,8192,2,136494,8993583048,2,29,54,45,1813021,9,9,36957,5,10997868,92,1,4,20089,268,2,29,45,80478,559388384,35660765,4990,2642892559,36,33,9,2,1,4,4,393,1,2632098204,2629234112,42122165,204390678,204390678,2,1,8993189832,73389,73389,4,4,4,204390678,15,3,24122,3126478,683423,44997,20083,2632098204,1768024,34977718,221
25035.58,8192,2,166037,10939806888,2,29,55,45,2194617,9,9,45020,5,10997868,92,1,4,24432,268,2,29,45,97858,603426576,44728508,7768,3213838626,36,33,9,2,1,4,4,393,1,3200683858,3198119172,52580136,248623038,248623038,2,1,10939413672,73389,73389,4,4,4,248623038,15,3,24511,3799726,804774,54736,24426,3200683858,2139881,43924214,221
30041.84,8192,2,195188,12860599452,2,29,55,45,2533709,9,9,53018,5,11263320,92,1,4,28716,294,2,29,45,114994,613296912,53913269,9024,3777650494,36,33,9,2,1,4,4,393,1,3762196306,3759630795,63005610,292275925,292275925,2,1,12859419804,73389,73389,4,4,4,292259541,15,3,25541,4440001,884558,64105,28710,3762196306,2469604,53029080,221
35047.13,8192,2,224743,14808134012,2,29,55,45,2878744,9,9,61077,5,11263320,92,1,4,33059,312,2,29,45,132370,640365496,63144622,11065,4349220420,36,33,9,2,1,4,4,393,1,4331442002,4328915496,73452558,336541053,336541053,2,1,14807806332,73389,73389,4,4,4,336541053,15,3,26934,5067467,971829,72989,33053,4331442002,2805755,62174056,221
40051.85,8192,2,254218,16750425692,2,29,55,45,3199959,9,9,69141,5,11263320,92,1,4,37389,321,2,29,45,149694,667168456,72067570,12215,4919107580,36,33,9,2,1,4,4,393,1,4898983762,4896649655,83573393,380675109,380691493,2,1,16749704796,73389,73389,4,4,4,380675109,15,3,27775,5642650,1049422,82139,37383,4898983762,3117820,71019579,221
45056.75,8192,2,281669,18559276152,2,29,55,45,3502155,9,9,76656,5,11263320,92,1,4,41425,424,2,29,45,165838,676467400,77512659,12556,5450207047,36,33,9,2,1,4,4,393,1,5427990354,5425482702,89883454,421792794,421792794,2,1,18558162040,73389,73389,4,4,4,421776410,15,3,30763,6162722,1131692,89635,41419,5427990354,3412520,76382590,221
50061.54,8192,2,308093,20300555688,2,29,56,45,3752558,9,9,83919,5,11528772,92,1,4,45307,490,2,29,45,181366,685411528,86074694,13865,5961035867,36,33,9,2,1,4,4,393,1,5936811858,5934503136,99517429,461364350,461380734,2,1,20300031400,73389,73389,4,4,4,461364350,15,3,30854,6622625,1195902,96735,45301,5936811858,3655823,84880167,221
