timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5024.73,4,8192,2,11070,728934396,2,2075996,54,45,178530,2,4,2751,5,10997868,92,1,4,1660,6523,2,1384,45,6644,3993888,4661730,529790,217507155,43,107,2,2,1,4,4,744,1,216572316,213271767,5729854,16544349,16560733,2,1,727951356,73389,73389,4,4,4,16544349,26,3,19610,588462,269472,6346,1654,216572316,172184,4393295,509
10033.38,4,8192,2,29569,1947921160,2,2075996,54,45,473196,2,4,7796,5,10997868,92,1,4,4379,19003,2,1384,45,17528,44926072,13111120,1494586,575460080,43,107,2,2,1,4,4,744,1,572957084,569587682,16093739,44253062,44269446,2,1,1947134728,73389,73389,4,4,4,44253062,26,3,20856,1580095,487026,18215,4373,572957084,454981,12625564,509
15040.91,4,8192,2,49806,3281340396,2,2075996,54,45,759029,2,4,13371,5,10997868,92,1,4,7353,23457,2,1384,45,29428,68937616,20419528,2129033,966925209,43,107,2,2,1,4,4,744,1,962765212,959420183,24955378,74562513,74578897,2,1,3280750572,73389,73389,4,4,4,74562513,26,3,23007,2393696,660959,28373,7347,962765212,730656,19758784,509
20047.11,4,8192,2,72986,4808693888,2,2075996,54,45,1024392,2,4,19692,5,10997868,92,1,4,10758,23769,2,1384,45,43048,76782736,24963745,2129077,1414994959,43,107,2,2,1,4,4,744,1,1409065372,1405889971,30282392,109270624,109287008,2,1,4807907456,73389,73389,4,4,4,109270624,26,3,23007,2899833,736280,34934,10752,1409065372,989458,24228006,509
25056.15,4,8192,2,92704,6108099940,2,2075996,54,45,1311861,2,4,25014,5,10997868,92,1,4,13655,30561,2,1384,45,54636,83633680,38652100,2880032,1796330944,43,107,2,2,1,4,4,744,1,1788780956,1785773498,47227189,138810027,138810027,2,1,6107641188,73389,73389,4,4,4,138810027,26,3,36344,3774644,981045,44793,13649,1788780956,1267068,37671735,509
30068.28,4,8192,2,110890,7306308484,2,2075996,54,45,1597446,2,4,29974,5,10997868,92,1,4,16329,38324,2,1384,45,65336,106953488,47106918,3885650,2148364099,43,107,2,2,1,4,4,744,1,2139267484,2136052005,57601201,166037571,166053955,2,1,7305653124,73389,73389,4,4,4,166037571,26,3,42595,4761648,1251311,55722,16323,2139267484,1541724,45857224,509
35074.29,4,8192,2,136383,8986308552,2,2075996,54,45,1936616,2,4,36927,5,10997868,92,1,4,20075,41667,2,1384,45,80328,149628816,55926070,4285870,2641421098,43,107,2,2,1,4,4,744,1,2630263196,2627120899,68044116,204210454,204226838,2,1,8985259976,73389,73389,4,4,4,204210454,26,3,49154,5552634,1423562,64673,20069,2630263196,1871943,54504378,509
40080.93,4,8192,2,166037,10939806888,2,2075996,55,45,2298652,2,4,45048,5,10997868,92,1,4,24432,41859,2,1384,45,97764,194047040,64965071,4286255,3214190705,43,107,2,2,1,4,4,744,1,3200683858,3198119172,78429683,248623038,248623038,2,1,10939413672,73389,73389,4,4,4,248623038,26,3,52682,6207031,1530363,72659,24426,3200683858,2225993,63436960,509
45089.85,4,8192,2,195307,12868398236,2,2075996,55,45,2666722,2,4,53059,5,11263320,92,1,4,28734,42036,2,1384,45,114972,203958848,74049603,4286704,3780334499,43,107,2,2,1,4,4,744,1,3764555602,3761871723,88752752,292456149,292456149,2,1,12867349660,73389,73389,4,4,4,292439765,26,3,55761,6862774,1639259,80554,28728,3764555602,2586168,72412673,509
50097.54,4,8192,2,224678,14803874172,2,2075996,55,45,3026852,2,4,61113,5,11263320,92,1,4,33050,42113,2,1384,45,132236,213902912,82457585,4287369,4348294652,43,107,2,2,1,4,4,744,1,4330262354,4327680067,98273312,336442749,336442749,2,1,14802760060,73389,73389,4,4,4,336426365,26,3,57169,7499320,1717354,87856,33044,4330262354,2938996,80742353,509
55105.93,4,8192,2,249815,16460277972,2,2075996,55,45,3323876,2,4,67971,5,11263320,92,1,4,36743,42163,2,1384,45,147008,222411584,86989011,4287528,4834251404,43,107,2,2,1,4,4,744,1,4814311250,4811861428,103643459,374085311,374101695,2,1,16459753684,73389,73389,4,4,4,374085311,26,3,57179,8032613,1799400,94357,36737,4814311250,3229519,85192087,509
60113.24,4,8192,2,275886,18178157848,2,2075996,55,45,3629426,2,4,75080,5,11263320,92,1,4,40575,42219,2,1384,45,162336,231240512,91498250,4287571,5338492055,43,107,2,2,1,4,4,744,1,5316579154,5314033977,109013517,413126546,413142930,2,1,18177568024,73389,73389,4,4,4,413126546,26,3,57179,8579942,1871593,100404,40569,5316579154,3529022,89628990,509
65119.84,4,8192,2,305090,20102689272,2,2075996,56,45,3963851,2,4,83046,5,11528772,92,1,4,44864,42282,2,1384,45,179492,241122368,110080048,4288132,5902955075,43,107,2,2,1,4,4,744,1,5878746962,5876642752,130520153,456867386,456883770,2,1,20102164984,73389,73389,4,4,4,456867386,26,3,62475,9188455,1986362,108309,44858,5878746962,3855542,108096012,509
70127.81,4,8192,2,324754,21397766640,2,2075996,57,45,4243083,2,4,88461,5,11794224,92,1,4,47752,56936,2,1384,45,191060,316662184,118629223,5135958,6282678516,43,107,2,2,1,4,4,744,1,6256825636,6255208579,140893552,486302452,486318836,2,1,21397307888,73389,73389,4,4,4,486302452,26,3,64018,10085117,2191807,119208,47746,6256825636,4123875,116439016,509
75140.89,4,8192,2,343066,22604498172,2,2075996,57,45,4530020,2,4,93453,5,11794224,92,1,4,50440,63347,2,1384,45,201820,356769112,127156199,6074332,6636560814,43,107,2,2,1,4,4,744,1,6609147172,6607962178,151278694,513732637,513732637,2,1,22603515132,73389,73389,4,4,4,513716253,26,3,66193,11070284,2392060,132053,50434,6609147172,4397967,124766235,509
80149.30,4,8192,2,370038,24381691436,2,2075996,57,45,4864583,2,4,100863,5,11794224,92,1,4,54407,63722,2,1384,45,217688,365931736,132199460,6195133,7158577103,43,107,2,2,1,4,4,744,1,7129109796,7127469230,157461052,554123393,554123393,2,1,24380708396,73389,73389,4,4,4,554107009,26,3,70484,11782021,2517758,140815,54401,7129109796,4723768,129682468,509
