timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.90,0,0,0,0,0,0,0,54,0,0,0,30,0,3,0,2097278,2,1,2,4,0,2,2588,0,24,42592,0,0,1846,0,0,0,2,1,4,4,1253,1,0,0,286,0,0,2,1,0,73389,73389,4,4,4,0,34,3,3,0,0,0,0,0,0,0,0,0
10025.71,6,8192,2,17365,1143607132,2,5305928,54,45,323740,1,30,4467,5,1,10997868,92,1,4,2583,7562,2,2616,45,10352,74202352,7930897,889770,339029030,44,109,1,2,1,4,4,1253,1,337551772,334497062,9769363,25980645,25980645,2,1,1143148380,73389,73389,4,4,4,25980645,34,3,3,21328,957756,426956,10977,2577,337551772,312763,7504021,490
15051.06,6,8192,2,35416,2333233768,2,5305928,54,45,632831,1,30,9390,5,1,10997868,92,1,4,5238,17929,2,2616,45,20976,97858000,16491384,1829629,688563896,44,109,1,2,1,4,4,1253,1,685547932,682297962,20177709,53017614,53017614,2,1,2332775016,73389,73389,4,4,4,53017614,34,3,3,23561,1894830,639003,21790,5232,685547932,611041,15850831,490
20054.56,6,8192,2,64544,4252519004,2,5305928,54,45,1053542,1,30,17388,5,1,10997868,92,1,4,9519,19047,2,2616,45,38100,107751952,23709868,1989602,1251955737,44,109,1,2,1,4,4,1253,1,1246667164,1243342746,28916596,96637733,96637733,2,1,4251339356,73389,73389,4,4,4,96621349,34,3,3,24348,2703177,757398,28632,9513,1246667164,1024910,22949828,490
25059.97,6,8192,2,90768,5980425888,2,5305928,54,45,1353418,1,30,24540,5,1,10997868,92,1,4,13371,19308,2,2616,45,53508,116626960,28195250,1989761,1758823074,44,109,1,2,1,4,4,1253,1,1751556508,1748455996,34274684,135908344,135908344,2,1,5979246240,73389,73389,4,4,4,135891960,34,3,3,24374,3249086,822249,34024,13365,1751556508,1319394,27370580,490
30066.52,6,8192,2,117300,7728783312,2,5305928,54,45,1659994,1,30,31776,5,1,10997868,92,1,4,17270,19432,2,2616,45,69104,125610256,32702752,1990449,2271872842,44,109,1,2,1,4,4,1253,1,2262606236,2259550598,39653081,175643740,175643740,2,1,7727603664,73389,73389,4,4,4,175627356,34,3,3,24384,3800560,883675,39447,17264,2262606236,1620547,31816643,490
35079.63,6,8192,2,136417,8988536776,2,5305928,54,45,1968300,1,30,36938,5,1,10997868,92,1,4,20081,29150,2,2616,45,80356,166201784,51668728,2881858,2641906910,44,109,1,2,1,4,4,1253,1,2631049628,2627801173,61847041,204259606,204275990,2,1,8987422664,73389,73389,4,4,4,204259606,34,3,3,32490,4790625,1118240,51167,20075,2631049628,1917133,50548176,490
40092.16,6,8192,2,154436,10175800808,2,5305928,54,45,2280179,1,30,41850,5,1,10997868,92,1,4,22729,32795,2,2616,45,90948,172518392,60192637,3855584,2990517376,44,109,1,2,1,4,4,1253,1,2978128284,2974819538,72275868,231257774,231257774,2,1,10175342056,73389,73389,4,4,4,231257774,34,3,3,39405,5753142,1366256,62060,22723,2978128284,2218119,58825718,490
45103.15,6,8192,2,172184,11344780296,2,5305928,55,45,2609174,1,30,46743,5,1,11263320,92,1,4,25333,40719,2,2616,45,101364,178719800,68722040,4790699,3332667530,44,109,1,2,1,4,4,1253,1,3318779730,3316495224,82698721,257813574,257829958,2,1,11343797256,73389,73389,4,4,4,257813574,34,3,3,43709,6759072,1639303,72682,25327,3318779730,2536492,67082499,490
50115.02,6,8192,2,189820,12506944040,2,5305928,55,45,2938658,1,30,51552,5,1,11263320,92,1,4,27925,46703,2,2616,45,111732,184893560,77244956,5756213,3673900500,44,109,1,2,1,4,4,1253,1,3658518354,3656243161,93136714,284238302,284238302,2,1,12506485288,73389,73389,4,4,4,284238302,34,3,3,48455,7775417,1904184,84267,27919,3658518354,2854391,75341063,490
