timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.85,3,8192,2,35030,2307671420,2,37,54,45,375085,9,10,9285,5,10997868,92,1,4,5179,250,2,19,45,20736,80486920,8351771,2260,680564644,36,100,9,2,1,4,4,520,1,677814684,674803058,10460739,52438141,52438141,2,1,2307278204,73389,73389,4,4,4,52438141,9,3,37448,759563,258028,9333,5173,677814684,365752,8094349,432
10031.81,3,8192,2,75047,4944559940,2,37,54,45,806179,9,10,20199,5,10997868,92,1,4,11064,504,2,19,45,44300,196444328,16837037,4362,1455059168,36,100,9,2,1,4,4,520,1,1449173404,1445636167,21011787,112352531,112368915,2,1,4943511364,73389,73389,4,4,4,112352531,9,3,37948,1609071,393696,15829,11058,1449173404,790350,16445205,432
15035.58,3,8192,2,115337,7599339788,2,37,54,45,1212666,9,10,31188,5,10997868,92,1,4,16983,840,2,19,45,68008,347209000,25365305,6219,2234024181,36,100,9,2,1,4,4,520,1,2224988572,2221676398,31553915,172692905,172709289,2,1,7598487820,73389,73389,4,4,4,172692905,9,3,38795,2428685,519438,22225,16977,2224988572,1190441,24847511,432
20041.20,3,8192,2,155864,10269917120,2,37,54,45,1593795,9,10,42240,5,10997868,92,1,4,22938,964,2,19,45,91844,445991280,33908055,8170,3017592984,36,100,9,2,1,4,4,520,1,3005391260,3002341382,42049632,233383376,233399760,2,1,10268868544,73389,73389,4,4,4,233383376,9,3,39022,3213460,649437,28588,22932,3005391260,1565207,33261342,432
25046.44,3,8192,2,196304,12934268532,2,37,55,45,1960207,9,10,53322,5,11263320,92,1,4,28879,1106,2,19,45,115652,629657528,42483277,8910,3798921758,36,100,9,2,1,4,4,520,1,3783561042,3781127465,52528317,293942775,293959159,2,1,12933482100,73389,73389,4,4,4,293942775,9,3,39327,3965395,774549,34891,28873,3783561042,1925316,41710501,432
30052.96,3,8192,2,236887,15608250428,2,37,55,45,2330027,9,10,64389,5,11263320,92,1,4,34844,1117,2,19,45,139552,814978792,51059544,9903,4583935739,36,100,9,2,1,4,4,520,1,4565405522,4562817637,63024854,354725517,354725517,2,1,15607922748,73389,73389,4,4,4,354725517,9,3,39457,4724343,883747,41314,34838,4565405522,2288713,50177456,432
35059.85,3,8192,2,277543,18287281904,2,37,55,45,2689426,9,10,75477,5,11263320,92,1,4,40820,1125,2,19,45,163480,930979432,59644288,11884,5370398774,36,100,9,2,1,4,4,520,1,5348691794,5345946751,73512983,415612596,415612596,2,1,18286954224,73389,73389,4,4,4,415612596,9,3,39473,5480205,997126,47732,40814,5348691794,2641694,58649004,432
40065.86,3,8192,2,317525,20921617828,2,37,57,45,3010053,9,10,86487,5,11794224,92,1,4,46690,1310,2,19,45,186992,1080969448,68233823,12401,6142458943,36,100,9,2,1,4,4,520,1,6117627172,6116037375,83930550,475483867,475483867,2,1,20921290148,73389,73389,4,4,4,475483867,9,3,39884,6156676,1095011,54122,46684,6117627172,2955931,67141657,432
45071.40,3,8192,2,358554,23625094232,2,37,57,45,3316516,9,10,97678,5,11794224,92,1,4,52719,1430,2,19,45,211132,1213928728,76889571,14145,6935761001,36,100,9,2,1,4,4,520,1,6907729188,6906300801,94342849,536928002,536928002,2,1,23624832088,73389,73389,4,4,4,536928002,9,3,39907,6805114,1194318,60602,52713,6907729188,3255914,75698470,432
50076.65,3,8192,2,399355,26313628428,2,37,57,45,3632847,9,10,108804,5,11794224,92,1,4,58715,1530,2,19,45,235144,1330794072,85510801,15727,7724888341,36,100,9,2,1,4,4,520,1,7693666910,7692256304,104762124,598028073,598028073,2,1,26313235212,73389,73389,4,4,4,598028073,9,3,41215,7481537,1288858,67243,58709,7693666910,3565604,84225518,432
