timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5028.37,0,0,0,0,0,0,0,54,0,0,0,15,0,3,2097278,2,1,2,4,0,2,22,0,24,51616,0,0,1809,0,0,0,2,1,4,4,636,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,12,1,3,0,0,0,0,0,0,0,0,0
10036.98,1,8192,2,12888,848609748,2,6997943,54,45,168158,9,15,3300,5,10997868,92,1,4,1925,208,2,47,45,7714,55920496,3540324,498,252332236,36,107,9,2,1,4,4,636,1,251306396,248283846,4064298,19276159,19276159,2,1,848150996,73389,73389,4,4,4,19276159,12,1,3,20272,322887,156185,9131,1919,251306396,159027,3384405,265
15044.77,1,8192,2,37220,2451991616,2,6997943,54,45,459614,9,15,9882,5,10997868,92,1,4,5501,635,2,47,45,22018,64159600,13062760,1265,722975059,36,107,9,2,1,4,4,636,1,720019868,717021914,16553239,55716656,55716656,2,1,2451532864,73389,73389,4,4,4,55716656,12,1,3,24959,871817,280776,20982,5495,720019868,438632,12782886,265
20050.91,1,8192,2,67732,4462509580,2,6997943,54,45,825939,9,15,18202,5,10997868,92,1,4,9987,1015,2,47,45,39958,74493040,22171024,1998,1313247833,36,107,9,2,1,4,4,636,1,1307877788,1304750471,26999379,101396841,101413225,2,1,4461461004,73389,73389,4,4,4,101396841,12,1,3,26248,1523529,371555,28305,9981,1307877788,797634,21800928,265
25057.42,1,8192,2,98243,6472962008,2,6997943,54,45,1192255,9,15,26526,5,10997868,92,1,4,14471,1302,2,47,45,57902,101638720,31259255,2648,1903512904,36,107,9,2,1,4,4,636,1,1895735708,1892416714,37426737,147093410,147109794,2,1,6472110040,73389,73389,4,4,4,147093410,12,1,3,26386,2174149,477508,35608,14465,1895735708,1156647,30782357,265
30065.83,1,8192,2,130841,8620984424,2,6997943,54,45,1577472,9,15,35415,5,10997868,92,1,4,19260,1498,2,47,45,77082,214549432,40240961,3426,2533775373,36,107,9,2,1,4,4,636,1,2523439516,2520339316,47916088,195921038,195921038,2,1,8619804776,73389,73389,4,4,4,195904654,12,1,3,27416,2853049,589711,42463,19254,2523439516,1535009,39653456,265
35079.67,1,8192,2,157417,10372225432,2,6997943,54,45,1931148,9,15,42663,5,10997868,92,1,4,23166,3493,2,47,45,92714,257722328,49013932,351163,3047854415,36,107,9,2,1,4,4,636,1,3035406748,3032220913,58364779,235721970,235721970,2,1,10371766680,73389,73389,4,4,4,235721970,12,1,3,33024,3637797,762938,50222,23160,3035406748,1880926,48253945,265
40091.07,1,8192,2,175131,11538976696,2,6997943,55,45,2214595,9,15,47547,5,11263320,92,1,4,25768,8267,2,47,45,103118,263925272,57585264,1271262,3389610985,36,107,9,2,1,4,4,636,1,3375664978,3373250110,68749086,262228618,262245002,2,1,11538059192,73389,73389,4,4,4,262228618,12,1,3,34469,4563923,967676,60753,25762,3375664978,2153842,56622504,265
45102.50,1,8192,2,193317,12737450692,2,6997943,55,45,2508754,9,15,52512,5,11263320,92,1,4,28440,15118,2,47,45,113818,304582120,66190525,2099565,3741504332,36,107,9,2,1,4,4,636,1,3726020434,3723611182,79104368,289478579,289478579,2,1,12736336580,73389,73389,4,4,4,289462195,12,1,3,36425,5484670,1191872,71120,28434,3726020434,2437634,65005482,265
50113.53,1,8192,2,211116,13910296804,2,6997943,55,45,2787928,9,15,57360,5,11263320,92,1,4,31056,23073,2,47,45,124282,310825384,74830558,3012944,4085896400,36,107,9,2,1,4,4,636,1,4068904786,4066480713,89512703,316132683,316132683,2,1,13909117156,73389,73389,4,4,4,316116299,12,1,3,42259,6395798,1437389,81636,31050,4068904786,2706292,73401170,265
