timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.84,0,0,0,0,0,0,0,54,1,0,0,0,23,0,3,0,2097278,2,1,2,4,0,2,71,0,24,34976,0,0,1836,0,0,0,2,1,4,4,799,1,0,0,152,0,0,2,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
10036.93,1,8192,2,5441,357908636,2,8686258,54,1,45,98943,3,23,1215,5,4,10997868,92,1,4,830,1989,2,172,45,3324,1994752,2171985,288795,108240095,42,104,3,2,1,4,4,799,1,107782556,104808582,2744950,8123861,8123861,2,1,356728988,73389,73389,4,4,4,8107477,15,3,21332,308189,254692,4188,824,107782556,94755,1917441,600
15050.63,1,8192,2,23766,1565492136,2,8686258,54,1,45,403725,3,23,6213,5,4,10997868,92,1,4,3524,11136,2,172,45,14112,59704600,10707180,1206520,462904716,42,104,3,2,1,4,4,799,1,460890524,457818429,13151287,35570430,35570430,2,1,1565098920,73389,73389,4,4,4,35570430,15,3,23036,1240570,495670,15460,3518,460890524,388265,10210956,600
20056.53,1,8192,2,43941,2894848140,2,8686258,54,1,45,715683,3,23,11715,5,4,10997868,92,1,4,6491,16656,2,172,45,25980,66723736,19264586,2032314,853480194,42,104,3,2,1,4,4,799,1,849781148,846462530,23579275,65781577,65781577,2,1,2893668492,73389,73389,4,4,4,65765193,15,3,26017,2189680,714037,25488,6485,849781148,690195,18549475,600
25062.94,1,8192,2,73786,4861388140,2,8686258,54,1,45,1087058,3,23,19857,5,4,10997868,92,1,4,10875,16885,2,172,45,43520,93642544,28342015,2032884,1430438409,42,104,3,2,1,4,4,799,1,1424400796,1421304962,34017186,110472689,110489073,2,1,4860798316,73389,73389,4,4,4,110472689,15,3,31446,2855157,801450,32228,10869,1424400796,1054830,27539970,600
30068.25,1,8192,2,101636,6696652916,2,8686258,54,1,45,1411010,3,23,27505,5,4,10997868,92,1,4,14968,17068,2,172,45,59892,103072816,34277694,2033399,1969030338,42,104,3,2,1,4,4,799,1,1960878492,1957834438,40938571,152186231,152202615,2,1,6696194164,73389,73389,4,4,4,152186231,15,3,33174,3445349,891366,37950,14962,1960878492,1373060,33385601,600
35085.22,1,8192,2,126506,8335293152,2,8686258,54,1,45,1720310,3,23,34233,5,4,10997868,92,1,4,18623,18259,2,172,45,74512,111535792,46255402,2261393,2450000043,42,104,3,2,1,4,4,799,1,2439946652,2436808695,54803176,189429544,189429544,2,1,8334899936,73389,73389,4,4,4,189429544,15,3,42408,4130675,1082151,44797,18617,2439946652,1675513,45173030,600
40098.33,1,8192,2,144949,9550609900,2,8686258,54,1,45,2009677,3,23,39264,5,4,10997868,92,1,4,21334,23310,2,172,45,85356,134874552,54706674,3254597,2806759612,42,104,3,2,1,4,4,799,1,2795151772,2792034618,65219322,217039953,217056337,2,1,9549757932,73389,73389,4,4,4,217039953,15,3,47265,5104135,1342562,56480,21328,2795151772,1953197,53364805,600
45108.04,1,8192,2,163401,10766516472,2,8686258,54,1,45,2317054,3,23,44295,5,4,10997868,92,1,4,24046,28541,2,172,45,96216,175595616,63151908,4242177,3163926353,42,104,3,2,1,4,4,799,1,3150750108,3147476456,75617481,244683130,244683130,2,1,10765336824,73389,73389,4,4,4,244666746,15,3,47718,6136947,1543224,68846,24040,3150750108,2248208,61609953,600
50117.45,1,8192,2,180831,11914655512,2,8686258,55,1,45,2627685,3,23,49101,5,4,11263320,92,1,4,26606,36239,2,172,45,106464,215759408,71707860,5166389,3500287309,42,104,3,2,1,4,4,799,1,3485634386,3483063964,86031180,270780178,270780178,2,1,11914327832,73389,73389,4,4,4,270780178,15,3,49964,7092892,1811559,80837,26600,3485634386,2546848,69896398,600
