timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,HardPageFaults,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadBytes,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.22,8192,2,31246,2056514104,2,21,54,81,2006855,72,14,8181,0,5,0,7,14319322,164,1,660537,36,2975144,4,4658,13,2,21,9,36,18824,94425056,7472515,639,451133440,603942892,9,77,72,8,1,2,1,8,6909,1,601617858,598207161,11949269,46362280,46378664,2,1,2039940320,73389,73389,4,4,4,46362280,80,3,5706,2225184,275093,5372,4652,601617858,2001483,7198169,135271
10017.01,8192,2,68435,4507005008,2,21,54,81,3638877,72,14,18322,0,5,0,7,14319322,164,1,660537,36,2975144,4,10122,93,2,21,9,36,40692,158029784,15335697,1080,997892096,1322921707,9,77,72,8,1,2,1,8,6909,1,1317795266,1314618603,23634153,102058234,102074618,2,1,4490562296,73389,73389,4,4,4,102058234,80,3,6311,4105884,527673,11836,10116,1317795266,3627041,14809370,135271
15022.66,8192,2,101840,6708180428,2,21,54,81,6381606,72,14,27432,0,5,0,7,14319322,164,1,660537,36,2975144,4,15030,112,2,21,9,36,60344,254027664,22422574,1509,1489281024,1968702363,9,77,72,8,1,2,1,8,6909,1,1961096642,1958110691,36443054,152071543,152087927,2,1,6691147892,73389,73389,4,4,4,152071543,80,3,8908,7077096,794142,17589,15024,1961096642,6364017,21630703,135271
20028.29,8192,2,136771,9009894688,2,21,54,81,8665674,72,14,36964,0,5,0,7,14319322,164,1,660537,36,2975144,4,20163,130,2,21,9,36,80876,282941480,29819221,2062,1990856704,2643996462,9,77,72,8,1,2,1,8,6909,1,2633758146,2630889746,48790128,204390678,204407062,2,1,8993189832,73389,73389,4,4,4,204390678,80,3,11588,9597517,1039612,23705,20157,2633758146,8641969,28781923,135271
25033.80,8192,2,149995,9881320888,2,21,54,81,12447484,72,14,40620,1,6,582,7,14319322,164,1,660537,36,2975144,5,22108,383,2,606,9,36,88664,287653352,32188967,9475,2177368064,2899958624,9,77,72,8,1,2,1,8,6909,1,2888693186,2885622174,58902429,224192840,224209224,2,1,9864484960,73389,73389,4,4,4,224192840,80,3,12546,13526465,1152527,26624,22102,2888693186,12420860,31039815,135271
30042.97,8192,2,157056,10346459652,2,21,54,81,16625856,72,14,42546,1,6,582,7,14319322,164,1,660537,36,2975144,5,23146,1181,2,606,9,36,92816,290049896,32994626,37982,2247229440,3036581602,9,77,72,8,1,2,1,8,6909,1,3024745922,3021590815,68135514,234765665,234782049,2,1,10329689260,73389,73389,4,4,4,234765665,80,3,14119,17819475,1248368,29219,23140,3024745922,16596637,31749770,135271
35051.61,8192,2,166329,10957101568,2,21,55,81,20439731,72,14,45076,1,6,582,7,14319322,164,1,660537,36,2975144,5,24508,1500,2,606,9,36,98264,293191784,38942926,89646,2312552448,3215164781,9,77,72,8,1,2,1,8,6909,1,3202605944,3200081796,90699210,248639422,248655806,2,1,10940134568,73389,73389,4,4,4,248639422,80,3,27097,21767265,1405983,32658,24502,3202605944,20407073,37540588,135271
40058.59,8192,2,191806,12635787608,2,21,55,81,22136210,72,14,52020,1,7,582,7,14584774,164,1,660537,36,2975144,6,28250,2195,2,618,9,36,113244,336409424,46037724,93450,2390925312,3707684843,9,77,72,8,1,2,1,8,6909,1,3693208440,3690807949,102482319,286806272,286806272,2,1,12619475968,73389,73389,4,4,4,286806272,80,3,31118,23750332,1527721,40363,28244,3693208440,22095847,44514650,135271
45064.73,8192,2,228259,15037778564,2,21,55,81,22690636,72,14,62016,1,7,582,7,14584774,164,1,660537,36,2975144,6,33608,2514,2,618,9,36,134692,416879160,53663659,95031,2504790016,4412735587,9,77,72,8,1,2,1,8,6909,1,4395492216,4392972439,112091626,341398465,341398465,2,1,15020811564,73389,73389,4,4,4,341382081,80,3,32155,24649139,1653471,47673,33602,4395492216,22642963,52015591,135271
50070.70,8192,2,249224,16419438912,2,21,55,81,22971742,72,14,67734,1,7,582,7,14584774,164,1,660537,36,2975144,6,36690,2899,2,618,9,36,147020,423980088,58218859,96327,2571505664,4818284896,9,77,72,8,1,2,1,8,6909,1,4799456120,4796863705,117416251,372784942,372801326,2,1,16402537448,73389,73389,4,4,4,372784942,80,3,32155,25136915,1720701,54536,36684,4799456120,22917206,56503094,135271
55076.73,8192,2,268850,17712550200,2,21,55,81,23237935,72,14,73086,1,7,582,7,14584774,164,1,660537,36,2975144,6,39573,3244,2,618,9,36,158552,430622520,62806225,97111,2634158080,5197662356,9,77,72,8,1,2,1,8,6909,1,5177336696,5174859603,122736795,402187240,402187240,2,1,17695517664,73389,73389,4,4,4,402170856,80,3,32411,25602273,1798462,61508,39567,5177336696,23176427,61013034,135271
60094.20,8192,2,289308,19060718344,2,21,56,81,23538917,72,14,78666,1,7,582,7,14850226,164,1,660537,36,2975144,6,42578,3524,2,618,9,36,170572,437556792,78571998,168813,2695413760,5593089697,9,77,72,8,1,2,1,8,6909,1,5571208056,5568963892,144177305,432830404,432830404,2,1,19044537776,73389,73389,4,4,4,432830404,80,3,37998,26167542,1946981,68668,42572,5571208056,23470249,76630022,135271
