timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.45,8192,2,35757,2355581544,2,25,54,0,45,494473,36,9,9483,5,10997868,92,1,4,5288,14,2,13,45,21180,114887064,8754395,1446,694901723,9,45,36,2,1,4,4,330,1,692101532,688821049,10600301,53525518,53525518,2,1,2355122792,73389,73389,4,4,4,53525518,10,3,19794,910999,205380,9841,5282,692101532,484632,8548767,218
10017.50,8192,2,73432,4838188396,2,25,54,0,45,994688,36,9,19758,5,10997868,92,1,4,10823,240,2,13,45,43352,264115964,17484428,2886,1423319463,9,45,36,2,1,4,4,330,1,1417585052,1414552123,21196741,109932017,109948401,2,1,4837008748,73389,73389,4,4,4,109932017,10,3,19835,1818904,344512,20544,10817,1417585052,974144,17140170,218
15023.69,8192,2,111305,7333771376,2,25,54,0,45,1475384,36,9,30087,5,10997868,92,1,4,16390,331,2,13,45,65660,448357808,26250226,3659,2155951232,9,45,36,2,1,4,4,330,1,2147262876,2144061629,31785128,166666196,166666196,2,1,7333312624,73389,73389,4,4,4,166666196,10,3,19840,2678384,465332,30670,16384,2147262876,1444714,25785056,218
20030.26,8192,2,149298,9837218676,2,25,54,0,45,1947049,36,9,40449,5,10997868,92,1,4,21973,411,2,13,45,88052,717411352,35017937,4349,2890686675,9,45,36,2,1,4,4,330,1,2879037852,2875815450,42347275,223564215,223564215,2,1,9836104564,73389,73389,4,4,4,223547831,10,3,19849,3515187,584252,40574,21967,2879037852,1906475,34434710,218
25037.03,8192,2,185225,12204213408,2,25,55,0,45,2389991,36,9,50301,5,11263320,92,1,4,27252,650,2,13,45,109220,968263920,43828480,5763,3584634741,9,45,36,2,1,4,4,330,1,3570175826,3567666809,52891620,277353592,277369976,2,1,12203558048,73389,73389,4,4,4,277353592,10,3,19910,4313202,706677,51779,27246,3570175826,2338212,43122890,218
30042.74,8192,2,221456,14591655372,2,25,55,0,45,2836975,36,9,60180,5,11263320,92,1,4,32575,913,2,13,45,130580,1252582560,52691027,6366,4285291560,9,45,36,2,1,4,4,330,1,4268003154,4265662123,63444093,331618105,331618105,2,1,14591196620,73389,73389,4,4,4,331618105,10,3,19915,5131188,838772,64440,32569,4268003154,2772535,51853473,218
35048.28,8192,2,254988,16801153864,2,25,55,0,45,3250215,36,9,69381,5,11263320,92,1,4,37504,1058,2,13,45,150332,1418052224,60595649,7143,4933947190,9,45,36,2,1,4,4,330,1,4914057042,4911466429,72822461,381828022,381844406,2,1,16800432968,73389,73389,4,4,4,381828022,10,3,20882,5885802,951211,75391,37498,4914057042,3174824,59645523,218
40055.04,8192,2,280768,18499697312,2,25,55,0,45,3557908,36,9,76410,5,11263320,92,1,4,41294,1316,2,13,45,165492,1426784384,65109274,7782,5432653526,9,45,36,2,1,4,4,330,1,5410819922,5408086818,78197179,420420856,420437240,2,1,18498517664,73389,73389,4,4,4,420420856,10,3,20892,6432007,1019522,82041,41288,5410819922,3475867,64090804,218
45060.55,8192,2,305155,20106949112,2,25,56,0,45,3811327,36,9,83115,5,11528772,92,1,4,44874,1687,2,13,45,179812,1435032704,77615220,8400,5903738963,9,45,36,2,1,4,4,330,1,5880057682,5877939156,92631568,456949306,456965690,2,1,20105769464,73389,73389,4,4,4,456949306,10,3,26266,6918410,1115852,88020,44868,5880057682,3723307,76499857,218
50066.25,8192,2,334652,22050158296,2,25,57,1,45,4132867,36,9,91156,5,11794224,92,1,4,49206,2017,2,13,45,197148,1478657824,88330555,8970,6473362162,9,45,36,2,1,4,4,330,1,6447404324,6445937789,105020208,501132514,501132514,2,1,22049109720,73389,73389,4,4,4,501116130,10,3,29842,7522552,1220826,94793,49200,6447404324,4038074,87110448,218
55072.68,8192,2,366899,24174912124,2,25,57,1,45,4478468,36,9,99952,5,11794224,92,1,4,53945,2427,2,13,45,216112,1523898656,97386337,9626,7097056380,9,45,36,2,1,4,4,330,1,7068554532,7067023721,115446338,549413437,549429821,2,1,24174191228,73389,73389,4,4,4,549413437,10,3,30741,8173684,1314182,101449,53939,7068554532,4377019,96073010,218
60078.68,8192,2,399468,26321033996,2,25,57,1,45,4833360,36,9,108837,5,11794224,92,1,4,58733,2757,2,13,45,235276,1586053496,106474446,10633,7727093895,9,45,36,2,1,4,4,330,1,7696026206,7694337449,125890459,598191913,598208297,2,1,26320444172,73389,73389,4,4,4,598191913,10,3,31444,8832240,1404328,108023,58727,7696026206,4725337,105071439,218
