timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.45,8192,2,24209,1594584914,2,18,54,45,261651,13,6390,0,5,0,10997868,92,1,4,3591,5,2,28,45,14368,10678686,4966467,490,471474791,45,107,2,1,8,491,1,469672348,466332746,5674161,36225790,36248207,2,1,1593934760,73389,73389,4,4,4,36225790,13,3,9273,435214,114623,8990,3585,469672348,252661,4852128,206
10016.94,8192,2,46388,3056011088,2,18,54,45,495896,13,12438,0,5,0,10997868,92,1,4,6849,25,2,28,45,27400,18185118,9605370,682,900167480,45,107,2,1,8,491,1,896704924,893552750,10939511,69436924,69453308,2,1,3055224656,73389,73389,4,4,4,69436924,13,3,9273,831348,173254,17877,6843,896704924,478019,9432380,206
15022.90,8192,2,68511,4513827576,2,18,54,45,730788,13,18471,0,5,0,10997868,92,1,4,10101,39,2,28,45,40408,25677726,14244497,892,1328071849,45,107,2,1,8,491,1,1322951068,1319714706,16205615,102566138,102582522,2,1,4512910072,73389,73389,4,4,4,102566138,13,3,9753,1227731,239714,26640,10095,1322951068,704148,14005319,206
20028.24,8192,2,92298,6081226872,2,18,54,45,990850,13,24906,1,7,1804,10997868,92,1,6,13597,473,2,1850,45,54404,51719358,33552865,15186,1788101740,45,107,2,1,8,491,1,1781178780,1777950420,41157065,138197786,138214170,2,1,6080702584,73389,73389,4,4,4,138197786,13,3,13501,1743717,365624,35367,13591,1781178780,955483,33187842,206
25034.17,8192,2,119753,7890339476,2,18,54,45,1311182,13,32397,1,7,1804,10997868,92,1,6,17629,1522,2,1850,45,70548,128591102,42338248,48030,2318723993,45,107,2,1,8,491,1,2309661084,2306757587,51471294,179315471,179315471,2,1,7889159828,73389,73389,4,4,4,179299087,13,3,14038,2408159,489509,44707,17623,2309661084,1266475,41848712,206
30041.86,8192,2,146042,9622771652,2,18,54,45,1624262,13,39561,1,7,1804,10997868,92,1,6,21493,2517,2,1850,45,86012,171505246,51372202,94030,2827239914,45,107,2,1,8,491,1,2816123292,2813128340,61964426,218690419,218690419,2,1,9622378436,73389,73389,4,4,4,218690419,13,3,16823,3077600,632775,55516,21487,2816123292,1568746,50739177,206
35049.89,8192,2,174411,11491525324,2,18,55,45,1978882,13,47352,2,9,1978,11263320,92,1,8,25663,3548,2,2042,45,102716,231663722,60268260,96946,3375356844,45,107,2,1,8,491,1,3362033490,3359395266,72396465,261157625,261174009,2,1,11490935500,73389,73389,4,4,4,261157625,13,3,17359,3752181,747945,65023,25657,3362033490,1913859,59519591,206
40055.81,8192,2,196508,12947637876,2,18,55,45,2244302,13,53430,2,9,1978,11263320,92,1,8,28910,3716,2,2042,45,115704,239145386,65042782,100514,3802610413,45,107,2,1,8,491,1,3787624274,3785072300,77953033,294254071,294254071,2,1,12946458228,73389,73389,4,4,4,294237687,13,3,17365,4245949,810431,72947,28904,3787624274,2171355,64232056,206
45061.47,8192,2,218782,14415350300,2,18,55,45,2510303,13,59505,2,9,1978,11263320,92,1,8,32181,3913,2,2042,45,128788,246681770,69612123,100792,4233016082,45,107,2,1,8,491,1,4216360786,4214100009,83278991,327612661,327612661,2,1,14414236188,73389,73389,4,4,4,327596277,13,3,17365,4730812,889715,80241,32175,4216360786,2430062,68722158,206
50068.14,8192,2,240381,15838560472,2,18,55,45,2770747,13,65345,2,9,1978,11263320,92,1,8,35355,4086,2,2042,45,141484,253994666,74182553,101295,4650665759,45,107,2,1,8,491,1,4632383314,4630124830,88588103,359949410,359965794,2,1,15837774040,73389,73389,4,4,4,359949410,13,3,20688,5205575,988361,87871,35349,4632383314,2682876,73194255,206
55074.01,8192,2,269372,17748867276,2,18,55,45,3127004,13,73302,2,9,1978,11263320,92,1,8,39617,4181,2,2042,45,158556,366451474,91948093,102465,5211513306,45,107,2,1,8,491,1,5191012178,5188579369,111554061,403372921,403372921,2,1,17747687628,73389,73389,4,4,4,403356537,13,3,25670,5857027,1112504,99212,39611,5191012178,3027792,90835932,206
60088.85,8192,2,287674,18954943448,2,18,56,45,3447121,13,78294,2,9,1978,11528772,92,1,8,42304,14487,2,2042,45,169304,372750610,102032086,760080,5565161426,45,107,2,1,8,491,1,5543202642,5541147827,124221745,430786722,430786722,2,1,18954615768,73389,73389,4,4,4,430786722,13,3,34804,6794460,1435638,110435,42299,5543202642,3336690,100596244,206
65106.42,8192,2,305776,20147767628,2,18,56,45,3789950,13,83232,2,9,1978,11528772,92,1,8,44967,23876,2,2042,45,179960,413056474,110490801,1751695,5915579211,45,107,2,1,8,491,1,5892116306,5889803656,134680278,457883194,457905611,2,1,20146860536,73389,73389,4,4,4,457883194,13,3,34841,7874891,1685757,124789,44961,5892116306,3665161,108804280,206
70111.78,8192,2,329625,21718850660,2,18,57,45,4161021,13,89841,2,9,1978,11794224,92,1,8,48468,27540,2,2042,45,193980,472296714,117913719,2268520,6376016932,45,107,2,1,8,491,1,6350673188,6349085277,143850023,493602795,493602795,2,1,21717802084,73389,73389,4,4,4,493586411,13,3,37188,8752178,1885095,134120,48462,6350673188,4026901,116027237,206
75122.44,8192,2,349850,23051483464,2,18,57,45,4441044,13,95304,2,9,1978,11794224,92,1,8,51439,29721,2,2042,45,205860,479225802,127387092,2653044,6766890401,45,107,2,1,8,491,1,6739957028,6738646864,155498544,523879478,523895862,2,1,23050697032,73389,73389,4,4,4,523879478,13,3,45927,9440924,2083500,142519,51433,6739957028,4298525,125302654,206
80133.83,8192,2,367806,24234618728,2,18,57,45,4722498,13,100202,2,9,1978,11794224,92,1,8,54080,35386,2,2042,45,216428,502603634,135925705,3554356,7114561923,45,107,2,1,8,491,1,7086118180,7084520067,165868009,550762958,550779342,2,1,24233570152,73389,73389,4,4,4,550762958,13,3,46750,10383218,2282271,154096,54074,7086118180,4568402,133643666,206
85143.95,8192,2,385483,25399469448,2,18,57,45,5006836,13,105023,2,9,1978,11794224,92,1,8,56676,44460,2,2042,45,226816,508786034,144440966,4557022,7456424202,45,107,2,1,8,491,1,7426512164,7425028407,176269598,577253222,577253222,2,1,25399141768,73389,73389,4,4,4,577253222,13,3,53704,11397117,2598365,166393,56670,7426512164,4840443,141845189,206
