timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.86,0,0,0,0,0,0,0,54,0,0,6,0,0,3,0,2097278,2,1,2,4,0,2,23,0,24,51552,0,0,1762,0,0,2,1,8,478,1,0,0,70,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
10018.05,0,0,0,0,0,0,0,54,0,0,6,0,0,3,0,2097278,2,1,2,4,0,2,23,0,24,51552,0,0,1762,0,0,2,1,8,478,1,0,0,70,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
15024.44,0,0,0,0,0,0,0,54,0,0,6,0,0,3,0,2097278,2,1,2,4,0,2,23,0,24,51552,0,0,1762,0,0,2,1,8,478,1,0,0,70,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
20028.04,1,8192,2,17081,1124994908,2,17024371,54,45,207179,6,4446,1,5,171,10997868,92,1,4,2542,341,2,203,45,10180,41280912,4463510,540,333489538,45,40,2,1,8,478,1,332177820,329052450,5143249,25554661,25571045,2,1,1124405084,73389,73389,4,4,4,25554661,11,3,23506,385365,142923,6164,2536,332177820,201015,4320870,244
25034.77,1,8192,2,38480,2535097880,2,17024371,54,45,444482,6,10281,1,5,171,10997868,92,1,4,5687,527,2,203,45,22760,48526992,9048216,967,747318145,45,40,2,1,8,478,1,744399260,741274356,10427999,57596498,57612882,2,1,2534245912,73389,73389,4,4,4,57596498,11,3,23540,836820,204523,13076,5681,744399260,431406,8843993,244
30040.70,1,8192,2,59880,3945266388,2,17024371,54,45,680423,6,16116,1,5,171,10997868,92,1,4,8834,837,2,203,45,35348,55777680,13652379,1858,1161411542,45,40,2,1,8,478,1,1156882844,1153532034,15724750,89654719,89654719,2,1,3944086740,73389,73389,4,4,4,89638335,11,3,23575,1281288,277565,19906,8828,1156882844,660517,13375601,244
35047.43,1,8192,2,80495,5303458232,2,17024371,54,45,912878,6,21738,1,5,171,10997868,92,1,4,11862,1098,2,203,45,47460,62754192,18245908,2355,1559856432,45,40,2,1,8,478,1,1553768860,1550574099,21000143,120504842,120521226,2,1,5302213048,73389,73389,4,4,4,120504842,11,3,23608,1723339,354052,27112,11856,1553768860,885766,17892803,244
40058.51,1,8192,2,100343,6611383964,2,17024371,54,45,1184621,6,27099,1,5,171,10997868,92,1,4,14777,2846,2,203,45,59124,86710016,37789596,340218,1943463655,45,40,2,1,8,478,1,1935843740,1932845226,47435616,150240853,150257237,2,1,6610597532,73389,73389,4,4,4,150240853,11,3,32608,2391297,560594,35860,14771,1935843740,1148761,37230168,244
45074.26,1,8192,2,117794,7761423548,2,17024371,54,45,1519862,6,31857,1,5,171,10997868,92,1,4,17345,18963,2,203,45,69396,92812736,46248116,1355545,2281502277,45,40,2,1,8,478,1,2272436636,2269058412,57872999,176370669,176387053,2,1,7760309436,73389,73389,4,4,4,176370669,11,3,33924,3471793,803835,51146,17339,2272436636,1468716,45446138,244
50081.57,1,8192,2,136968,9024647112,2,17024371,54,45,1872763,6,37086,1,5,171,10997868,92,1,4,20162,25198,2,203,45,80664,99477248,54808299,2221083,2652306491,45,40,2,1,8,478,1,2641666460,2638350246,68327552,205095190,205095190,2,1,9023467464,73389,73389,4,4,4,205078806,11,3,39244,4464493,1094233,62313,20156,2641666460,1810450,53715607,244
55097.02,1,8192,2,167543,11039035008,2,17024371,55,45,2375443,6,45477,1,5,171,11263320,92,1,4,24652,25529,2,203,45,98644,194885736,63707472,2269919,3242547344,45,40,2,1,8,478,1,3229519698,3227101800,78925433,250879712,250879712,2,1,11037986432,73389,73389,4,4,4,250863328,11,3,43146,5300332,1232994,69415,24646,3229519698,2306028,62476214,244
60106.08,1,8192,2,185001,12189267892,2,17024371,55,45,2678143,6,50238,1,5,171,11263320,92,1,4,27217,29457,2,203,45,108908,218133280,72295460,3189451,3580201475,45,40,2,1,8,478,1,3565719378,3563381217,89330337,277019879,277019879,2,1,12188153780,73389,73389,4,4,4,277003495,11,3,48126,6267855,1500150,80415,27211,3565719378,2597728,70797270,244
