timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.81,1,8192,2,34800,2292598140,2,24,54,45,398059,18,14,9222,5,10997868,92,1,4,5147,47,2,31,45,20612,97142000,8979894,935,676373724,27,56,18,2,1,4,4,478,1,673620380,670423043,10456318,52077693,52094077,2,1,2291418492,73389,73389,4,4,4,52077693,14,3,26222,704700,157699,7181,5141,673620380,390878,8822542,191
10020.29,1,8192,2,68592,4519135992,2,24,54,45,786549,18,14,18438,5,10997868,92,1,4,10112,60,2,31,45,40484,159246696,17968374,1749,1329814589,27,56,18,2,1,4,4,478,1,1324392860,1321297021,20924210,102697210,102697210,2,1,4518677240,73389,73389,4,4,4,102697210,14,3,26584,1397187,237272,14193,10106,1324392860,772356,17731895,191
15026.98,1,8192,2,102482,6752361824,2,24,54,45,1173133,18,14,27681,5,10997868,92,1,4,15091,151,2,31,45,60416,238293576,26995068,2181,1985099317,27,56,18,2,1,4,4,478,1,1977000348,1974091852,31418308,153453832,153453832,2,1,6751247712,73389,73389,4,4,4,153437448,14,3,27119,2107908,320942,21469,15085,1977000348,1151664,26675524,191
20033.02,1,8192,2,136253,8977523420,2,24,54,45,1560880,18,14,36891,5,10997868,92,1,4,20056,288,2,31,45,80304,368695672,35999603,2853,2638542973,27,56,18,2,1,4,4,478,1,2627772828,2624558586,41879328,204024197,204024197,2,1,8977064668,73389,73389,4,4,4,204024197,14,3,27400,2807468,416901,28695,20050,2627772828,1532185,35584215,191
25040.32,1,8192,2,169837,11190170948,2,24,55,45,1940842,18,14,46104,5,11263320,92,1,4,24989,455,2,31,45,100048,448156664,45014646,3442,3286983721,27,56,18,2,1,4,4,478,1,3273559890,3271268562,52351828,254305683,254322067,2,1,11189450052,73389,73389,4,4,4,254305683,14,3,27531,3494660,498940,35654,24983,3273559890,1905188,44516912,191
30046.82,1,8192,2,203706,13422020524,2,24,55,45,2349453,18,14,55341,5,11263320,92,1,4,29968,601,2,31,45,119972,476864432,53977498,4307,3942400006,27,56,18,2,1,4,4,478,1,3926298450,3923678346,62851879,305029537,305045921,2,1,13421299628,73389,73389,4,4,4,305029537,14,3,28201,4228772,610235,42773,29962,3926298450,2306680,53368143,191
35055.71,1,8192,2,232192,15298966196,2,24,55,45,2718831,18,14,63108,5,11263320,92,1,4,34153,1666,2,31,45,136724,537970208,62804007,306347,4493231272,27,56,18,2,1,4,4,478,1,4474834770,4472441217,73304485,347693351,347693351,2,1,15298507444,73389,73389,4,4,4,347693351,14,3,28828,5027081,754331,51392,34147,4474834770,2667439,62051186,191
40068.27,1,8192,2,250351,16495405268,2,24,55,45,2997473,18,14,68061,5,11263320,92,1,4,36821,8192,2,31,45,147400,561109208,71389129,1198373,4844481285,27,56,18,2,1,4,4,478,1,4824534866,4822146532,83682638,374888127,374888127,2,1,16495077588,73389,73389,4,4,4,374888127,14,3,31907,5932825,991183,62842,36815,4824534866,2934631,70398833,191
45073.52,1,8192,2,273539,18023548500,2,24,55,45,3325279,18,14,74385,5,11263320,92,1,4,40230,11427,2,31,45,161060,671662000,80022673,1864433,5293222114,27,56,18,2,1,4,4,478,1,5271359314,5268830739,94118580,409618655,409618655,2,1,18023220820,73389,73389,4,4,4,409618655,14,3,37652,6813966,1208277,74138,40224,5271359314,3251141,78816003,191
50079.37,1,8192,2,310961,20489321358,2,24,56,45,3758104,18,14,84645,5,11528772,92,1,4,45728,11577,2,31,45,183128,1008161520,88848798,1864784,6016795836,27,56,18,2,1,4,4,478,1,5991993170,5989714825,104627962,465642289,465658673,2,1,20488260716,73389,73389,4,4,4,465642289,14,3,38745,7595622,1335858,85238,45722,5991993170,3672866,87514111,191
