timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
580016.69,0,0,19850,1306464092,0,0,0,0,1,1,5177,117,603,123885,42,1854,7,1059,124260200,1208,1,626,0,6,15,10,5,2941,603,0,626,7,0,0,1968723,10067,430173532,0,603,387,2,1,14,14,3566,1,430866628,385325622,1979601,29380325,29396709,1,2,1,1292734300,73389,73389,14,14,14,29380325,12,3,377857,126033,760270,3305,430866628,123885,1208545,1767
582027.03,253952,62,37201,2449962142,17,19220441,0,41,24,24,5177,120,675,246962,42,6276,30,1093,140299886,1352,1,626,0,29,38,19,5,3031,675,0,626,7,0,0,6229568,1109901,769358019,0,675,414,2,1,14,14,3566,1,770702128,720083014,34382374,55305341,55321725,1,2,1,2433435004,73389,73389,14,14,14,55305341,12,3,498998,251648,1170781,5899,770702128,246962,5059014,1954
584040.77,253952,62,53389,3516964306,19,23426554,0,70,24,24,5177,122,675,367463,42,10805,30,1093,140830790,1352,1,626,0,29,38,19,5,3031,675,0,626,7,0,0,10690337,2277514,1079507124,0,675,414,2,1,14,14,3566,1,1082784560,1031946128,47423396,79561348,79577732,1,2,1,3500699312,73389,73389,14,14,14,79561348,12,3,511934,374770,1355455,8280,1082784560,367463,9335271,1954
586047.77,253952,62,69854,4601854490,19,28086775,0,109,26,26,5177,125,675,490678,42,15469,30,1093,141361694,1352,1,626,0,29,40,19,5,3031,675,0,626,7,0,0,15090446,3231220,1394484597,0,675,414,2,1,14,14,3566,1,1399585584,1349107665,58756191,104220922,104237306,1,2,1,4585720568,73389,73389,14,14,14,104220922,12,3,525217,500472,1559736,10697,1399585584,490678,13531243,1954
588063.02,253952,62,86500,5698606690,20,33933319,0,140,27,27,5177,128,675,613541,42,20188,30,1093,141627146,1352,1,626,0,29,41,19,5,3031,675,0,626,7,0,0,19657770,4054959,1716685306,0,675,414,2,1,14,14,3566,1,1719794480,1669633478,72430623,129159024,129175408,1,2,1,5682997056,73389,73389,14,14,14,129159024,12,3,544659,626598,1765345,13140,1719794480,613541,17893171,1954
590070.35,253952,62,103311,6806172330,22,38911170,0,198,27,27,5177,131,675,738063,42,24869,30,1093,141892598,1352,1,626,0,29,41,19,5,3031,675,0,626,7,0,0,24283421,4736159,2043491045,0,675,414,2,1,14,14,3566,1,2043673392,1993520887,84805370,154326502,154326502,1,2,1,6790366088,73389,73389,14,14,14,154326502,12,3,556907,753876,1943881,15611,2043673392,738063,22340463,1954
592075.80,253952,62,116196,7655381826,25,44414723,0,233,27,27,5177,133,675,820402,42,28584,30,1093,142423502,1352,1,626,0,29,41,19,5,3031,675,0,626,7,0,0,27479058,4991548,2291593596,0,675,414,2,1,14,14,3566,1,2291661616,2241731199,94182534,173628952,173628952,1,2,1,7639673888,73389,73389,14,14,14,173628952,12,3,564598,838092,2065644,17503,2291661616,820402,25414447,1954
594083.69,253952,62,129564,8535979758,25,46105906,0,261,30,30,5177,135,675,908013,42,32296,30,1093,142688954,1352,1,626,0,29,44,19,5,3031,675,0,626,7,0,0,30797741,5297686,2547700538,0,675,414,2,1,14,14,3566,1,2548562736,2499092764,99842955,193638073,193654457,1,2,1,8520075212,73389,73389,14,14,14,193638073,12,3,577010,927587,2187686,19463,2548562736,908013,28611208,1954
596088.55,253952,62,140730,9271736514,28,50036040,0,281,30,30,5177,137,675,965646,42,35450,30,1093,142942340,1352,1,626,0,29,44,19,5,3031,675,0,626,7,0,0,33174154,5307185,2764460478,0,675,414,2,1,14,14,3566,1,2763782960,2714225424,106204533,210366520,210366520,1,2,1,9256126880,73389,73389,14,14,14,210366520,12,3,579877,986543,2247394,21105,2763782960,965646,30928009,1954
598094.86,253952,62,151801,10001532802,28,52503653,0,307,30,30,5177,138,675,1020274,42,38523,30,1093,143207792,1352,1,626,0,29,44,19,5,3031,675,0,626,7,0,0,35422882,5307266,2977177286,0,675,414,2,1,14,14,3566,1,2976938522,2927546796,110924294,226953544,226953544,1,2,1,9985955936,73389,73389,14,14,14,226953544,12,3,598580,1042473,2335237,22732,2976938522,1020274,33088978,1954
600101.67,253952,62,165766,10921462258,28,54394517,0,352,34,34,5177,141,675,1124060,42,42497,30,1093,144004148,1352,1,626,0,29,48,19,5,3031,675,0,626,7,0,0,39143721,6203215,3243968731,0,675,414,2,1,14,14,3566,1,3245050832,3196309159,118002381,247857308,247873692,1,2,1,10905721552,73389,73389,14,14,14,247857308,12,3,637585,1148378,2512295,24780,3245050832,1124060,36632881,1954
602111.34,253952,62,179969,11856782750,29,58819452,0,393,35,35,5177,143,675,1240415,42,46479,30,1093,144004148,1352,1,626,0,29,49,19,5,3031,675,0,626,7,0,0,43207894,7728352,3517262093,0,675,414,2,1,14,14,3566,1,3518204880,3469754182,129590823,269119805,269136189,1,2,1,11841271420,73389,73389,14,14,14,269119805,12,3,659571,1266977,2703315,26864,3518204880,1240415,40506174,1954
604118.57,253952,62,194827,12836091130,31,64081229,0,439,37,37,5177,146,675,1350392,42,50698,30,1093,144535052,1352,1,626,0,29,51,19,5,3031,675,0,626,7,0,0,47376552,8607550,3803799756,0,675,414,2,1,14,14,3566,1,3804335056,3755990025,140069313,291381282,291381282,1,2,1,12820055512,73389,73389,14,14,14,291364898,12,3,677529,1379371,2878205,29047,3804335056,1350392,44500095,1954
606129.76,253952,62,210688,13881397570,33,69181270,0,490,37,37,5177,148,675,1479534,42,55133,30,1093,145065956,1352,1,626,0,29,51,19,5,3031,675,0,626,7,0,0,51851550,9639532,4108817094,0,675,414,2,1,14,14,3566,1,4109732816,4061549007,152518568,315139736,315139736,1,2,1,13866148384,73389,73389,14,14,14,315139736,12,3,707933,1511024,3082314,31377,4109732816,1479534,48771128,1954
608138.25,253952,62,226445,14919622814,33,73019547,0,539,39,39,5177,151,675,1595459,42,59597,30,1093,145596860,1352,1,626,0,29,53,19,5,3031,675,0,626,7,0,0,56202758,10797169,4410945828,0,675,414,2,1,14,14,3566,1,4413033424,4365019318,162402707,338728317,338744701,1,2,1,14904045948,73389,73389,14,14,14,338728317,12,3,737912,1629388,3272372,33691,4413033424,1595459,52932422,1954
610149.33,253952,62,242707,15990943738,35,76824712,0,597,41,41,5177,153,675,1716278,42,64142,30,1093,145596860,1352,1,626,0,29,55,19,5,3031,675,0,626,7,0,0,60779350,11513183,4724358687,0,675,414,2,1,14,14,3566,1,4726164432,4678213392,172732175,363078754,363095138,1,2,1,15975465176,73389,73389,14,14,14,363078754,12,3,764275,1752744,3498295,36080,4726164432,1716278,57283254,1954
612158.73,253952,62,259154,17074654274,36,81818168,0,650,42,42,5177,156,675,1827714,42,68790,30,1093,146127764,1352,1,626,0,29,56,19,5,3031,675,0,626,7,0,0,65320195,12131298,5043419036,0,675,414,2,1,14,14,3566,1,5042834384,4995125966,184094841,387705560,387705560,1,2,1,17059044640,73389,73389,14,14,14,387705560,12,3,792325,1866739,3694655,38496,5042834384,1827714,61627903,1954
614168.88,253952,62,275837,18174096758,36,86688865,0,685,43,43,5177,159,675,1937973,42,73515,30,1093,146658668,1352,1,626,0,29,57,19,5,3031,675,0,626,7,0,0,69878615,12815827,5359980537,0,675,414,2,1,14,14,3566,1,5363698640,5316400347,195678431,412698847,412698847,1,2,1,18158028372,73389,73389,14,14,14,412682463,12,3,825794,1979562,3905063,40944,5363698640,1937973,65975083,1954
616177.57,253952,62,292918,19298931134,38,91731058,0,740,43,43,5177,162,675,2064440,42,78330,30,1093,146924120,1352,1,626,0,29,57,19,5,3031,675,0,626,7,0,0,74691526,13273633,5689134378,0,675,414,2,1,14,14,3566,1,5691644747,5645271412,208570294,438251349,438267733,1,2,1,19283059356,73389,73389,14,14,14,438251349,12,3,857566,2108697,4125284,43450,5691644747,2064440,70568927,1954
618186.13,253952,62,309866,20415740658,39,95507864,0,817,43,43,5177,165,675,2187144,42,83117,30,1093,147455024,1352,1,626,0,29,57,19,5,3031,675,0,626,7,0,0,79361603,13392184,6018822553,0,675,414,2,1,14,14,3566,1,6018145099,5971661752,217834213,463637852,463654236,1,2,1,20400065488,73389,73389,14,14,14,463637852,12,3,882675,2234011,4319873,45941,6018145099,2187144,75044580,1954
620194.04,253952,62,327366,21568532754,40,99003087,0,881,44,44,5177,169,675,2307670,42,88111,30,1093,147985928,1352,1,626,0,29,58,19,5,3031,675,0,626,7,0,0,83929616,13437680,6355492360,0,675,414,2,1,14,14,3566,1,6354638185,6308577186,226893920,489849588,489865972,1,2,1,21553381872,73389,73389,14,14,14,489849588,12,3,904748,2357216,4496649,48515,6354638185,2307670,79436000,1954
622199.75,253952,62,345209,22744113984,42,103422174,0,954,47,47,5177,172,675,2428445,42,93184,30,1093,148782284,1352,1,626,0,29,61,19,5,3031,675,0,626,7,0,0,88679225,13479654,6698884422,0,675,414,2,1,14,14,3566,1,6697070602,6652174487,237440343,516567069,516583453,1,2,1,22728951036,73389,73389,14,14,14,516567069,12,3,947863,2480764,4730952,51134,6697070602,2428445,83951489,1954
624205.10,253952,62,362689,23895628128,43,107274015,0,1033,47,47,5177,176,675,2544785,42,98170,30,1093,149578640,1352,1,626,0,29,61,19,5,3031,675,0,626,7,0,0,93162649,13490984,7035394437,0,675,414,2,1,14,14,3566,1,7033527107,6988763326,246609559,542737845,542754229,1,2,1,23880465180,73389,73389,14,14,14,542737845,12,3,972784,2599845,4933961,53707,7033527107,2544785,88232085,1954
626210.06,253952,62,380721,25083744128,44,109991112,0,1083,47,47,5177,179,675,2651509,42,103249,30,1093,149844092,1352,1,626,0,29,61,19,5,3031,675,0,626,7,0,0,97380005,13491583,7383178057,0,675,414,2,1,14,14,3566,1,7380343619,7336033952,254051947,569744205,569744205,1,2,1,25068745020,73389,73389,14,14,14,569744205,12,3,992500,2709143,5107963,56353,7380343619,2651509,92275626,1954
628215.00,253952,62,398584,26259116684,44,112427567,0,1125,48,48,5177,185,675,2748575,42,108442,30,1093,151171352,1352,1,626,0,29,62,19,5,3031,675,0,626,7,0,0,101521561,13492039,7721999367,0,675,414,2,1,14,14,3566,1,7720825283,7679571984,261556854,596469878,596469878,1,2,1,26244674632,73389,73389,14,14,14,596469878,12,3,1031721,2808585,5254578,58972,7720825283,2748575,96270733,1954
628620.47,253952,62,400982,26415782060,45,112949776,1,1133,48,48,5177,191,675,2760240,42,109422,37,1093,158511825,1359,1,626,1035,36,69,19,29,3048,675,630,626,7,1035,95,102357628,13492045,7767569298,8,675,414,2,1,14,14,3566,1,7763869224,7725268584,314080789,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,12,3,1044396,2820574,5292689,59330,7763869224,2760240,97068723,1954
