timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
362816.79,4096,1,22249,1464758830,0,0,0,41,41,3951,117,675,121175,13,2085,54,89,139503530,1352,1,53,55,15,12,251,675,1995166,14,482210637,675,333,2,1,14,14,363,1,483164356,431913265,1996233,32927017,32943401,1,2,1,1448067852,73389,73389,14,14,14,32910633,8,3,423851,123217,765610,3704,483164356,121175,1229642,1608
364821.62,253952,62,44233,2913465814,1,1000257,1,41,41,3951,121,675,213345,13,8252,54,89,140565338,1352,1,53,55,15,12,251,675,6214327,77,903875720,675,333,2,1,14,14,363,1,906361648,855524851,10877184,65859623,65859623,1,2,1,2897823412,73389,73389,14,14,14,65859623,8,3,475460,217606,947836,6934,906361648,213345,5266744,1608
366826.59,253952,62,65759,4331891858,1,1000257,1,41,41,3951,124,675,311433,13,14288,54,89,141096242,1352,1,53,55,15,12,251,675,10537706,177,1319674150,675,333,2,1,14,14,363,1,1320811312,1270173720,18782580,98098068,98098068,1,2,1,4316314992,73389,73389,14,14,14,98098068,8,3,480431,317973,1058639,10096,1320811312,311433,9479478,1608
368831.67,253952,62,87202,5744878414,1,1000257,1,41,41,3951,128,675,406762,13,20357,54,89,141627146,1352,1,53,55,15,12,251,675,14839650,345,1732195298,675,333,2,1,14,14,363,1,1733557040,1683195739,32639642,130213633,130213633,1,2,1,5728413504,73389,73389,14,14,14,130191216,8,3,492851,415532,1221192,13245,1733557040,406762,13619042,1608
370836.20,253952,62,109010,7181785610,1,1000257,1,41,41,3951,131,675,505853,13,26468,54,89,142158050,1352,1,53,55,15,12,251,675,19120541,507,2152056042,675,333,2,1,14,14,363,1,2153249584,2103331993,40910974,162861678,162861678,1,2,1,7165913832,73389,73389,14,14,14,162861678,8,3,498412,516843,1355767,16447,2153249584,505853,17765519,1608
372840.40,253952,62,130670,8608993478,1,1000257,1,41,41,3951,135,675,599868,13,32597,54,89,142688954,1352,1,53,55,15,12,251,675,23327791,557,2569035227,675,333,2,1,14,14,363,1,2570451760,2520472563,48555684,195304923,195304923,1,2,1,8593416612,73389,73389,14,14,14,195304923,8,3,503944,613039,1476270,19630,2570451760,599868,21852432,1608
374845.65,253952,62,152545,10049967214,1,1000257,1,41,41,3951,139,675,694660,13,38732,54,89,143207792,1352,1,53,55,15,12,251,675,27577450,692,2989768789,675,333,2,1,14,14,363,1,2990509008,2941674565,58575116,228057305,228057305,1,2,1,10034521420,73389,73389,14,14,14,228057305,8,3,506421,710015,1579144,22838,2990509008,694660,25999379,1608
376849.82,253952,62,173877,11455679274,1,1000257,1,41,41,3951,142,675,783672,13,44762,54,89,144004148,1352,1,53,55,15,12,251,675,31945328,796,3400082358,675,333,2,1,14,14,363,1,3401026512,3352457231,70646773,260009030,260009030,1,2,1,11440397320,73389,73389,14,14,14,260009030,8,3,517250,801271,1695806,25970,3401026512,783672,30250769,1608
378854.53,253952,62,195223,12862043386,1,1000257,1,41,41,3951,146,675,873135,13,50804,54,89,144535052,1352,1,53,55,15,12,251,675,36111568,853,3810636539,675,333,2,1,14,14,363,1,3812199376,3763584363,80622082,291971106,291971106,1,2,1,12846007768,73389,73389,14,14,14,291954722,8,3,520246,893215,1818337,29107,3812199376,873135,34294645,1608
380859.79,253952,62,216499,14264085430,1,1000257,1,41,41,3951,149,675,967839,13,56774,54,89,145065956,1352,1,53,55,15,12,251,675,40570634,974,4219488856,675,333,2,1,14,14,363,1,4221537232,4173433110,91599618,323832719,323849103,1,2,1,14248639636,73389,73389,14,14,14,323832719,8,3,526259,990118,1924308,32230,4221537232,967839,38647911,1608
