timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
590681.45,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,0,626,8,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0
592686.75,0,0,20214,1330584648,0,0,0,0,1,1,4963,117,612,122479,7,1888,7,0,126296834,1226,1,626,0,6,15,0,5,969,612,0,626,8,0,0,1977735,11335,437252574,0,612,400,2,1,14,14,456,1,438730948,392402192,1990040,29927030,29943414,1,2,1,1316789320,73389,73389,14,14,14,29927030,8,3,384658,124478,858777,3365,438730948,122479,1119042,1666
594692.28,253952,62,36464,2401396658,17,17919795,0,50,28,28,4963,120,675,230423,7,6113,34,28,140299886,1352,1,626,0,33,42,6,5,1086,675,0,626,8,0,0,5782121,713616,750874625,0,675,430,2,1,14,14,456,1,756808496,705857146,37655562,54217964,54217964,1,2,1,2385590416,73389,73389,14,14,14,54217964,8,3,506073,234608,1242663,5793,756808496,230423,4539673,1842
596697.85,253952,62,47654,3138726278,26,28715887,0,76,28,28,4963,121,675,283226,7,9211,34,28,140565338,1352,1,626,0,33,42,6,5,1086,675,0,626,8,0,0,8236276,804203,968282187,0,675,430,2,1,14,14,456,1,972159792,921366718,51882824,70979179,70979179,1,2,1,3122362980,73389,73389,14,14,14,70962795,8,3,511378,288609,1305791,7436,972159792,283226,6930789,1842
598704.88,253952,62,58939,3882281818,26,30301550,0,101,28,28,4963,123,675,342108,7,12372,34,28,140830790,1352,1,626,0,33,42,6,5,1086,675,0,626,8,0,0,10658316,805196,1189366210,0,675,430,2,1,14,14,456,1,1189346096,1138686670,55914715,87871466,87887850,1,2,1,3866344504,73389,73389,14,14,14,87871466,8,3,513458,348816,1371053,9093,1189346096,342108,9287658,1842
600714.21,253952,62,73251,4825542090,26,33245890,0,145,33,33,4963,126,675,454322,7,16440,34,28,141361694,1352,1,626,0,33,47,6,5,1086,675,0,626,8,0,0,14633527,2145131,1462911175,0,675,430,2,1,14,14,456,1,1464859440,1414476489,64863815,109307710,109324094,1,2,1,4809539240,73389,73389,14,14,14,109307710,8,3,544455,463159,1569701,11195,1464859440,454322,13064348,1842
602728.03,253952,62,88184,5809500218,29,40398676,0,191,33,33,4963,128,675,568509,7,20627,34,28,141627146,1352,1,626,0,33,47,6,5,1086,675,0,626,8,0,0,18791402,3245418,1748924315,0,675,430,2,1,14,14,456,1,1752431408,1702086601,79185747,131677842,131694226,1,2,1,5793825048,73389,73389,14,14,14,131677842,8,3,561727,579989,1747801,13389,1752431408,568509,17044277,1842
604743.69,253952,62,103603,6825574294,29,44435897,0,234,37,37,4963,131,675,687505,7,24999,34,28,142158050,1352,1,626,0,33,51,6,5,1086,675,0,626,8,0,0,22981416,4455496,2046863017,0,675,430,2,1,14,14,456,1,2049309488,1999165195,89947343,154758519,154774903,1,2,1,6809374836,73389,73389,14,14,14,154758519,8,3,597067,703085,1970371,15654,2049309488,687505,21011863,1842
606753.66,253952,62,119514,7873892082,30,48936958,0,266,40,40,4963,133,675,811530,7,29450,34,28,142423502,1352,1,626,0,33,54,6,5,1086,675,0,626,8,0,0,27246195,6098949,2347034789,0,675,430,2,1,14,14,456,1,2355493680,2305602349,106332593,178584668,178601052,1,2,1,7857725392,73389,73389,14,14,14,178584668,8,3,631204,829503,2220093,17990,2355493680,811530,25027073,1842
608764.72,253952,62,135393,8920378170,33,56113855,0,287,42,42,4963,136,675,927485,7,33959,34,28,142942340,1352,1,626,0,33,56,6,5,1086,675,0,626,8,0,0,31674061,7746926,2656642224,0,675,430,2,1,14,14,456,1,2661022512,2611499061,124762139,202367698,202384082,1,2,1,8904178712,73389,73389,14,14,14,202367698,8,3,660562,947810,2462507,20321,2661022512,927485,29212682,1842
610776.74,253952,62,152119,10022373250,35,60591488,0,312,44,44,4963,138,675,1052449,7,38622,34,28,143207792,1352,1,626,0,33,58,6,5,1086,675,0,626,8,0,0,36217053,9142984,2980303435,0,675,430,2,1,14,14,456,1,2982836762,2933615293,141310004,227428680,227428680,1,2,1,10006141024,73389,73389,14,14,14,227412296,8,3,690684,1075214,2681607,22777,2982836762,1052449,33536713,1842
612784.95,253952,62,168501,11101499574,38,66012961,0,333,46,46,4963,141,675,1167022,7,43246,34,28,144004148,1352,1,626,0,33,60,6,5,1086,675,0,626,8,0,0,40964724,10378358,3295506321,0,675,430,2,1,14,14,456,1,3297610704,3248976725,161184659,251955023,251971407,1,2,1,11086021012,73389,73389,14,14,14,251955023,8,3,717675,1192316,2915128,25181,3297610704,1167022,38051030,1842
614791.46,253952,62,185482,12220206334,38,68070698,0,352,46,46,4963,144,675,1296724,7,48038,34,28,144269600,1352,1,626,0,33,60,6,5,1086,675,0,626,8,0,0,45703272,11316361,3622691205,0,675,430,2,1,14,14,456,1,3624504272,3576021716,175114781,277368261,277384645,1,2,1,12204203484,73389,73389,14,14,14,277368261,8,3,749493,1324546,3149269,27675,3624504272,1296724,42555610,1842
616799.09,253952,62,202792,13361005342,41,73614444,0,398,47,47,4963,147,675,1415690,7,52923,34,28,144800504,1352,1,626,0,33,61,6,5,1086,675,0,626,8,0,0,50440405,11688918,3956579743,0,675,430,2,1,14,14,456,1,3957427152,3909389958,188985656,303301469,303317853,1,2,1,13345264636,73389,73389,14,14,14,303301469,8,3,767692,1446110,3351730,30215,3957427152,1415690,47090464,1842
618808.06,253952,62,221143,14570292778,45,79702690,0,434,49,49,4963,150,675,1530409,7,58093,34,28,145331408,1352,1,626,0,33,63,6,5,1086,675,0,626,8,0,0,55074294,11854405,4312365890,0,675,430,2,1,14,14,456,1,4310928336,4263008395,200989910,330780806,330797190,1,2,1,14554355464,73389,73389,14,14,14,330780806,8,3,778008,1564119,3521196,32912,4310928336,1530409,51555071,1842
620815.62,253952,62,239393,15772442240,46,83081470,0,488,51,51,4963,153,675,1649988,7,63236,34,28,145596860,1352,1,626,0,33,65,6,5,1086,675,0,626,8,0,0,59680882,11883616,4662248780,0,675,430,2,1,14,14,456,1,4662070224,4614371645,210765668,358117005,358117005,1,2,1,15757148220,73389,73389,14,14,14,358117005,8,3,787021,1686268,3679185,35591,4662070224,1649988,56003856,1842
622821.15,253952,62,257195,16945738346,46,86552245,0,553,51,51,4963,156,675,1774872,7,68255,34,28,146127764,1352,1,626,0,33,65,6,5,1086,675,0,626,8,0,0,64338612,11963874,5004648775,0,675,430,2,1,14,14,456,1,5004954576,4957423494,220176486,384777142,384777142,1,2,1,16930194248,73389,73389,14,14,14,384777142,8,3,801740,1813736,3877045,38207,5004954576,1774872,60463905,1842
624826.63,253952,62,274838,18108360842,48,90909282,0,629,52,52,4963,158,675,1897629,7,73178,34,28,146658668,1352,1,626,0,33,66,6,5,1086,675,0,626,8,0,0,68797861,11964733,5345749526,0,675,430,2,1,14,14,456,1,5344693200,5297222249,229678611,411201870,411201870,1,2,1,18092161384,73389,73389,14,14,14,411185486,8,3,807626,1939062,4016756,40799,5344693200,1897629,64783627,1842
626831.14,253952,62,293218,19318857386,48,94445460,0,674,52,52,4963,162,675,1992935,7,78410,34,28,146924120,1352,1,626,0,33,66,6,5,1086,675,0,626,8,0,0,72922282,11964888,5697598268,0,675,430,2,1,14,14,456,1,5697805131,5651112911,238121583,438716134,438716134,1,2,1,19302789000,73389,73389,14,14,14,438699750,8,3,815404,2036670,4148808,43497,5697805131,1992935,68776176,1842
628835.95,253952,62,313399,20648147854,48,95432166,0,697,52,52,4963,166,675,2083458,7,84134,34,28,147720476,1352,1,626,0,33,66,6,5,1086,675,0,626,8,0,0,77141359,11965034,6087607884,0,675,430,2,1,14,14,456,1,6085416297,6039571682,244172758,468935473,468935473,1,2,1,20633160812,73389,73389,14,14,14,468935473,8,3,820345,2129427,4273005,46461,6085416297,2083458,72871229,1842
630840.68,253952,62,331730,21856124570,49,98541295,0,740,53,53,4963,169,675,2176949,7,89300,34,28,148251380,1352,1,626,0,33,67,6,5,1086,675,0,626,8,0,0,81211702,11965140,6440761386,0,675,430,2,1,14,14,456,1,6438524265,6392655301,253734675,496390234,496390234,1,2,1,21841170296,73389,73389,14,14,14,496390234,8,3,825637,2225188,4390652,49155,6438524265,2176949,76824045,1842
632845.58,253952,62,351155,23135649204,50,102584475,0,771,54,54,4963,173,675,2269205,7,94858,34,28,148782284,1352,1,626,0,33,68,6,5,1086,675,0,626,8,0,0,85266976,11965242,6812072738,0,675,430,2,1,14,14,456,1,6811758602,6766675084,261532656,525473044,525473044,1,2,1,23120093040,73389,73389,14,14,14,525456660,8,3,849581,2319596,4528449,52009,6811758602,2269205,80741698,1842
634849.99,253952,62,371428,24471532656,50,103915583,0,794,54,54,4963,177,675,2358984,7,100606,34,28,149844092,1352,1,626,0,33,68,6,5,1086,675,0,626,8,0,0,89414015,11965391,7202443567,0,675,430,2,1,14,14,456,1,7201561411,7157139382,269955331,555835521,555835521,1,2,1,24456762924,73389,73389,14,14,14,555835521,8,3,874324,2411563,4661929,54989,7201561411,2358984,84755434,1842
636854.33,253952,62,391427,25787945300,50,104518281,0,799,56,56,4963,184,675,2446278,7,106422,34,28,150640448,1352,1,626,0,33,70,6,5,1086,675,0,626,8,0,0,93584885,11965441,7584260874,0,675,430,2,1,14,14,456,1,7583905519,7541845707,279425180,585759948,585759948,1,2,1,25773437712,73389,73389,14,14,14,585759948,8,3,916800,2501003,4796690,57924,7583905519,2446278,88791697,1842
637929.44,253952,62,400982,26415782060,53,106496105,2,802,56,56,4963,191,675,2489777,7,109422,41,28,158511825,1359,1,626,1035,40,77,13,33,1105,675,582,626,8,1035,87,95880739,11965558,7767493848,8,675,430,2,1,14,14,456,1,7763869224,7725268584,335522276,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,8,3,936363,2545495,4883932,59330,7763869224,2489777,91000397,1842
