timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
548227.40,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
550233.67,0,253952,62,9029,593992952,0,1127235,92,3,3,4909,114,0,558,84061,0,16,3520,13,1,95795055,1118,1,1081,0,4,888,11066748,6,44202260,12,17,0,9,974,558,1081,10,0,0,4743678,74304,216761653,0,558,459,0,3,1,14,14,1476,3,216701579,189906693,5931286,11240695,11240695,1,3,1,584516172,73389,73389,14,14,14,11240699,9,3,75652,85808,259083,1858,216701579,84061,4484789,1712
552240.54,5,253952,62,18489,1217112738,0,2294677,180,3,3,4909,154,0,567,161116,0,16,7234,13,1,98874997,1136,1,1081,0,4,888,22893669,6,91574676,12,17,0,9,974,567,1081,10,0,0,9530946,107603,415418941,0,567,467,0,3,1,14,14,1476,3,415817320,385850831,11898779,23236769,23236769,1,3,1,1208312020,73389,73389,14,14,14,23236773,9,3,77044,164649,365286,3467,415817320,161116,9166062,1743
554244.94,5,253952,62,25295,1665310568,1,4486831,214,3,3,4909,218,0,567,201664,0,16,9916,13,1,100721095,1136,1,1081,0,4,888,31375281,6,125501124,12,17,0,9,974,567,1081,10,0,0,12450546,107908,557295084,0,567,467,0,3,1,14,14,1476,3,556924729,527237455,17023611,31839640,31839640,1,3,1,1655661312,73389,73389,14,14,14,31839644,9,3,80270,206297,412287,4683,556924729,201664,12038780,1743
556250.67,5,253952,62,32893,2165412910,1,5349233,220,3,3,4909,242,0,567,245928,0,16,12884,13,1,102567193,1136,1,1081,0,4,888,40858583,6,163369636,12,17,0,9,974,567,1081,10,0,0,15990052,107965,711515828,0,567,467,0,3,1,14,14,1476,3,711007729,684694236,21426262,41458319,41458319,1,3,1,2155832620,73389,73389,14,14,14,41458323,9,3,85877,251784,485228,5916,711007729,245928,15505490,1743
558256.20,5,253952,62,41203,2712864646,1,6498749,237,4,4,4909,320,0,567,301010,0,16,16186,14,1,103218757,1136,1,1081,0,4,888,51243089,6,204972356,13,18,0,9,984,567,1081,10,0,0,20049184,108867,887599677,0,567,467,0,3,1,14,14,1476,3,886799240,857026642,26634587,51990184,51990184,1,3,1,2703489600,73389,73389,14,14,14,51990188,9,3,89831,308388,552215,7418,886799240,301010,19497811,1743
560261.17,6,253952,62,47798,3147572228,2,8630297,278,4,4,4909,335,0,567,339286,0,16,18756,14,1,105402703,1136,1,1081,0,4,888,59464028,6,237856112,13,18,0,9,984,567,1081,10,0,0,22943012,108969,1024860078,0,567,467,0,3,1,14,14,1476,3,1023947343,993748905,31658096,60345136,60345136,1,3,1,3137947104,73389,73389,14,14,14,60345140,9,3,95503,347682,616513,8511,1023947343,339286,22327460,1743
562267.70,6,253952,62,55610,3662399102,2,10176543,331,5,5,4909,410,0,576,393796,0,16,21862,14,1,108819640,1154,1,1081,0,4,888,69225848,6,276903392,13,19,0,9,984,576,1081,10,0,0,26838688,127534,1186774580,0,576,472,0,3,1,14,14,1476,3,1186475303,1155740996,37107443,70262601,70262601,1,3,1,3652803316,73389,73389,14,14,14,70246221,9,3,99584,403632,681611,9895,1186475303,393796,26158186,1770
564272.99,6,253952,62,63844,4204978452,2,11350341,411,5,5,4909,440,0,585,456205,0,16,25070,14,1,112478223,1172,1,1081,0,4,888,79516829,6,318002668,13,19,0,9,984,585,1081,10,0,0,31099706,142998,1363933647,0,585,480,0,3,1,14,14,1476,3,1363245626,1326703768,42518803,80683652,80683652,1,3,1,4195549936,73389,73389,14,14,14,80683656,9,3,102930,467607,755571,11324,1363245626,456205,30345412,1798
566280.27,6,253952,62,69994,4609327980,3,13916623,424,6,6,4909,501,0,585,490195,0,16,27511,14,1,113467635,1172,1,1081,0,4,888,87165506,6,348662024,13,20,0,9,984,585,1081,10,0,0,33769200,164082,1485520180,0,585,480,0,3,1,14,14,1476,3,1484971049,1454301756,47816841,88441032,88441032,1,3,1,4598933696,73389,73389,14,14,14,88441036,9,3,107095,502530,798504,12376,1484971049,490195,32972070,1798
568295.82,6,253952,62,77961,5134892102,3,15255862,493,6,6,4909,536,0,585,562433,0,16,30621,14,1,115615383,1172,1,1081,0,4,888,97076525,6,388241328,13,20,0,9,984,585,1081,10,0,0,38293801,320864,1655872315,0,585,480,0,3,1,14,14,1476,3,1655014585,1620146991,53828163,98526211,98526211,1,3,1,5123363004,73389,73389,14,14,14,98526215,9,3,108068,576384,875216,13756,1655014585,562433,37420124,1798
570301.55,6,253952,62,83915,5526722356,4,17718291,522,6,6,4909,590,0,585,601461,0,16,32976,14,1,116628927,1172,1,1081,0,4,888,104496182,6,417984728,13,20,0,9,984,585,1081,10,0,0,40988699,337457,1783657279,0,585,480,0,3,1,14,14,1476,3,1782985900,1743458404,58999452,106052056,106068440,1,3,1,5514706944,73389,73389,14,14,14,106052060,9,3,113866,616417,918208,14849,1782985900,601461,40072141,1798
572316.78,6,253952,62,91243,6010964010,4,19085819,567,7,7,4909,622,0,585,659476,0,16,35843,14,1,118728411,1172,1,1081,0,4,888,113611042,6,454379704,13,21,0,9,984,585,1081,10,0,0,44836066,436657,1941712473,0,585,480,0,3,1,14,14,1476,3,1941031273,1896732847,64305250,115330101,115330101,1,3,1,5996313316,73389,73389,14,14,14,115313721,9,3,124452,675826,996343,16129,1941031273,659476,43841521,1798
574325.92,6,253952,62,99123,6530548982,4,20604164,639,7,7,4909,698,0,585,728958,0,16,38963,14,1,118728411,1172,1,1081,0,4,888,123413426,6,493653704,13,21,0,9,984,585,1081,10,0,0,49259460,555544,2114953924,0,585,480,0,3,1,14,14,1476,3,2113343911,2060991634,70332238,125269983,125269983,1,3,1,6514039148,73389,73389,14,14,14,125269987,9,3,128217,747027,1095253,17611,2113343911,728958,48166169,1798
576332.75,8,253952,62,106935,7044120992,4,22114600,708,7,7,4909,730,0,585,795681,0,16,42008,14,1,118728411,1172,1,1081,0,4,888,133174216,6,532567728,13,21,0,9,984,585,1081,10,0,0,53638029,708998,2278716305,0,585,480,0,3,1,14,14,1476,3,2277324375,2223372867,76336063,135105972,135105972,1,3,1,7025510576,73389,73389,14,14,14,135105976,9,3,132596,815315,1185153,18939,2277324375,795681,52455007,1798
