timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
142548.31,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
144552.46,0,0,22041,1450922220,0,0,0,1,1,5114,117,666,125467,2,63,2058,16,38,137527226,1334,1,15,15,14,93,666,1993129,26,477753733,664,306,2,2,1,14,14,361,1,478314692,427813152,1993586,32626072,32648489,1,2,1,1435547168,73389,73389,14,14,14,32626072,10,3,420605,127543,797954,3667,478314692,125467,1195264,1639
146556.99,253952,62,45101,2970616514,11,11461622,18,29,29,5114,121,675,238053,2,63,8489,44,71,140565338,1352,1,43,43,14,206,675,6687405,175,919997187,673,309,2,2,1,14,14,361,1,923007792,872209869,31453754,67143608,67159992,1,2,1,2954318752,73389,73389,14,14,14,67143608,10,3,517914,242713,1141027,7061,923007792,238053,5546624,1658
148561.78,253952,62,65340,4304166822,15,15744333,54,29,29,5114,124,675,333641,2,63,14174,44,71,141096242,1352,1,43,43,14,206,675,10698812,2485,1311797228,673,309,2,2,1,14,14,361,1,1312684848,1262063909,48903691,97469443,97469443,1,2,1,4288655492,73389,73389,14,14,14,97469443,10,3,522457,340631,1287207,10034,1312684848,333641,9412006,1658
150566.65,253952,62,77799,5125192530,27,29249297,80,29,29,5114,126,675,394079,2,63,17689,44,71,141361694,1352,1,43,43,14,206,675,13286020,2606,1553071725,673,309,2,2,1,14,14,361,1,1552546608,1502090337,95006549,116126884,116126884,1,2,1,5109582896,73389,73389,14,14,14,116126884,10,3,528156,402466,1370780,11864,1552546608,394079,11915744,1658
152574.21,253952,62,90403,5955720958,27,30910702,98,30,30,5114,128,675,457212,2,63,21236,44,71,141627146,1352,1,43,44,14,206,675,15806738,6386,1793028129,673,309,2,2,1,14,14,361,1,1795160880,1744813432,99219941,135005509,135005509,1,2,1,5940242396,73389,73389,14,14,14,135005509,10,3,534568,466966,1453605,13715,1795160880,457212,14353735,1658
154579.79,253952,62,109685,7226287862,27,34710970,162,32,32,5114,132,675,591373,2,63,26710,44,71,142158050,1352,1,43,46,14,206,675,20643371,129129,2164507394,673,309,2,2,1,14,14,361,1,2166487856,2116343421,107079720,163875327,163891711,1,2,1,7210514388,73389,73389,14,14,14,163875327,10,3,543205,603863,1658114,16548,2166487856,591373,18986015,1658
156588.35,253952,62,128939,8495019758,27,38004895,234,32,32,5114,135,675,728810,2,63,32128,44,71,142688954,1352,1,43,46,14,206,675,25561349,330470,2533618435,673,309,2,2,1,14,14,361,1,2536897328,2487133490,117699879,192704185,192720569,1,2,1,8478984140,73389,73389,14,14,14,192704185,10,3,551251,744039,1848727,19374,2536897328,728810,23713522,1658
158603.21,253952,62,148477,9782363878,28,41795241,302,33,33,5114,138,675,868491,2,63,37619,44,71,143207792,1352,1,43,47,14,206,675,30556212,513633,2912574262,673,309,2,2,1,14,14,361,1,2912680752,2863483458,127497537,221959027,221975411,1,2,1,9766197188,73389,73389,14,14,14,221959027,10,3,566848,886501,2032652,22241,2912680752,868491,28523623,1658
160607.97,253952,62,161255,10623971198,31,45481600,322,33,33,5114,140,675,935154,2,63,41208,44,71,143738696,1352,1,43,47,14,206,675,33292622,524240,3158672512,673,309,2,2,1,14,14,361,1,3158019024,3109388135,134645858,241089445,241105829,1,2,1,10607935580,73389,73389,14,14,14,241089445,10,3,566975,954742,2104852,24116,3158019024,935154,31188939,1658
