timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
205875.86,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0,3,0,4,0,2097278,2,1,1081,0,0,0,0,0,0,4,7,0,1083,0,1081,8,0,0,0,0,3444,0,0,0,0,3,1,14,14,0,3,0,0,88,0,0,1,3,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
207884.42,0,253952,62,7889,518931998,0,1587855,47,3,3,5440,108,1,558,71859,0,4,3078,8,0,95445141,1118,1,1081,0,4,1645,9663007,8,38587324,7,17,4,1566,558,1081,8,0,0,4186080,138927,194679436,0,558,579,0,3,1,14,14,2300,3,194514686,166247061,5897947,9801062,9801062,1,3,1,509655256,73389,73389,14,14,14,9801066,10,3,75721,73339,229313,1671,194514686,71859,3956930,1801
209890.96,1,253952,62,16274,1071298934,0,3228376,105,3,3,5440,140,1,558,138063,0,4,6356,8,0,97037853,1118,1,1081,0,4,1645,20111375,8,80445500,7,17,4,1566,558,1081,8,0,0,8513051,209165,369338574,0,558,579,0,3,1,14,14,2300,3,369790065,339956548,11926968,20431231,20431231,1,3,1,1062424044,73389,73389,14,14,14,20431235,10,3,84555,141065,331052,3074,369790065,138063,8182339,1801
211901.41,1,253952,62,24879,1638325110,0,4692020,176,3,3,5440,224,1,558,207518,0,4,9775,8,0,98871885,1118,1,1081,0,4,1645,30896440,8,123521032,7,17,4,1566,558,1081,8,0,0,12981478,325189,553509809,0,558,579,0,3,1,14,14,2300,3,553389532,518520403,17952579,31337769,31337769,1,3,1,1629564020,73389,73389,14,14,14,31337773,10,3,89290,212240,412630,4653,553389532,207518,12569358,1801
213908.74,1,253952,62,33529,2208034954,0,6079345,256,3,3,5440,259,1,567,270624,0,4,13160,8,0,102195334,1136,1,1081,0,4,1645,41659291,8,166637164,7,17,4,1566,567,1081,8,0,0,17593082,412026,725565444,0,567,587,0,3,1,14,14,2300,3,724872922,697848863,24019001,42287426,42287426,1,3,1,2198946184,73389,73389,14,14,14,42287430,10,3,97291,276908,500484,6042,724872922,270624,17093294,1840
215913.93,1,253952,62,42304,2785357630,0,7240605,326,3,3,5440,340,1,576,335668,0,4,16628,8,0,104997758,1154,1,1081,0,4,1645,52604174,8,210352228,7,17,4,1566,576,1081,8,0,0,22037025,495578,908383806,0,576,594,0,3,1,14,14,2300,3,907778315,879749755,29693184,53388857,53388857,1,3,1,2776220596,73389,73389,14,14,14,53388861,10,3,102305,343546,587272,7606,907778315,335668,21450633,1873
217920.70,1,253952,62,48239,3176473604,1,9893712,340,3,3,5440,351,1,576,367280,0,4,18943,8,0,106831790,1154,1,1081,0,4,1645,60004420,8,240017680,7,17,4,1566,576,1081,8,0,0,24422513,495750,1034060622,0,576,594,0,3,1,14,14,2300,3,1033890644,1002922258,34730646,60894000,60910384,1,3,1,3166488032,73389,73389,14,14,14,60894004,10,3,108372,375958,619038,8597,1033890644,367280,23804444,1873
219929.81,1,253952,62,57330,3774493590,1,11138940,423,4,4,5440,436,1,576,435082,0,4,22536,9,0,107495420,1154,1,1081,0,4,1645,71328257,8,285313028,8,18,4,1577,576,1081,8,0,0,29120676,549087,1223123573,0,576,594,0,3,1,14,14,2300,3,1222505023,1191361993,40697479,72396839,72396839,1,3,1,3763783692,73389,73389,14,14,14,72380459,10,3,113723,445393,705001,10217,1222505023,435082,28416832,1873
221940.33,2,253952,62,66312,4366866336,1,12429296,501,4,4,5440,472,1,576,502162,0,4,26051,9,0,109655234,1154,1,1081,0,4,1645,82562700,8,330186116,8,18,4,1577,576,1081,8,0,0,33787525,623598,1407134211,0,576,594,0,3,1,14,14,2300,3,1406436381,1377960961,46730770,83774195,83790579,1,3,1,4356258172,73389,73389,14,14,14,83774199,10,3,119898,514040,809766,11702,1406436381,502162,32979103,1873
223944.34,2,253952,62,74263,4891104364,1,13581254,563,4,4,5440,523,1,576,562751,0,4,29191,9,0,111561662,1154,1,1081,0,4,1645,92509779,8,370039116,8,18,4,1577,576,1081,8,0,0,37901519,682243,1577600388,0,576,594,0,3,1,14,14,2300,3,1577036405,1542878886,52016890,93861533,93877917,1,3,1,4880799748,73389,73389,14,14,14,93861537,10,3,124371,576080,894488,13124,1577043509,562755,37008544,1873
