timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
189300.62,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,1,2,0,399,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0
191305.41,0,0,20114,1324031048,0,0,0,0,1,1,5369,117,3,612,127557,26,1878,8,0,126296834,1226,1,0,7,15,0,6,3519,612,0,0,0,1991950,568,436335378,0,612,382,9,1,2,1,14,14,399,1,436633796,390468034,1994258,29763190,29779574,1,2,1,1309580360,73389,73389,14,14,14,29763190,12,3,383456,129713,810709,3349,436633796,127557,1181326,1754
193314.66,253952,62,35867,2362006214,26,27441367,0,45,31,31,5369,120,3,675,241772,26,5917,38,13,140299886,1352,1,0,37,45,11,6,3859,675,0,0,0,5962082,1318938,744976349,0,675,410,9,1,2,1,14,14,399,1,745405232,694338933,43979567,53310811,53327195,1,2,1,2345675684,73389,73389,14,14,14,53310811,12,3,519143,246125,1246470,5706,745405232,241772,4715834,1935
195324.54,253952,62,50108,3300613430,27,30692163,0,87,34,34,5369,122,3,675,351831,26,9915,38,13,140830790,1352,1,0,37,48,11,6,3859,675,0,0,0,9804483,2373425,1017090796,0,675,410,9,1,2,1,14,14,399,1,1019738928,968651168,54112671,74648751,74665135,1,2,1,3284545044,73389,73389,14,14,14,74648751,12,3,534647,358458,1415313,7799,1019738928,351831,8389532,1935
197331.94,253952,62,64224,4230763194,29,36173432,0,128,34,34,5369,124,3,675,452016,26,13869,38,13,141096242,1352,1,0,37,48,11,6,3859,675,0,0,0,13888774,3493986,1290903269,0,675,410,9,1,2,1,14,14,399,1,1290926896,1240551467,66047865,95792242,95808626,1,2,1,4214858648,73389,73389,14,14,14,95792242,12,3,551479,460898,1575355,9868,1290926896,452016,12313927,1935
199337.14,253952,62,75126,4948952994,32,40930909,0,151,34,34,5369,126,3,675,503370,26,16952,38,13,141361694,1352,1,0,37,48,11,6,3859,675,0,0,0,16161876,3513720,1500446043,0,675,410,9,1,2,1,14,14,399,1,1501035312,1450596029,73058338,112121440,112121440,1,2,1,4933343360,73389,73389,14,14,14,112121440,12,3,552500,513523,1622350,11471,1501035312,503370,14540123,1935
201345.33,253952,62,90732,5977282302,32,42520861,0,196,38,38,5369,128,3,675,612621,26,21320,38,13,141627146,1352,1,0,37,52,11,6,3859,675,0,0,0,20205821,4215246,1798264496,0,675,410,9,1,2,1,14,14,399,1,1801321264,1751110094,80405076,135480645,135497029,1,2,1,5961148380,73389,73389,14,14,14,135480645,12,3,573717,625126,1812515,13762,1801321264,612621,18394061,1935
203351.08,253952,62,106171,6994667098,33,47149599,0,248,38,38,5369,131,3,675,725588,26,25694,38,13,142158050,1352,1,0,37,52,11,6,3859,675,0,0,0,24508095,5162353,2098713820,0,675,410,9,1,2,1,14,14,399,1,2098723632,2048629529,91443690,158610474,158610474,1,2,1,6978860856,73389,73389,14,14,14,158610474,12,3,585993,740586,1983280,16031,2098723632,725588,22525746,1935
205359.85,253952,62,121811,8025224630,34,52507127,0,301,40,40,5369,134,3,675,842122,26,30117,38,13,142423502,1352,1,0,37,54,11,6,3859,675,0,0,0,28732768,5914472,2399682018,0,675,410,9,1,2,1,14,14,399,1,2399796016,2349827446,100658883,182035215,182035215,1,2,1,8009549460,73389,73389,14,14,14,182035215,12,3,600416,859543,2151465,18328,2399796016,842122,26582399,1935
207373.69,253952,62,137580,9064501758,36,58433679,0,339,41,41,5369,136,3,675,953457,26,34540,38,13,142942340,1352,1,0,37,55,11,6,3859,675,0,0,0,33116150,7131956,2702485673,0,675,410,9,1,2,1,14,14,399,1,2703227696,2653627202,116816605,205646213,205662597,1,2,1,9048433372,73389,73389,14,14,14,205646213,12,3,617547,973301,2340889,20643,2703227696,953457,30776522,1935
