timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
451036.41,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
453042.02,0,253952,62,5458,358709032,1,1498286,0,28,3,3,10605,89,0,558,37705,40,2123,18,28,95167623,1118,1,0,4,662,6632446,9,26529784,17,17,6,14,92,558,0,0,2468671,126,146305175,0,558,294,3,1,14,14,1116,3,146202501,115537436,3967796,6727347,6727347,1,3,1,349822076,73389,73389,14,14,14,6727351,5,3,77731,38618,152832,1263,146202501,37705,2315930,1287
455052.15,1,253952,62,11666,767716334,1,3109331,0,58,4,4,10605,101,0,558,76151,40,4536,19,28,97013721,1118,1,0,4,662,14371148,9,57484592,18,18,6,14,105,558,0,0,5504862,51126,271739159,0,558,294,3,1,14,14,1116,3,271917071,244443251,8637173,14576554,14592938,1,3,1,757980840,73389,73389,14,14,14,14576558,5,3,83799,78123,213763,2248,271917071,76151,5291302,1287
457067.30,1,253952,62,19660,1294748278,1,4465564,0,129,4,4,10605,189,0,558,145779,40,7718,19,28,99209733,1118,1,0,4,662,24365024,9,97395612,18,18,6,14,105,558,0,0,10096760,203026,445263852,0,558,294,3,1,14,14,1116,3,445143503,410190422,14714197,24729428,24729428,1,3,1,1285930288,73389,73389,14,14,14,24729432,5,3,86942,149482,278587,3762,445143503,145779,9818552,1287
459078.75,1,253952,62,27536,1813431608,1,5765239,0,218,4,4,10605,220,0,558,206983,40,10793,19,28,100452531,1118,1,0,4,662,34168662,9,136674648,18,18,6,14,105,558,0,0,14692907,362976,600488080,0,558,294,3,1,14,14,1116,3,600467138,573792484,20757457,34690012,34690012,1,3,1,1803880656,73389,73389,14,14,14,34690016,5,3,92052,212294,354638,5018,600467138,206983,14338810,1287
461088.64,1,253952,62,35220,2319495828,1,7200466,0,288,4,4,10605,289,0,567,269123,40,13845,19,28,102892975,1136,1,0,4,662,43771615,9,175086460,18,18,6,14,105,567,0,0,19161644,521372,762481929,0,567,303,3,1,14,14,1116,3,761876293,733187751,26793614,44413028,44429412,1,3,1,2309477488,73389,73389,14,14,14,44413032,5,3,96346,276078,428376,6400,761876293,269123,18733971,1328
463093.76,1,253952,62,41435,2728696430,2,9316693,0,323,4,4,10605,316,0,594,311297,40,16268,19,28,109283166,1190,1,0,4,662,51488041,9,205952164,18,18,6,14,105,594,0,0,22149002,573546,901092714,0,594,329,3,1,14,14,1116,3,900776906,862345716,31963723,52272586,52272586,1,3,1,2718174504,73389,73389,14,14,14,52272590,5,3,100866,319355,496303,7523,900776906,311297,21653505,1436
465106.39,1,253952,62,48207,3173941832,2,11012021,0,352,5,5,10605,339,0,612,359635,40,18890,19,28,113523216,1226,1,0,4,662,59866823,9,239467292,18,19,6,14,105,612,0,0,25531919,695406,1045418217,0,612,346,3,1,14,14,1116,3,1044998811,1003196258,37114547,60787504,60787504,1,3,1,3160098272,73389,73389,14,14,14,60771124,5,3,109133,368889,574160,8688,1044998811,359635,24958695,1504
467119.09,5,253952,62,55755,3670839770,2,12647377,0,403,5,5,10605,412,2,612,424912,40,21866,19,28,114500562,1226,1,0,4,662,69253524,9,276949468,18,19,6,14,105,612,0,0,29712179,926503,1206747411,0,612,346,3,1,14,14,1116,3,1206041133,1160551587,43207422,70291495,70291495,1,3,1,3655157772,73389,73389,14,14,14,70291499,5,3,113537,435646,666108,10059,1206041133,424912,29047162,1504
469129.60,6,253952,62,63136,4156805262,2,14253054,0,451,5,5,10605,444,2,612,490076,40,24748,19,28,116093274,1226,1,0,4,662,78412269,9,313649076,18,19,6,14,105,612,0,0,33848750,1128935,1370204515,0,612,346,3,1,14,14,1116,3,1369719104,1313929929,49005793,79598878,79615262,1,3,1,4139141688,73389,73389,14,14,14,79598882,5,3,115166,502341,734625,11379,1369719104,490076,33115369,1504
