timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
553805.13,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
555810.09,2,253952,62,6798,447130572,0,21961,0,4,2,2,10341,98,0,558,45360,17,2644,17,12,95143491,1118,1,0,4,710,8291922,5,33103136,16,16,14,66,558,0,0,3076539,301,171704946,0,558,319,3,1,14,14,1155,3,172098771,143436897,3100091,8410581,8426965,1,3,1,437350244,73389,73389,14,14,14,8410585,7,3,76372,46500,152673,1479,172098771,45360,2923989,1290
557815.61,2,253952,62,15430,1016252002,0,447446,0,12,3,3,10341,127,0,558,97381,17,6026,18,12,96989589,1118,1,0,4,710,19091158,5,76364632,17,17,14,77,558,0,0,7118913,741,349719270,0,558,319,3,1,14,14,1155,3,349421157,322846087,7568213,19364112,19364112,1,3,1,1006933856,73389,73389,14,14,14,19364116,7,3,80919,99895,205347,2891,349421157,97381,6912858,1290
559820.23,2,253952,62,22894,1507331200,1,2766735,0,48,3,3,10341,204,0,558,142853,17,8979,18,12,97653219,1118,1,0,4,710,28365713,5,113462852,17,17,14,77,558,0,0,10448335,1072,507659531,0,558,319,3,1,14,14,1155,3,507354550,477708853,13216693,28788342,28788342,1,3,1,1496993816,73389,73389,14,14,14,28788346,7,3,85442,146586,276326,4268,507354550,142853,10172450,1290
561826.30,2,253952,62,29719,1956798346,1,4280184,0,81,4,4,10341,222,0,567,189162,17,11634,19,12,101022745,1136,1,0,4,710,36887223,5,147419824,18,18,14,87,567,0,0,13768119,24972,649686753,0,567,323,3,1,14,14,1155,3,649252739,619254573,18050358,37432173,37432173,1,3,1,1946473028,73389,73389,14,14,14,37432177,7,3,91412,194090,339333,5393,649252739,189162,13429366,1316
563831.83,2,253952,62,38679,2546800218,1,5412383,0,160,4,4,10341,311,0,567,255100,17,15189,19,12,103194625,1136,1,0,4,710,48078262,5,192184036,18,18,14,87,567,0,0,18490229,83519,842074771,0,567,323,3,1,14,14,1155,3,841822452,804796298,23975584,48783238,48783238,1,3,1,2536728408,73389,73389,14,14,14,48783242,7,3,97417,261711,431257,7050,841822452,255100,18059737,1316
565837.35,2,253952,62,44486,2929274198,2,8111608,0,177,4,4,10341,317,0,567,280323,17,17440,19,12,104763205,1136,1,0,4,710,55317560,5,221149464,18,18,14,87,567,0,0,20814394,83786,950689189,0,567,323,3,1,14,14,1155,3,949851625,925592681,28998947,56126700,56126700,1,3,1,2918588432,73389,73389,14,14,14,56126704,7,3,100416,287618,459257,7893,949851625,280323,20355990,1316
567846.35,2,253952,62,53002,3490202218,2,9352288,0,236,5,5,10341,401,0,567,339582,17,20831,19,12,105728485,1136,1,0,4,710,65959832,5,263839328,18,19,14,87,567,0,0,25264053,196277,1132130783,0,567,323,3,1,14,14,1155,3,1131382307,1101977685,34786885,66920709,66920709,1,3,1,3479876900,73389,73389,14,14,14,66920713,7,3,105149,348376,545482,9456,1131382307,339582,24719600,1316
569851.01,2,253952,62,59942,3947290466,3,11563060,0,277,5,5,10341,418,0,567,382077,17,23525,19,12,107357395,1136,1,0,4,710,74602277,5,298344380,18,19,14,87,567,0,0,28507604,228600,1280593755,0,567,323,3,1,14,14,1155,3,1279458103,1246196708,40268378,75687420,75687420,1,3,1,3935745872,73389,73389,14,14,14,75687424,7,3,106835,391940,602442,10633,1279458103,382077,27906315,1316
571860.70,3,253952,62,66996,4412646174,3,13164273,0,305,6,6,10341,490,1,567,425933,17,26341,19,12,109179361,1136,1,0,4,710,83433170,5,333668156,18,20,14,87,567,0,0,31809102,303203,1428326531,0,567,323,3,1,14,14,1155,3,1427717690,1392598346,45233311,84644262,84644262,1,3,1,4401501656,73389,73389,14,14,14,84644266,7,3,110827,436956,657562,11914,1427717690,425933,31151822,1316
