timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
459297.13,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
461308.04,0,253952,62,7783,512009314,0,1348700,67,3,3,4529,107,1,558,74439,693,3029,17,96096705,1118,1,0,4,5208,9518105,10,38007776,16,17,13,1788,558,0,0,4395792,212549,192100229,0,558,644,3,1,14,14,5865,3,192323474,164051082,5936844,9653606,9669990,1,3,1,501987544,73389,73389,14,14,14,9653610,8,3,79062,76066,259187,1659,192323474,74439,4136773,1772
463313.46,0,253952,62,13763,906376058,1,3782117,97,3,3,4529,119,1,558,110032,693,5369,17,98558169,1118,1,0,4,5208,17012384,10,68049536,16,17,13,1788,558,0,0,7130260,244497,315141806,0,558,644,3,1,14,14,5865,3,314867230,288195859,11125208,17254894,17254894,1,3,1,897254520,73389,73389,14,14,14,17254898,8,3,82355,112676,318190,2618,314867230,110032,6812349,1772
465327.16,0,253952,62,20740,1365201376,1,5206313,131,4,4,4529,194,2,558,161296,693,8127,18,99197667,1118,1,0,4,5208,25659302,10,102572452,17,18,13,1799,558,0,0,10731535,360146,464489999,0,558,644,3,1,14,14,5865,3,464214215,432644076,16253515,26075075,26075075,1,3,1,1355903932,73389,73389,14,14,14,26075079,8,3,92657,165294,420796,3926,464214215,161296,10311152,1772
467343.29,0,253952,62,27984,1842441822,1,6789481,180,4,4,4529,218,4,558,225002,693,10972,18,100440465,1118,1,0,4,5208,34752383,10,139009532,17,18,13,1799,558,0,0,14907459,600591,613965290,0,558,644,3,1,14,14,5865,3,614327300,582903810,22251226,35249227,35249227,1,3,1,1832959836,73389,73389,14,14,14,35249231,8,3,98070,230462,512394,5126,614327300,225002,14395621,1772
469349.22,1,253952,62,35262,2321681238,1,8307180,230,4,4,4529,294,4,576,279078,693,13853,18,104451147,1154,1,0,4,5208,43815469,10,175197176,17,18,13,1799,576,0,0,18862092,803163,761474266,0,576,660,3,1,14,14,5865,3,761427024,733706038,27855059,44474690,44474690,1,3,1,2312683912,73389,73389,14,14,14,44474694,8,3,103444,285977,601201,6406,761427024,279078,18261599,1854
471358.63,2,253952,62,40454,2664067766,2,11190906,238,4,4,4529,302,4,576,306539,693,15871,18,106574763,1154,1,0,4,5208,50293997,10,201046584,17,18,13,1799,576,0,0,21032962,808509,869608342,0,576,660,3,1,14,14,5865,3,869088195,841623326,32969945,51045945,51045945,1,3,1,2654389172,73389,73389,14,14,14,51045949,8,3,106808,314197,640039,7254,869088195,306539,20393716,1854
473370.71,2,253952,62,47636,3136702010,2,12766970,258,5,5,4529,369,4,576,366412,693,18717,18,107853759,1154,1,0,4,5208,59246392,10,236920960,17,19,13,1799,576,0,0,24980768,1000645,1022848442,0,576,660,3,1,14,14,5865,3,1022553956,990616992,38588663,60126111,60126111,1,3,1,3126557804,73389,73389,14,14,14,60126115,8,3,111113,375570,714595,8561,1022553956,366412,24267112,1854
475376.65,2,253952,62,54037,3558369826,3,15109321,286,5,5,4529,397,4,576,410965,693,21234,18,108806973,1154,1,0,4,5208,67259754,10,269039016,17,19,13,1799,576,0,0,28180796,1083632,1157287097,0,576,660,3,1,14,14,5865,3,1156608868,1123110070,44303318,68253846,68253846,1,3,1,3549200024,73389,73389,14,14,14,68253850,8,3,112315,421291,778421,9640,1156608868,410965,27403431,1854
477382.42,2,253952,62,59404,3912888784,4,16722707,314,6,6,4529,421,4,576,442305,693,23339,18,110966787,1154,1,0,4,5208,73978684,10,295849940,17,20,13,1799,576,0,0,30538949,1100432,1267997182,0,576,660,3,1,14,14,5865,3,1267250764,1234684586,48288232,75066543,75066543,1,3,1,3903460268,73389,73389,14,14,14,75066547,8,3,117210,453444,810108,10549,1267250764,442305,29729992,1854
479391.80,2,253952,62,64780,4266199732,4,18262187,336,6,6,4529,467,4,576,473813,693,25464,18,111642483,1154,1,0,4,5208,80673317,10,322628672,17,20,13,1799,576,0,0,33018814,1168481,1374848631,0,576,660,3,1,14,14,5865,3,1374008567,1346065303,52370322,81859426,81859426,1,3,1,4256690184,73389,73389,14,14,14,81859430,8,3,119759,485806,849787,11447,1374008567,473813,32170275,1854
481406.69,2,253952,62,70845,4665871584,4,19772441,386,7,7,4529,493,5,576,525194,693,27844,18,112583631,1154,1,0,4,5208,88250634,10,353002536,17,21,13,1799,576,0,0,36518261,1529650,1502394615,0,576,660,3,1,14,14,5865,3,1501028442,1471889778,57721970,89544793,89544793,1,3,1,4656329268,73389,73389,14,14,14,89544797,8,3,126283,538456,914171,12474,1501028442,525194,35605471,1854
483412.58,2,253952,62,76735,5054653804,4,21653105,438,7,7,4529,553,5,576,572601,693,30190,18,114417663,1154,1,0,4,5208,95628944,10,382515776,17,21,13,1799,576,0,0,39780531,1874233,1632210457,0,576,660,3,1,14,14,5865,3,1630715771,1594195352,63195974,97029234,97029234,1,3,1,5045520200,73389,73389,14,14,14,97029238,8,3,129992,587131,972595,13589,1630715771,572601,38809456,1854
485425.50,2,253952,62,81844,5392312738,5,24380090,457,8,8,4529,569,5,576,602280,693,32183,18,116915325,1154,1,0,4,5208,101974536,10,407898144,17,22,13,1799,576,0,0,42084098,1925909,1733827899,0,576,660,3,1,14,14,5865,3,1732500611,1700572573,68271369,103514251,103514251,1,3,1,5382741084,73389,73389,14,14,14,103514255,8,3,134908,617604,1021542,14399,1732500611,602280,41064176,1854
487433.92,2,253952,62,87726,5779086552,6,26427247,511,8,8,4529,631,5,576,650233,693,34528,18,116915325,1154,1,0,4,5208,109347959,10,437391836,17,22,13,1799,576,0,0,45463627,2302585,1848631458,0,576,660,3,1,14,14,5865,3,1847568840,1822327359,74049931,110943951,110976719,1,3,1,5769085484,73389,73389,14,14,14,110943955,8,3,140293,666741,1091686,15403,1847568840,650233,44373689,1854
489447.69,3,253952,62,93197,6140397122,6,28150498,573,9,9,4529,652,6,576,701250,693,36673,18,116915325,1154,1,0,4,5208,116194614,10,464778456,17,23,13,1799,576,0,0,48749540,2800379,1969179855,0,576,660,3,1,14,14,5865,3,1967336919,1936215813,79475575,117887720,117887720,1,3,1,6130161472,73389,73389,14,14,14,117887724,8,3,143874,718997,1160284,16364,1967336919,701250,47591123,1854
