timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
169985.44,1,253952,62,8250,543242058,1,2405872,0,66,4,4,4630,109,0,558,72337,0,21,3208,19,1,96096705,1118,1,1081,0,4,2827,10062483,8,40185268,18,18,14,121,558,1081,6,0,0,4399407,94377,200757767,0,558,495,0,3,1,14,14,3404,0,3,200978990,173980344,6892814,10255496,10271880,1,3,1,0,533285824,73389,73389,14,14,14,10255500,9,3,85242,73946,277414,1730,200978990,72337,4122172,1867
171990.28,1,253952,62,16101,1059647490,1,3688366,0,124,4,4,4630,137,0,558,125482,0,21,6283,19,1,97037853,1118,1,1081,0,4,2827,19902419,8,79609676,18,18,14,121,558,1081,6,0,0,8347415,166640,364722815,0,558,495,0,3,1,14,14,3404,0,3,364657331,336431173,12185716,20187630,20204014,1,3,1,0,1049756792,73389,73389,14,14,14,20187634,9,3,88059,128580,351350,3040,364657331,125482,7996403,1867
174003.91,1,253952,62,22490,1480227224,2,6282554,0,140,5,5,4630,200,0,558,159382,0,21,8812,19,1,98594367,1118,1,1081,0,4,2827,27837495,8,111349980,18,19,14,121,558,1081,6,0,0,11053469,188274,496577524,0,558,495,0,3,1,14,14,3404,0,3,496804811,468927891,17496144,28268372,28284756,1,3,1,0,1469955376,73389,73389,14,14,14,28268376,9,3,94406,163493,405341,4189,496804811,159382,10648570,1867
176009.42,2,253952,62,29826,1964426064,3,8465346,0,187,5,5,4630,225,0,576,204475,0,21,11697,19,1,104077702,1154,1,1081,0,4,2827,37037439,8,148149756,18,19,14,121,576,1081,6,0,0,14495030,228767,649334155,0,576,504,0,3,1,14,14,3404,0,3,649296489,621296296,23160709,37599887,37616271,1,3,1,0,1955194156,73389,73389,14,14,14,37599891,9,3,98759,209879,453173,5415,649296489,204475,14042442,1918
178016.83,2,253952,62,36845,2425545142,3,10066977,0,213,6,6,4630,291,0,585,247808,0,21,14459,19,1,106818983,1172,1,1081,0,4,2827,45741621,8,182966484,18,20,14,121,585,1081,6,0,0,17680490,292880,796365585,0,585,512,0,3,1,14,14,3404,0,3,796075217,766786129,28007948,46444644,46444644,1,3,1,0,2415121520,73389,73389,14,14,14,46444648,9,3,103191,254446,514163,6676,796075217,247808,17167069,1943
180026.09,2,253952,62,45210,2975961860,3,11606444,0,275,6,6,4630,329,0,585,314420,0,21,17742,19,1,107772197,1172,1,1081,0,4,2827,56225808,8,224903232,18,20,14,121,585,1081,6,0,0,22035145,450310,971932112,0,585,512,0,3,1,14,14,3404,0,3,971079448,939702113,34047467,57062747,57062747,1,3,1,0,2967262876,73389,73389,14,14,14,57062751,9,3,105089,322715,593249,8097,971079448,314420,21442809,1943
182032.89,4,253952,62,53608,3530471826,3,13117473,0,339,6,6,4630,404,0,585,383649,0,21,21069,19,1,110631839,1172,1,1081,0,4,2827,66697863,8,266726848,18,20,14,121,585,1081,6,0,0,26411149,609959,1146829778,0,585,512,0,3,1,14,14,3404,0,3,1145805662,1114493664,40081493,67700664,67700664,1,3,1,0,3520434560,73389,73389,14,14,14,67700668,9,3,110946,393689,682324,9589,1145805662,383649,25729911,1943
184038.40,4,253952,62,60568,3989100048,4,15365637,0,377,6,6,4630,429,0,585,431120,0,21,23789,19,1,112200419,1172,1,1081,0,4,2827,75387205,8,301484140,18,20,14,121,585,1081,6,0,0,29696169,646549,1291450242,0,585,512,0,3,1,14,14,3404,0,3,1290298520,1258722002,45648077,76530752,76530752,1,3,1,0,3979599136,73389,73389,14,14,14,76530756,9,3,115855,442378,723270,10748,1290298520,431120,28974119,1943
186044.15,4,253952,62,66295,4367549814,4,17103043,0,407,6,6,4630,486,0,585,463691,0,21,26066,19,1,114384365,1172,1,1081,0,4,2827,82522350,8,330089400,18,20,14,121,585,1081,6,0,0,32093560,647379,1411798931,0,585,512,0,3,1,14,14,3404,0,3,1411322563,1378234969,49782849,83767274,83783658,1,3,1,0,4355898280,73389,73389,14,14,14,83767278,9,3,122015,475882,781216,11794,1411322563,463691,31313661,1943
188058.58,4,253952,62,73152,4818486680,4,18394861,0,421,7,7,4630,508,0,585,511782,0,21,28748,19,1,115313447,1172,1,1081,0,4,2827,91121063,8,364484252,18,21,14,121,585,1081,6,0,0,35476873,696377,1550399416,0,585,512,0,3,1,14,14,3404,0,3,1549159558,1520054595,54513055,92464575,92464575,1,3,1,0,4808157932,73389,73389,14,14,14,92464579,9,3,131697,525139,860107,12895,1549159558,511782,34618209,1943
