timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
380631.30,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
382637.25,0,253952,62,9310,612408568,0,1682480,0,29,3,3,4954,114,0,558,61554,0,9,3634,18,13,95167623,1118,1,0,4,464,11421598,7,45686392,17,17,14,65,558,0,0,0,4095798,117,224397553,0,558,339,0,3,1,14,14,969,3,225373740,195518199,5778670,11601143,11601143,1,3,1,603259468,73389,73389,14,14,14,11601147,6,3,79765,63006,209587,1932,225373740,61554,3886389,1323
384642.89,0,253952,62,18802,1238180542,0,3489245,0,64,3,3,4954,147,0,567,120315,0,9,7344,18,13,99429762,1136,1,0,4,464,23261174,7,93044696,17,17,14,65,567,0,0,0,8356757,2257,421489645,0,567,347,0,3,1,14,14,969,3,421794068,392437280,11848521,23642051,23642051,1,3,1,1228534716,73389,73389,14,14,14,23625671,6,3,84959,123322,286320,3503,421794068,120315,8070804,1356
386648.60,2,253952,62,28401,1869318442,0,5092507,0,122,3,3,4954,239,0,576,184260,0,9,11146,18,13,101942026,1154,1,0,4,464,35222448,7,140889792,17,17,14,65,576,0,0,0,12741697,9594,619714789,0,576,350,0,3,1,14,14,969,3,620335808,591375409,17843132,35757131,35773515,1,3,1,1859370844,73389,73389,14,14,14,35757135,6,3,89112,188970,362003,5219,620466880,184299,12380258,1382
388654.15,2,253952,62,37994,2502023268,0,6750296,0,170,3,3,4954,276,0,585,244620,0,9,14895,18,13,105890720,1172,1,0,4,464,47220589,7,188753388,17,17,14,65,585,0,0,0,17124095,10897,818187406,0,585,353,0,3,1,14,14,969,3,817566701,790697032,23884774,47926952,47926952,1,3,1,2492201536,73389,73389,14,14,14,47926956,6,3,91618,250852,421720,6809,817566701,244620,16703140,1408
390660.56,3,253952,62,46971,3092535952,0,8231293,0,242,3,3,4954,362,0,585,309618,0,9,18463,18,13,106831868,1172,1,0,4,464,58416213,7,233664852,17,17,14,65,585,0,0,0,21626598,33742,1009505262,0,585,353,0,3,1,14,14,969,3,1008569627,976622861,29880506,59282335,59282335,1,3,1,3082681452,73389,73389,14,14,14,59282339,6,3,93994,317447,508257,8443,1008569627,309618,21119285,1408
392667.38,4,253952,62,55730,3669715002,0,9542240,0,319,3,3,4954,395,0,594,376557,0,9,21875,18,13,110167328,1190,1,0,4,464,69315289,7,277261156,17,17,14,65,594,0,0,0,26276884,117815,1194266829,0,594,365,0,3,1,14,14,969,3,1193678114,1158233866,35914924,70369097,70385481,1,3,1,3659193076,73389,73389,14,14,14,70369101,6,3,98202,386058,591085,9940,1193678114,376557,25686920,1439
394675.38,4,253952,62,64308,4235007904,0,10907892,0,394,3,3,4954,478,0,594,439920,0,9,25281,18,13,112339208,1190,1,0,4,464,80038170,7,320088184,17,17,14,65,594,0,0,0,30840240,217479,1372664834,0,594,365,0,3,1,14,14,969,3,1372684719,1336541441,41926508,81212258,81228642,1,3,1,4223037448,73389,73389,14,14,14,81212262,6,3,101559,451083,664712,11483,1372684719,439920,30176825,1439
396682.95,4,253952,62,72658,4785418928,0,12252469,0,468,3,3,4954,513,0,594,502246,0,9,28556,18,13,114257702,1190,1,0,4,464,90484140,7,361872112,17,17,14,65,594,0,0,0,35461657,305282,1545756744,0,594,365,0,3,1,14,14,969,3,1544685297,1509597937,47965348,91823884,91823884,1,3,1,4774842000,73389,73389,14,14,14,91823888,6,3,105858,514950,732519,12878,1544685297,502246,34730605,1439
398687.63,12,253952,62,80329,5291246546,0,13494790,0,525,3,3,4954,585,1,594,555621,0,9,31577,18,13,116429582,1190,1,0,4,464,99993583,7,399974332,17,17,14,65,594,0,0,0,39303356,379151,1709408673,0,594,365,0,3,1,14,14,969,3,1708580266,1669352967,53110829,101518006,101518006,1,3,1,5278084376,73389,73389,14,14,14,101501626,6,3,110793,569764,797142,14295,1708580266,555621,38507840,1439
400692.58,12,253952,62,86050,5669001446,1,16242287,0,555,3,3,4954,597,1,594,583691,0,9,33817,18,13,117974030,1190,1,0,4,464,107196860,7,428722840,17,17,14,65,594,0,0,0,41678143,379293,1823175035,0,594,365,0,3,1,14,14,969,3,1821728553,1788148972,58231885,108775230,108775230,1,3,1,5656311992,73389,73389,14,14,14,108775234,6,3,114257,598621,833114,15185,1821728553,583691,40845924,1439
