timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
18531.79,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
20535.82,0,253952,62,11092,730400320,0,917998,0,7,3,3,5546,119,0,558,56743,0,32,4330,18,22,96374223,1118,1,0,4,375,13674793,7,54634696,17,17,14,69,558,0,0,3989557,51,265271016,0,558,230,0,3,1,14,14,781,0,3,265510486,232783682,4908810,13869883,13869883,1,3,1,0,721233948,73389,73389,14,14,14,13869887,5,3,80550,58138,162213,2235,265510486,56743,3827489,1028
22539.91,0,253952,62,22627,1489845154,0,3106225,0,19,3,3,5546,216,0,567,106285,0,32,8888,18,22,99420923,1136,1,0,4,375,28059898,7,112175036,17,17,14,69,567,0,0,8057167,139,501803612,0,567,233,0,3,1,14,14,781,0,3,502155755,471791141,11165129,28477046,28477046,1,3,1,0,1480806424,73389,73389,14,14,14,28477050,5,3,84909,109086,222829,4251,502155755,106285,7834632,1047
24543.49,0,253952,62,32737,2155551274,1,5195570,0,72,3,3,5546,246,0,576,149720,0,32,12829,18,22,103057359,1154,1,0,4,375,40661653,7,162646612,17,17,14,69,576,0,0,11601839,194,715585511,0,576,238,0,3,1,14,14,781,0,3,715537864,681518291,16797251,41267744,41267744,1,3,1,0,2145922720,73389,73389,14,14,14,41267748,5,3,87352,153681,286486,5964,715537864,149720,11315791,1068
26547.42,0,253952,62,42216,2779364394,1,6762180,0,90,4,4,5546,329,0,603,189270,0,32,16572,19,22,109702460,1208,1,0,4,375,52432409,7,209664996,18,18,14,77,603,0,0,14919462,225,911028917,0,603,249,0,3,1,14,14,781,0,3,911224701,878504836,21680581,53231050,53231050,1,3,1,0,2768014632,73389,73389,14,14,14,53231054,5,3,90930,194376,334213,7632,911224701,189270,14585815,1154
28551.57,0,253952,62,53538,3525465426,1,8800202,0,100,4,4,5546,369,0,603,237449,0,32,21007,19,22,111584756,1208,1,0,4,375,66605223,7,266420892,18,18,14,77,603,0,0,18971782,306,1149895980,0,603,249,0,3,1,14,14,781,0,3,1151149345,1112983257,27635936,67604519,67604519,1,3,1,0,3514583052,73389,73389,14,14,14,67588139,5,3,93591,243936,386742,9568,1151149345,237449,18585761,1154
30556.40,0,253952,62,65036,4283378312,1,10756956,0,116,4,4,5546,465,0,612,285671,0,32,25547,19,22,114978146,1226,1,0,4,375,80934037,7,323736148,18,18,14,77,612,0,0,23075886,383,1385141551,0,612,254,0,3,1,14,14,781,0,3,1385590080,1351990133,33832171,82156053,82156053,1,3,1,0,4272114788,73389,73389,14,14,14,82156057,5,3,96839,293569,436305,11540,1385590080,285671,22640455,1176
32560.20,0,253952,62,75837,4994719722,1,12296740,0,160,4,4,5546,556,0,612,333831,0,32,29815,19,22,116582924,1226,1,0,4,375,94415517,7,377662068,18,18,14,77,612,0,0,26899101,487,1618246388,0,612,254,0,3,1,14,14,781,0,3,1618169871,1576240840,39194310,95812944,95812944,1,3,1,0,4982273120,73389,73389,14,14,14,95812948,5,3,99179,343076,494001,13506,1618169871,333831,26406124,1176
34564.76,0,253952,62,84539,5567559920,2,14864734,0,190,5,5,5546,578,0,621,372087,0,32,33210,19,22,119916054,1244,1,0,4,375,105271015,7,421084060,18,19,14,77,621,0,0,29967060,537,1797289342,0,621,259,0,3,1,14,14,781,0,3,1796293271,1756689228,44829606,106822104,106822104,1,3,1,0,5554749440,73389,73389,14,14,14,106822108,5,3,106087,382343,547814,14924,1796293271,372087,29420386,1203
36569.06,0,253952,62,95450,6286571984,2,16256118,0,233,5,5,5546,669,0,666,422150,0,32,37531,19,22,130279317,1334,1,0,4,375,118891028,7,475564112,18,19,14,77,666,0,0,33877546,612,2026891951,0,666,279,0,3,1,14,14,781,0,3,2027191162,1983217789,50130309,120636358,120636358,1,3,1,0,6272238680,73389,73389,14,14,14,120619978,5,3,107379,433834,599568,16891,2027191162,422150,33279265,1300
