timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
171299.93,0,253952,62,7845,515770896,2,3347595,0,69,5,5,3507,110,0,558,79311,0,7,3058,9,95746791,1118,1,0,4,834,9600388,7,38401552,8,19,3,22636,558,0,0,4360153,165442,194741759,0,558,508,0,3,1,14,14,1382,3,195333710,165260518,7860715,9737685,9737685,1,3,1,506359652,73389,73389,14,14,14,9737689,11,3,85599,80988,260529,1687,195333710,79311,4099782,1734
173305.42,0,253952,62,13321,876805846,3,5580998,0,84,5,5,3507,115,0,558,107388,0,7,5186,9,97327437,1118,1,0,4,834,16434831,7,65674748,8,19,3,22636,558,0,0,6718947,169320,307058784,0,558,508,0,3,1,14,14,1382,3,306798050,278865345,12455233,16685772,16685772,1,3,1,867660176,73389,73389,14,14,14,16685776,11,3,90658,109894,296568,2551,306798050,107388,6422627,1734
175310.89,2,253952,62,21041,1385241428,3,7130712,0,131,6,6,3507,198,0,558,169565,0,7,8259,9,98256519,1118,1,0,4,834,26077650,7,104310600,8,20,3,22636,558,0,0,10776351,225120,474947322,0,558,508,0,3,1,14,14,1382,3,475317741,438807835,18116420,26466132,26466132,1,3,1,1376238896,73389,73389,14,14,14,26466136,11,3,102469,173565,400414,4018,475317741,169565,10376345,1734
177316.99,2,253952,62,26742,1760466942,4,9725440,0,143,6,6,3507,206,0,558,198089,0,7,10470,9,99547581,1118,1,0,4,834,33189333,7,132692944,8,20,3,22636,558,0,0,13205402,225197,587950496,0,558,508,0,3,1,14,14,1382,3,587705804,556883750,23140062,33688873,33688873,1,3,1,1751821428,73389,73389,14,14,14,33688877,11,3,104787,202878,434370,4900,587705804,198089,12771534,1734
179329.95,2,253952,62,34435,2267120986,4,11179203,0,206,7,7,3507,289,0,576,258753,0,7,13528,9,104404066,1154,1,0,4,834,42768304,7,171008404,8,21,3,22636,576,0,0,17518777,370746,746370201,0,576,520,0,3,1,14,14,1382,3,746492437,716691328,29005754,43411889,43428273,1,3,1,2257418260,73389,73389,14,14,14,43411893,11,3,112222,265146,528363,6282,746492437,258753,16991076,1799
181337.45,3,253952,62,42315,2786343978,4,12751509,0,262,7,7,3507,318,0,576,322601,0,7,16611,9,106575946,1154,1,0,4,834,52603685,7,210350192,8,21,3,22636,576,0,0,21918584,502889,911436829,0,576,520,0,3,1,14,14,1382,3,910742713,880059425,35088192,53403082,53403082,1,3,1,2776960296,73389,73389,14,14,14,53403086,11,3,116963,330578,607254,7605,910742713,322601,21312160,1799
183343.04,3,253952,62,49898,3285650886,4,14029775,0,314,7,7,3507,376,0,594,378954,0,7,19592,9,110876408,1190,1,0,4,834,62018174,7,248072696,8,21,3,22636,594,0,0,25984717,584837,1070087939,0,594,536,0,3,1,14,14,1382,3,1069505352,1037596806,40469253,62984675,62984675,1,3,1,3275203132,73389,73389,14,14,14,62984679,11,3,121757,388375,685152,8947,1069505352,378954,25300552,1871
185351.70,3,253952,62,55354,3645375116,5,16796923,0,335,7,7,3507,402,1,594,406487,0,7,21742,9,113036222,1190,1,0,4,834,68868215,7,275408324,8,21,3,22636,594,0,0,28257299,585341,1182919371,0,594,536,0,3,1,14,14,1382,3,1181989576,1150591783,45598664,69916378,69916378,1,3,1,3634799720,73389,73389,14,14,14,69899998,11,3,126190,416717,720195,9857,1181989576,406487,27538177,1871
187359.84,4,253952,62,61577,4054496706,5,17949125,0,358,7,7,3507,466,2,594,444686,0,7,24217,9,113675720,1190,1,0,4,834,76629759,7,306519036,8,21,3,22636,594,0,0,31110846,587459,1315079202,0,594,536,0,3,1,14,14,1382,3,1314579225,1279387580,49604526,77772062,77788446,1,3,1,4044147256,73389,73389,14,14,14,77772066,11,3,130308,456010,767134,11005,1314579225,444686,30344887,1871
189368.90,4,253952,62,69047,4547465304,5,19694666,0,382,8,8,3507,494,2,594,498204,0,7,27138,9,115545950,1190,1,0,4,834,85976410,7,343840848,8,22,3,22636,594,0,0,35136174,689504,1467347132,0,594,536,0,3,1,14,14,1382,3,1466423839,1434938143,55140556,87251033,87251033,1,3,1,4537053748,73389,73389,14,14,14,87251037,11,3,135332,510972,840943,12224,1466423839,498204,34296564,1871
