timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
389926.77,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
391934.38,1,253952,62,8486,558382772,0,1355721,0,77,3,3,5481,112,0,558,71772,0,15,3312,14,96084639,1118,1,1081,0,4,673,10402984,6,41547320,13,17,131,10,96,558,1081,4,0,0,4500028,71986,205922229,0,558,472,0,3,1,14,14,1336,0,3,206004829,178787724,5918645,10552567,10552567,1,3,1,0,548733516,73389,73389,14,14,14,10552571,9,3,81303,73412,233033,1771,206004829,71772,4267167,1594
393941.11,1,253952,62,17304,1139452578,0,2712433,0,155,3,3,5481,145,0,558,134578,0,15,6761,14,97375701,1118,1,1081,0,4,673,21430012,6,85655256,13,17,131,10,96,558,1081,4,0,0,9092954,162488,391164349,0,558,472,0,3,1,14,14,1336,0,3,391065877,361463481,11940541,21737633,21737633,1,3,1,0,1130356948,73389,73389,14,14,14,21737637,9,3,86066,137895,331910,3256,391065877,134578,8761398,1594
395947.97,2,253952,62,25860,1702326342,0,3999944,0,237,3,3,5481,234,0,558,199331,0,15,10159,14,98268585,1118,1,1081,0,4,673,32076936,6,128307744,13,17,131,10,96,558,1081,4,0,0,13732218,270299,574259355,0,558,472,0,3,1,14,14,1336,0,3,574379325,538882064,17959428,32552344,32552344,1,3,1,0,1692721920,73389,73389,14,14,14,32552348,9,3,92287,204443,418596,4847,574379325,199331,13314147,1594
397954.90,2,253952,62,34340,2261196716,0,5413621,0,302,3,3,5481,264,2,558,261749,0,15,13471,14,100138815,1118,1,1081,0,4,673,42700707,6,170673760,13,17,131,10,96,558,1081,4,0,0,18193411,380936,742571740,0,558,472,0,3,1,14,14,1336,0,3,742254267,714570374,23932639,43311426,43311426,1,3,1,0,2252194184,73389,73389,14,14,14,43311430,9,3,98400,268450,503607,6202,742254267,261749,17690501,1594
399959.78,2,253952,62,40038,2636225622,1,7883798,0,320,3,3,5481,326,2,567,291157,0,15,15734,14,102929173,1136,1,1081,0,4,673,49773162,6,199092648,13,17,131,10,96,567,1081,4,0,0,20532628,380972,861699153,0,567,477,0,3,1,14,14,1336,0,3,861662503,832930669,28742031,50501399,50517783,1,3,1,0,2626072780,73389,73389,14,14,14,50501403,9,3,102402,298749,544539,7244,861662503,291157,19988882,1617
401970.15,2,253952,62,47313,3116088918,1,9052389,0,380,4,4,5481,348,2,567,339421,0,15,18583,15,105390637,1136,1,1081,0,4,673,58861980,6,235447920,14,18,131,10,108,567,1081,4,0,0,24252015,475484,1013541434,0,567,477,0,3,1,14,14,1336,0,3,1012728430,983987505,33712150,59736769,59736769,1,3,1,0,3106312020,73389,73389,14,14,14,59736773,9,3,113120,348349,645417,8450,1012728430,339421,23607531,1617
403981.03,4,253952,62,55468,3652791340,1,10419205,0,460,4,4,5481,426,2,567,402445,0,15,21812,15,106367983,1136,1,1081,0,4,673,69023689,6,276094756,14,18,131,10,108,567,1081,4,0,0,28826121,574772,1186324434,0,567,477,0,3,1,14,14,1336,0,3,1185605620,1153264847,39737131,70043576,70043576,1,3,1,0,3642265984,73389,73389,14,14,14,70043580,9,3,115605,413029,725391,9932,1185605620,402445,28101840,1617
405987.33,4,253952,62,63607,4188384856,1,11814592,0,538,4,4,5481,458,2,567,463530,0,15,24990,15,107333263,1136,1,1081,0,4,673,79170423,6,316681692,14,18,131,10,108,567,1081,4,0,0,33374598,681401,1356522132,0,567,477,0,3,1,14,14,1336,0,3,1355503426,1321778765,45769503,80350383,80350383,1,3,1,0,4178219948,73389,73389,14,14,14,80350387,9,3,121250,475703,794146,11296,1355503426,463530,32581744,1617
407994.07,4,253952,62,71689,4721775202,1,13077742,0,621,4,4,5481,497,2,567,526674,0,15,28165,15,109806793,1136,1,1081,0,4,673,89288476,6,357089508,14,18,131,10,108,567,1081,4,0,0,38047770,796055,1527492067,0,567,477,0,3,1,14,14,1336,0,3,1526043205,1489544633,51791028,90613627,90613627,1,3,1,0,4711908636,73389,73389,14,14,14,90613631,9,3,130675,540446,883849,12688,1526043205,526674,37165379,1617
