timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
167707.31,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
169715.70,0,253952,62,8493,559167306,0,1327215,80,3,3,4470,112,0,558,73128,21,3320,12,96096705,1118,1,0,4,1822,10417900,6,41671600,11,17,8,685,558,0,0,4462067,114628,207466470,0,558,492,3,1,14,14,2363,3,207547221,179060417,5893612,10566792,10583176,1,3,1,549473216,73389,73389,14,14,14,10566796,8,3,77105,74767,249079,1779,207547221,73128,4213167,1758
171721.03,0,253952,62,17176,1130448604,0,2588838,145,3,3,4470,144,0,558,130397,21,6709,12,97074051,1118,1,0,4,1822,21242296,6,84969184,11,17,8,685,558,0,0,8700110,208519,387981440,0,558,492,3,1,14,14,2363,3,387886183,358675899,11484560,21561727,21561727,1,3,1,1121209836,73389,73389,14,14,14,21561731,8,3,83281,133519,329961,3221,387886183,130397,8370506,1758
173729.71,0,253952,62,23339,1536518852,1,5188949,155,3,3,4470,207,0,558,160984,21,9153,12,98908083,1118,1,0,4,1822,28916759,6,115667036,11,17,8,685,558,0,0,11142290,208596,516593992,0,558,492,3,1,14,14,2363,3,516276316,486654495,16526535,29361782,29361782,1,3,1,1525960728,73389,73389,14,14,14,29345402,8,3,84854,164944,357939,4339,516276316,160984,10784800,1758
175735.31,0,253952,62,31555,2078353174,1,6411755,205,4,4,4470,235,0,567,210735,21,12367,13,102253477,1136,1,0,4,1822,39205984,6,156759260,12,18,8,699,567,0,0,14866897,286781,687799260,0,567,495,3,1,14,14,2363,3,687196995,657311040,21548907,39782833,39782833,1,3,1,2068707348,73389,73389,14,14,14,39782837,8,3,88094,216074,422911,5705,687196995,210735,14444598,1781
177746.53,0,253952,62,38392,2527677670,2,9064293,222,5,5,4470,304,0,567,247589,21,15075,13,102880909,1136,1,0,4,1822,47710488,6,190777384,12,19,8,699,567,0,0,17736953,310035,829784966,0,567,495,3,1,14,14,2363,3,829200649,799001031,27058796,48408565,48408565,1,3,1,2517245412,73389,73389,14,14,14,48408569,8,3,93492,253943,472177,6931,829200649,247589,17265502,1781
179757.47,0,253952,62,47310,3115614792,2,10625389,285,5,5,4470,340,0,567,307186,21,18554,13,105740551,1136,1,0,4,1822,58815806,6,235198788,12,19,8,699,567,0,0,22090317,425686,1014440229,0,567,495,3,1,14,14,2363,3,1014329203,984126599,33116032,59706160,59706160,1,3,1,3104720352,73389,73389,14,14,14,59706164,8,3,101372,315038,567125,8424,1014329203,307186,21524116,1781
181763.92,1,253952,62,56090,3693832250,2,12122724,355,5,5,4470,414,0,567,373740,21,22036,13,108226147,1136,1,0,4,1822,69797309,6,279124636,12,19,8,699,567,0,0,26469128,577974,1198654592,0,567,495,3,1,14,14,2363,3,1198100350,1166217956,39116885,70827849,70827849,1,3,1,3683048180,73389,73389,14,14,14,70827853,8,3,106527,383156,635070,9978,1198100350,373740,25835167,1781
183769.27,2,253952,62,63822,4202800878,2,13467490,403,5,5,4470,449,0,567,423982,21,25054,13,109517209,1136,1,0,4,1822,79443179,6,317772716,12,19,8,699,567,0,0,30061399,640915,1363576942,0,567,495,3,1,14,14,2363,3,1362349836,1326416952,44062699,80610368,80626752,1,3,1,4191739168,73389,73389,14,14,14,80610372,8,3,110946,434641,708948,11315,1362349836,423982,29353709,1781
185775.19,2,253952,62,69664,4587797872,3,16135240,433,5,5,4470,498,0,567,454345,21,27359,13,111339175,1136,1,0,4,1822,86680934,6,346723736,12,19,8,699,567,0,0,32467276,642550,1484402794,0,567,495,3,1,14,14,2363,3,1483083245,1447933035,49201450,88000823,88017207,1,3,1,4576042828,73389,73389,14,14,14,88000827,8,3,118659,465840,757016,12335,1483083245,454345,31711614,1781
187784.40,3,253952,62,76450,5035734724,3,17041159,443,6,6,4470,550,6,567,496254,21,30061,13,112654369,1136,1,0,4,1822,95236631,6,380946524,12,20,8,699,567,0,0,35566067,664998,1625358934,0,567,495,3,1,14,14,2363,3,1624681970,1588883013,53231154,96613601,96613601,1,3,1,5023907284,73389,73389,14,14,14,96613605,8,3,121992,508823,801957,13526,1624681970,496254,34765586,1781
189790.74,4,253952,62,84214,5547645124,3,18779239,473,6,6,4470,591,6,567,551173,21,33094,13,114790051,1136,1,0,4,1822,104875400,6,419501600,12,20,8,699,567,0,0,39474207,717386,1787726623,0,567,495,3,1,14,14,2363,3,1786528768,1750111443,58927160,106438795,106438795,1,3,1,5534817372,73389,73389,14,14,14,106438799,8,3,129784,565118,884006,14847,1786528768,551173,38591826,1781
