timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
405292.64,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
407305.65,0,253952,62,7991,525604604,1,2250714,0,84,4,4,4936,111,0,558,79856,0,2,3110,13,96060507,1118,1,0,4,1082,9775796,9,39038484,12,18,8,412,558,0,0,4565898,138314,197873299,0,558,585,0,3,1,14,14,1656,0,3,197832466,168250390,6935701,9932134,9932134,1,3,1,0,516471000,73389,73389,14,14,14,9932138,8,3,82813,81481,278472,1709,197832466,79856,4287584,1856
409317.85,0,253952,62,16326,1074996390,1,3517870,0,166,4,4,4936,144,0,558,145796,0,2,6380,13,97954869,1118,1,0,4,1082,20205934,9,80759032,12,18,8,412,558,0,0,9233428,256918,371650471,0,558,585,0,3,1,14,14,1656,0,3,371826923,341264961,12957739,20494608,20494608,1,3,1,0,1065719648,73389,73389,14,14,14,20494612,8,3,87762,149118,358581,3109,371826923,145796,8875184,1856
411329.48,2,253952,62,24674,1624914362,1,4935501,0,232,4,4,4936,225,0,558,210709,0,2,9696,13,99523449,1118,1,0,4,1082,30621712,9,122422176,12,18,8,412,558,0,0,13763062,381337,544784370,0,558,585,0,3,1,14,14,1656,0,3,544917428,514326842,19013668,31059241,31075625,1,3,1,0,1615080564,73389,73389,14,14,14,31059245,8,3,89752,215754,437456,4605,544917428,210709,13326113,1856
413339.13,3,253952,62,33037,2175200008,1,6315952,0,306,4,4,4936,260,0,558,277944,0,2,12966,13,101079963,1118,1,0,4,1082,41041341,9,164165364,12,18,8,412,558,0,0,18304127,504052,716867372,0,558,585,0,3,1,14,14,1656,0,3,716171661,687417719,25043055,41660960,41660960,1,3,1,0,2166369952,73389,73389,14,14,14,41660964,8,3,99927,284662,545434,5992,716171661,277944,17759375,1856
415347.97,3,253952,62,41399,2726011352,1,7681963,0,384,4,4,4936,329,0,576,346827,0,2,16267,13,105331965,1154,1,0,4,1082,51458215,9,205832860,12,18,8,412,576,0,0,22864072,596391,891119439,0,576,601,0,3,1,14,14,1656,0,3,890922370,861097746,31046432,52241977,52241977,1,3,1,0,2715730868,73389,73389,14,14,14,52225597,8,3,106547,355263,636223,7475,890922370,346827,22228703,1921
417358.18,5,253952,62,49869,3282995634,1,9024060,0,465,4,4,4936,369,0,585,417835,0,2,19578,13,107412616,1172,1,0,4,1082,62017678,9,248006104,12,18,8,412,585,0,0,27489081,711548,1074243099,0,585,610,0,3,1,14,14,1656,0,3,1073331602,1036576667,37102185,62952351,62952351,1,3,1,0,3273522284,73389,73389,14,14,14,62952355,8,3,111155,427973,731337,8959,1073331602,417835,26758778,1950
419367.83,6,253952,62,58324,3841168756,1,10381883,0,540,4,4,4936,407,0,585,483211,0,2,22909,13,109898212,1172,1,0,4,1082,72603001,9,290412004,12,18,8,412,585,0,0,32057230,809011,1242834579,0,585,610,0,3,1,14,14,1656,0,3,1242926785,1212171808,43111068,73688572,73688572,1,3,1,0,3831805776,73389,73389,14,14,14,73688576,8,3,118369,494928,820478,10342,1242926785,483211,31237953,1950
421374.18,6,253952,62,67006,4413277402,1,11623023,0,626,4,4,4936,484,0,585,551286,0,2,26338,13,111768442,1172,1,0,4,1082,83436406,9,333681116,12,18,8,412,585,0,0,36801808,894964,1420848253,0,585,610,0,3,1,14,14,1656,0,3,1419840591,1392553816,49153269,84677030,84677030,1,3,1,0,4403205592,73389,73389,14,14,14,84677034,8,3,127490,564699,920714,11845,1419840591,551286,35882474,1950
423381.11,6,253952,62,75622,4980855550,1,12807982,0,715,4,4,4936,527,0,594,622988,0,2,29718,13,115222295,1190,1,0,4,1082,94183715,9,376670048,12,18,8,412,594,0,0,41557189,988099,1600889169,0,594,622,0,3,1,14,14,1656,0,3,1599975701,1571057607,55169652,95593919,95610303,1,3,1,0,4970883820,73389,73389,14,14,14,95593923,8,3,129537,638143,1020835,13324,1599975701,622988,40537923,1992
