timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
71833.86,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,0,626,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
73838.24,0,0,22069,1452962350,0,0,0,0,1,1,4098,117,0,666,124119,22,2060,16,18,137732348,1334,1,626,0,15,15,0,14,65,666,0,626,3,0,0,1989364,33,476966416,0,666,308,2,1,14,14,370,1,478707908,428444306,1989566,32664873,32681257,1,2,1,1437254412,73389,73389,14,14,14,32664873,6,3,420771,126139,771808,3670,478707908,124119,1217643,1678
75843.46,253952,62,44207,2911761878,6,6005626,0,7,30,30,4098,121,0,675,248122,22,8246,45,53,140565338,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,6965038,167,904831568,0,675,311,2,1,14,14,370,1,905968432,855012567,19549652,65810471,65826855,1,2,1,2895660724,73389,73389,14,14,14,65810471,6,3,489284,253103,1032392,6931,905968432,248122,5932951,1701
77848.05,253952,62,66931,4409230954,9,9006105,0,10,30,30,4098,125,0,675,356045,22,14663,45,53,141361694,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,11570961,414,1341883728,0,675,311,2,1,14,14,370,1,1343093552,1292797021,37585811,99855030,99855030,1,2,1,4392900424,73389,73389,14,14,14,99838646,6,3,496358,363629,1165410,10266,1343093552,356045,10406048,1701
79853.16,253952,62,89590,5902174738,9,9006105,0,14,30,30,4098,128,0,675,470059,22,21011,45,53,141627146,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,16285112,743,1778819127,0,675,311,2,1,14,14,370,1,1779563312,1729183399,51180375,133787060,133803444,1,2,1,5886630640,73389,73389,14,14,14,133787060,6,3,512190,480421,1304952,13596,1779563312,470059,14980866,1701
81858.37,253952,62,111551,7349374394,13,13006343,0,14,30,30,4098,132,0,675,597021,22,27218,45,53,142423502,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,21157912,1569,2200437752,0,675,311,2,1,14,14,370,1,2202139440,2152268242,87831978,166662322,166678706,1,2,1,7333142168,73389,73389,14,14,14,166662322,6,3,527320,610285,1469939,16820,2202139440,597021,19688895,1701
83863.58,253952,62,134014,8829207670,13,13006343,0,14,30,30,4098,135,0,675,725503,22,33509,45,53,142688954,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,26017482,1658,2632021767,0,675,311,2,1,14,14,370,1,2634545968,2584857075,97516535,200293407,200309791,1,2,1,8812909908,73389,73389,14,14,14,200293407,6,3,541301,741776,1637714,20119,2634545968,725503,24380917,1701
85869.07,253952,62,155954,10274465378,13,13006343,0,14,30,30,4098,139,0,675,849833,22,39710,45,53,143473244,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,30877431,1961,3055186062,0,675,311,2,1,14,14,370,1,3055913936,3007307571,107209862,233144093,233160477,1,2,1,10258340092,73389,73389,14,14,14,233144093,6,3,554812,869059,1818420,23337,3055913936,849833,29060388,1701
87874.68,253952,62,177147,11671043802,13,13006343,0,14,30,30,4098,143,0,675,988263,22,45720,45,53,144004148,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,35856566,34641,3463021359,0,675,311,2,1,14,14,370,1,3464072144,3415444413,117922161,264891018,264907402,1,2,1,11655204792,73389,73389,14,14,14,264891018,6,3,599505,1010403,2073659,26451,3464072144,988263,33784482,1701
89879.75,253952,62,199510,13144588930,13,13006343,0,14,30,30,4098,146,0,675,1112114,22,51974,45,53,144535052,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,40669974,34778,3894053013,0,675,311,2,1,14,14,370,1,3894774736,3846182038,126982871,298380680,298397064,1,2,1,13128749920,73389,73389,14,14,14,298380680,6,3,617522,1137132,2271175,29737,3894774736,1112114,38400575,1701
91885.64,253952,62,221903,14620365590,13,13006343,0,14,30,30,4098,150,0,675,1231617,22,58301,45,53,145331408,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,45385600,40836,4326251284,0,675,311,2,1,14,14,370,1,4325739472,4277628176,155270467,331917335,331933719,1,2,1,14604362740,73389,73389,14,14,14,331917335,6,3,654085,1259372,2481752,33025,4325739472,1231617,42905815,1701
93892.82,253952,62,243299,16030006502,13,13006343,0,14,30,30,4098,153,0,675,1372230,22,64308,45,53,145596860,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,50238589,82595,4736962473,0,675,311,2,1,14,14,370,1,4737436624,4689639827,167538952,363969523,363985907,1,2,1,16014659012,73389,73389,14,14,14,363969523,6,3,683685,1402891,2688970,36166,4737436624,1372230,47551775,1701
95897.63,253952,62,263721,17375815350,13,13006343,0,14,30,30,4098,157,0,675,1523840,22,70091,45,53,146393216,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,55566886,256471,5129794820,0,675,311,2,1,14,14,370,1,5130652624,5083092763,179942879,394555343,394555343,1,2,1,17359714196,73389,73389,14,14,14,394538959,6,3,719701,1557369,2987868,39166,5130652624,1523840,52581323,1701
97902.15,253952,62,286006,18843983218,13,13006343,0,14,30,30,4098,160,0,675,1650534,22,76334,45,53,146658668,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,60407805,303968,5560357537,0,675,311,2,1,14,14,370,1,5559458190,5512277728,190033272,427924284,427924284,1,2,1,18828668496,73389,73389,14,14,14,427924284,6,3,732848,1686848,3172354,42439,5559458190,1650534,57237949,1701
99912.01,253952,62,306695,20207129646,13,13981701,0,56,30,30,4098,164,1,675,1773700,22,82196,45,53,147455024,1352,1,626,0,44,44,6,14,175,675,0,626,3,0,0,64697825,446398,5952883811,0,675,311,2,1,14,14,370,1,5957327691,5910693057,276619913,458901161,458901161,1,2,1,20191651084,73389,73389,14,14,14,458901161,6,3,773676,1812602,3411135,45477,5957327691,1773700,61289348,1701
