timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
430470.10,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
432474.76,0,0,20071,1321213000,0,0,0,0,1,1,5011,117,612,125425,2,16,1874,9,0,126296834,1226,1,0,8,15,7,1126,612,0,0,0,1995361,95,435812147,0,610,408,2,2,1,14,14,402,1,435978436,389643259,1996191,29714038,29714038,1,2,1,1306696776,73389,73389,14,14,14,29697654,7,3,383157,127457,833302,3344,435978436,125425,1162154,1810
434481.63,253952,62,39223,2583272290,12,13032528,0,37,26,26,5011,120,675,261260,2,16,6842,34,72,140299886,1352,1,0,33,40,7,1289,675,0,0,0,5607116,545015,801442702,0,673,445,2,2,1,14,14,402,1,809761584,759046104,33625935,58338096,58354480,1,2,1,2566876224,73389,73389,14,14,14,58338096,7,3,523223,265938,1268951,6197,809761584,261260,4337365,1971
436488.47,253952,62,56729,3736662968,22,25375854,0,113,26,26,5011,123,675,391079,2,16,11773,34,72,140830790,1352,1,0,33,40,7,1289,675,0,0,0,11432424,1211449,1142764893,0,673,445,2,2,1,14,14,402,1,1146878768,1096110361,57772125,84560183,84576567,1,2,1,3720648052,73389,73389,14,14,14,84560183,7,3,526318,398425,1432818,8769,1146878768,391079,9999954,1971
438498.69,253952,62,74428,4903112338,23,28983397,0,192,27,27,5011,126,675,520838,2,16,16763,34,72,141361694,1352,1,0,33,41,7,1289,675,0,0,0,16232032,1472319,1485519432,0,673,445,2,2,1,14,14,402,1,1487534896,1437157215,68348736,111066831,111089248,1,2,1,4886940564,73389,73389,14,14,14,111066831,7,3,534598,530898,1597200,11368,1487534896,520838,14635315,1971
440504.20,253952,62,91246,6011233258,23,31052068,0,272,28,28,5011,129,675,628132,2,16,21543,34,72,141627146,1352,1,0,33,42,7,1289,675,0,0,0,20440727,1563571,1809928896,0,673,445,2,2,1,14,14,402,1,1811282736,1761096494,74446646,136264918,136264918,1,2,1,5995656392,73389,73389,14,14,14,136264918,7,3,539737,640681,1746149,13838,1811282736,628132,18695204,1971
442514.46,253952,62,104122,6859599544,26,35574713,0,287,31,31,5011,131,675,688464,2,16,25162,34,72,142158050,1352,1,0,33,45,7,1289,675,0,0,0,23154513,1630671,2055399688,0,673,445,2,2,1,14,14,402,1,2059270960,2009143935,82594851,155528567,155544951,1,2,1,6843256948,73389,73389,14,14,14,155528567,7,3,548600,702611,1833132,15730,2059270960,688464,21322116,1971
444519.51,253952,62,118725,7821918726,29,40167203,0,328,31,31,5011,133,675,764706,2,16,29228,34,72,142423502,1352,1,0,33,45,7,1289,675,0,0,0,26541310,1752851,2340859683,0,673,445,2,2,1,14,14,402,1,2340289328,2290410898,90989108,177415371,177415371,1,2,1,7806276324,73389,73389,14,14,14,177415371,7,3,554229,780736,1954877,17874,2340289328,764706,24587288,1971
446527.03,253952,62,133353,8785622922,29,41524722,0,362,33,33,5011,135,675,849990,2,16,33335,34,72,142688954,1352,1,0,33,47,7,1289,675,0,0,0,29965731,1932990,2617936899,0,673,445,2,2,1,14,14,402,1,2621831984,2572118946,96116048,199304334,199320718,1,2,1,8769390696,73389,73389,14,14,14,199304334,7,3,563260,868039,2087162,20022,2621831984,849990,27879538,1971
448535.97,253952,62,151013,9949359530,29,44013757,0,430,33,33,5011,138,675,974819,2,16,38312,34,72,143207792,1352,1,0,33,47,7,1289,675,0,0,0,34665696,2424901,2959260975,0,673,445,2,2,1,14,14,402,1,2961570608,2912230935,104275597,225761830,225778214,1,2,1,9933520520,73389,73389,14,14,14,225761830,7,3,565825,995567,2242555,22614,2961570608,974819,32424250,1971
