timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
163729.24,0,0,21040,1384982836,0,0,0,0,1,1,4268,117,639,127278,9,1965,14,24,131875832,1280,1,626,0,13,15,12,199,639,0,626,8,0,0,1992762,139,456127416,0,639,401,2,1,14,14,399,1,456818884,408376827,1993771,31145479,31161863,1,2,1,1370401076,73389,73389,14,14,14,31145479,11,3,400389,129435,804659,3503,456818884,127278,1188189,1735
165735.74,253952,62,40149,2644224078,18,19947039,0,32,26,26,4268,120,675,249110,9,7084,39,72,140299886,1352,1,626,0,38,40,12,340,675,0,626,8,0,0,6560985,491059,820646083,0,675,531,2,1,14,14,399,1,827980592,776869932,45344537,59720385,59736769,1,2,1,2627696940,73389,73389,14,14,14,59720385,11,3,510520,253930,1169415,6336,827980592,249110,5391830,1838
167742.87,253952,62,58647,3863145306,19,24304243,0,53,26,26,4268,123,675,371418,9,12293,39,72,140830790,1352,1,626,0,38,40,12,340,675,0,626,8,0,0,11399483,819486,1180763141,0,675,531,2,1,14,14,399,1,1183972144,1133108121,59174383,87445482,87445482,1,2,1,3846880312,73389,73389,14,14,14,87429098,11,3,524948,379098,1355932,9052,1183972144,371418,10054393,1838
169752.22,253952,62,75522,4975170702,21,30477177,0,90,26,26,4268,126,675,491783,9,17064,39,72,141361694,1352,1,626,0,38,40,12,340,675,0,626,8,0,0,15917504,1447974,1506517011,0,675,531,2,1,14,14,399,1,1508506416,1458253855,73822353,112717297,112717297,1,2,1,4959561068,73389,73389,14,14,14,112717297,11,3,540541,502074,1549914,11528,1508506416,491783,14368207,1838
171757.51,253952,62,91396,6021329110,22,34493196,0,136,27,27,4268,129,675,607660,9,21563,39,72,141892598,1352,1,626,0,38,41,12,340,675,0,626,8,0,0,20102376,2091206,1809833415,0,675,531,2,1,14,14,399,1,1814428464,1764027604,83772020,136483943,136500327,1,2,1,6005293492,73389,73389,14,14,14,136483943,11,3,559171,620351,1749937,13862,1814428464,607660,18353205,1838
173763.94,253952,62,102871,6777071038,25,39044826,0,147,28,28,4268,130,675,669280,9,24740,39,72,141892598,1352,1,626,0,38,42,12,340,675,0,626,8,0,0,22603670,2107676,2033677710,0,675,531,2,1,14,14,399,1,2035153712,1984999820,90976161,153656917,153673301,1,2,1,6760904348,73389,73389,14,14,14,153656917,11,3,561962,683419,1824840,15546,2035153712,669280,20779696,1838
175768.79,253952,62,117472,7739271214,27,42446540,0,200,30,30,4268,133,675,759412,9,28886,39,72,142423502,1352,1,626,0,38,44,12,340,675,0,626,8,0,0,26307098,2460183,2316148234,0,675,531,2,1,14,14,399,1,2315909936,2266266208,99040058,175535529,175535529,1,2,1,7723563276,73389,73389,14,14,14,175535529,11,3,571894,775696,1963201,17688,2315909936,759412,24344909,1838
177776.15,253952,62,130175,8576287706,28,44869128,0,215,33,33,4268,135,675,829144,9,32464,39,72,142688954,1352,1,626,0,38,47,12,340,675,0,626,8,0,0,29205268,2652586,2559394629,0,675,531,2,1,14,14,399,1,2560621360,2510900371,104810023,194561610,194561610,1,2,1,8559989944,73389,73389,14,14,14,194545226,11,3,586042,847097,2086770,19555,2560621360,829144,27119613,1838
179784.15,253952,62,146132,9627620150,30,50749958,0,259,35,35,4268,137,675,945765,9,36923,39,72,142942340,1352,1,626,0,38,49,12,340,675,0,626,8,0,0,33429404,3518047,2865610756,0,675,531,2,1,14,14,399,1,2867723056,2818302850,115909519,218453295,218453295,1,2,1,9611224084,73389,73389,14,14,14,218436911,11,3,595505,966255,2273793,21898,2867723056,945765,31156881,1838
181795.65,253952,62,162028,10674895978,31,54544238,0,310,36,36,4268,140,675,1066065,9,41425,39,72,143738696,1352,1,626,0,38,50,12,340,675,0,626,8,0,0,37921300,4395856,3173891668,0,675,531,2,1,14,14,399,1,3172830160,3124273834,127566400,242258742,242275126,1,2,1,10659384648,73389,73389,14,14,14,242258742,11,3,609901,1089029,2481159,24229,3172830160,1066065,35441629,1838
183800.44,253952,62,176314,11616186862,32,58598883,0,363,36,36,4268,143,675,1158223,9,45446,39,72,144004148,1352,1,626,0,38,50,12,340,675,0,626,8,0,0,41468368,4717013,3448227859,0,675,531,2,1,14,14,399,1,3448081360,3399406198,135144271,263656185,263656185,1,2,1,11600872140,73389,73389,14,14,14,263656185,11,3,610270,1183232,2605067,26329,3448081360,1158223,38864910,1838
185805.54,253952,62,187679,12364985282,34,62270494,0,394,36,36,4268,144,675,1213385,9,48636,39,72,144269600,1352,1,626,0,38,50,12,340,675,0,626,8,0,0,43899263,4726987,3667873956,0,675,531,2,1,14,14,399,1,3666840528,3618369173,142014371,280663160,280679544,1,2,1,12349179040,73389,73389,14,14,14,280663160,11,3,614247,1239810,2656059,27998,3666840528,1213385,41244919,1838
187812.40,253952,62,200721,13224483930,34,63469633,0,422,39,39,4268,146,675,1295742,9,52306,39,72,144535052,1352,1,626,0,38,53,12,340,675,0,626,8,0,0,47005696,5036283,3918605477,0,675,531,2,1,14,14,399,1,3917712336,3869527011,146844160,300194986,300211370,1,2,1,13208579384,73389,73389,14,14,14,300194986,11,3,623296,1323945,2785432,29912,3917712336,1295742,44222110,1838
