timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
390830.55,0,253952,62,8539,561844114,0,1391380,72,3,3,4953,111,0,558,76806,0,24,3326,14,111,96386289,1118,1,4,721,10451962,8,41743136,13,17,9,10,175,558,4455203,65681,206044758,558,428,0,3,1,14,14,1258,3,206627162,179863332,5910613,10618103,10618103,1,3,1,552141388,73389,73389,14,14,14,10618107,7,3,81603,78449,253723,1772,206627162,76806,4201662,1566
392836.83,0,253952,62,17197,1132126510,0,2709217,157,3,3,4953,144,0,558,147105,0,24,6716,14,111,98003133,1118,1,4,721,21272431,8,85025380,13,17,9,10,175,558,9124553,137103,387373510,558,428,0,3,1,14,14,1258,3,387539535,359011205,11938655,21592336,21608720,1,3,1,1121949536,73389,73389,14,14,14,21575956,7,3,84609,150470,334786,3222,387539535,147105,8790138,1566
394847.82,1,253952,62,25732,1694866816,0,4056538,232,3,3,4953,229,0,558,220546,0,24,10115,14,111,100138815,1118,1,4,721,31958511,8,127834044,13,17,9,10,175,558,13705238,243554,573537045,558,428,0,3,1,14,14,1258,3,573528377,536419114,17967091,32414795,32414795,1,3,1,1685569372,73389,73389,14,14,14,32414799,7,3,87648,225672,407776,4826,573528377,220546,13298011,1566
396854.72,2,253952,62,34187,2251483424,0,5406486,301,3,3,4953,262,0,558,286397,0,24,13410,14,111,101079963,1118,1,4,721,42473734,8,169830504,13,17,9,10,175,558,18281841,356651,740235557,558,428,0,3,1,14,14,1258,3,739790064,711728446,23997057,43112659,43129043,1,3,1,2241858300,73389,73389,14,14,14,43112663,7,3,91284,294690,495598,6168,739790064,286397,17786964,1566
398859.56,2,253952,62,41330,2721815150,0,6608894,362,3,3,4953,334,0,567,336683,0,24,16243,14,111,103532473,1136,1,4,721,51384325,8,205472592,13,17,9,10,175,567,21939224,451104,887925013,567,435,0,3,1,14,14,1258,3,887210832,859738912,28940108,52166090,52166090,1,3,1,2712636712,73389,73389,14,14,14,52166094,7,3,97684,346324,568606,7442,887210832,336683,21371477,1597
400866.31,2,253952,62,47235,3110373810,1,9321440,399,3,3,4953,344,1,567,370006,0,24,18537,14,111,105101053,1136,1,4,721,58722980,8,234891920,13,17,9,10,175,567,24403500,451500,1015887110,567,435,0,3,1,14,14,1258,3,1014944733,982337692,34116497,59610015,59626399,1,3,1,3099720812,73389,73389,14,14,14,59610019,7,3,103510,380537,608523,8445,1014944733,370006,23795934,1597
402876.55,2,253952,62,55425,3649623378,1,10443378,456,4,4,4953,425,1,567,438225,0,24,21801,15,111,106042201,1136,1,4,721,69010765,8,276043060,14,18,9,10,191,567,28826442,576726,1179937053,567,435,0,3,1,14,14,1258,3,1179613358,1151776131,39773795,70012967,70012967,1,3,1,3640674316,73389,73389,14,14,14,70012971,7,3,111199,450299,701106,9869,1179613358,438225,28126459,1597
404885.64,2,253952,62,63984,4214612244,1,11770471,530,4,4,4953,459,1,576,510300,0,24,25143,15,111,110038888,1154,1,4,721,79637470,8,318549880,14,18,9,10,191,576,33390904,729092,1358157882,576,447,0,3,1,14,14,1258,3,1357654149,1329946762,45802647,80855684,80855684,1,3,1,4203643632,73389,73389,14,14,14,80839304,7,3,116811,524036,793023,11307,1357654149,510300,32599185,1636
406892.91,2,253952,62,72437,4771225056,1,13144445,610,4,4,4953,515,2,594,582042,0,24,28472,15,111,114559643,1190,1,4,721,90207225,8,360764452,14,18,9,10,191,594,37968315,834193,1541261979,594,464,0,3,1,14,14,1258,3,1540307826,1505404016,51841846,91541038,91541038,1,3,1,4760134008,73389,73389,14,14,14,91541042,7,3,121652,597486,877287,12835,1540307826,582042,37092512,1701
408900.36,3,253952,62,80866,5326789292,1,14401407,692,4,4,4953,574,2,594,653587,0,24,31796,15,111,115500791,1190,1,4,721,100731750,8,402862480,14,18,9,10,191,594,42642403,933589,1722417523,594,464,0,3,1,14,14,1258,3,1721295991,1680818640,57829697,102201816,102201816,1,3,1,5314494464,73389,73389,14,14,14,102201820,7,3,125684,670795,977544,14346,1721295991,653587,41666523,1701
410910.79,4,253952,62,89241,5878488802,1,15844907,756,4,4,4953,614,2,594,725304,0,24,35053,15,111,116152355,1190,1,4,721,111115361,8,444396780,14,18,9,10,191,594,47172940,987086,1905560561,594,464,0,3,1,14,14,1258,3,1904389156,1855475999,63871935,112750065,112750065,1,3,1,5862151444,73389,73389,14,14,14,112733685,7,3,128062,744210,1072568,15847,1904389156,725304,46102214,1701
412922.08,4,253952,62,97559,6426766476,1,17317796,825,4,4,4953,682,2,603,797119,0,24,38335,15,111,119520427,1208,1,4,721,121459845,8,485839380,14,18,9,10,191,603,51695487,1056206,2090561912,603,472,0,3,1,14,14,1258,3,2088577606,2028930468,69920067,123238811,123238811,1,3,1,6408418204,73389,73389,14,14,14,123238815,7,3,131998,817756,1158509,17413,2088577606,797119,50538991,1730
414930.66,5,253952,62,105887,6976290744,1,18612187,903,4,4,4953,723,2,603,871502,0,24,41599,15,111,121981891,1208,1,4,721,131852255,8,527409020,14,18,9,10,191,603,56315360,1156966,2274031026,603,472,0,3,1,14,14,1258,3,2272001132,2202420516,75925807,133780583,133780583,1,3,1,6956590348,73389,73389,14,14,14,133780587,7,3,141971,893838,1278331,18902,2272001132,871502,55039218,1730
416939.29,5,253952,62,114092,7516547484,1,20020805,977,4,4,4953,793,19,603,947089,0,24,44825,15,111,121981891,1208,1,4,721,142027885,8,568047072,14,18,9,10,191,603,60886327,1251123,2454571841,603,472,0,3,1,14,14,1258,3,2452505268,2373444202,81982072,144117999,144117999,1,3,1,7494135980,73389,73389,14,14,14,144118003,7,3,159669,971187,1394452,20433,2452505268,947089,59494233,1730
