timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
396385.49,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
398390.08,0,253952,62,7374,485205090,1,2268458,0,57,4,4,5684,104,0,558,71036,19,2854,15,200,96096705,1118,1,0,4,1262,8951902,7,35807608,14,18,10,465,558,0,0,4107805,122695,183055386,0,558,563,3,1,14,14,1904,3,183031957,155709768,6478532,9145702,9145702,1,3,1,474724568,73389,73389,14,14,14,9129322,7,3,61219,72514,225220,1577,183031957,71036,3882721,1812
400394.91,0,253952,62,12576,828271110,2,5059714,0,75,4,4,5684,107,0,558,98915,19,4890,15,200,97930737,1118,1,0,4,1262,15511560,7,62046240,14,18,10,465,558,0,0,6318431,122789,290865362,0,558,563,3,1,14,14,1904,3,290886904,263385595,11490866,15749725,15766109,1,3,1,818985732,73389,73389,14,14,14,15749729,7,3,64659,101119,269972,2408,290886904,98915,6048677,1812
402410.93,0,253952,62,19984,1315040794,2,6166906,0,139,5,5,5684,189,0,558,162598,19,7843,15,200,98582301,1118,1,0,4,1262,24758136,7,99032544,14,19,10,465,558,0,0,10426599,247981,448609623,0,558,563,3,1,14,14,1904,3,448347170,416804503,16816365,25112737,25112737,1,3,1,1305862356,73389,73389,14,14,14,25112741,7,3,69871,166326,345520,3783,448347170,162598,10081461,1812
404420.05,4,253952,62,28046,1846529186,2,7568967,0,213,5,5,5684,219,0,558,230409,19,10998,15,200,100464597,1118,1,0,4,1262,34831894,7,139327576,14,19,10,465,558,0,0,15008662,341804,616143914,0,558,563,3,1,14,14,1904,3,615974010,584229658,22874879,35331147,35331147,1,3,1,1837219676,73389,73389,14,14,14,35331151,7,3,73105,235747,427089,5129,615974010,230409,14582126,1812
406428.35,4,253952,62,36146,2379904646,2,8933849,0,295,5,5,5684,299,0,567,294341,19,14206,15,200,103556605,1136,1,0,4,1262,44919591,7,179678364,14,19,10,465,567,0,0,19548507,457513,780255902,0,567,578,3,1,14,14,1904,3,780049428,752026974,28866585,45578451,45594835,1,3,1,2370079484,73389,73389,14,14,14,45578455,7,3,78078,301272,526603,6543,780049428,294341,19022626,1841
408435.86,4,253952,62,44373,2922182346,2,10212487,0,376,5,5,5684,334,0,567,364332,19,17423,15,200,105414769,1136,1,0,4,1262,55171045,7,220619488,14,19,10,465,567,0,0,24238837,568302,957088003,0,567,578,3,1,14,14,1904,3,956580859,922904600,34923028,56009853,56026237,1,3,1,2912512388,73389,73389,14,14,14,56009857,7,3,79659,372940,609439,7963,956580859,364332,23630300,1841
410445.36,7,253952,62,52511,3458325692,2,11561523,0,451,5,5,5684,372,0,567,428051,19,20623,15,200,106959217,1136,1,0,4,1262,65360584,7,261442336,14,19,10,465,567,0,0,28806272,680169,1121706970,0,567,578,3,1,14,14,1904,3,1121307553,1091573236,40933911,66312342,66328726,1,3,1,3448241816,73389,73389,14,14,14,66312346,7,3,81880,438158,691421,9308,1121307553,428051,28115928,1841
412457.29,8,253952,62,60742,4000286368,2,13028205,0,517,5,5,5684,448,0,567,491611,19,23878,15,200,107936563,1136,1,0,4,1262,75634252,7,302537008,14,19,10,465,567,0,0,33296711,783728,1290320582,0,567,578,3,1,14,14,1904,3,1289345095,1262321130,46971883,76748062,76748062,1,3,1,3990899256,73389,73389,14,14,14,76748066,7,3,84490,503274,773463,10740,1289345095,491611,32524499,1841
414467.00,9,253952,62,68951,4540793186,2,14290840,0,601,5,5,5684,482,0,567,561586,19,27081,15,200,108889777,1136,1,0,4,1262,85858330,7,343368628,14,19,10,465,567,0,0,37957832,914075,1464236017,0,567,578,3,1,14,14,1904,3,1462957907,1432598926,53010669,87134630,87134630,1,3,1,4531000792,73389,73389,14,14,14,87134634,7,3,90081,574886,883118,12141,1462957907,561586,37076141,1841
416476.78,17,253952,62,77208,5085085230,2,15716276,0,671,5,5,5684,558,0,567,633638,19,30356,15,200,110144641,1136,1,0,4,1262,96175177,7,384571484,14,19,10,465,567,0,0,42493175,1010370,1640141731,0,567,578,3,1,14,14,1904,3,1638955167,1604231112,59046932,97582416,97582416,1,3,1,5074285664,73389,73389,14,14,14,97582420,7,3,115780,648661,1007404,13645,1638955167,633638,41487373,1841
418483.80,17,253952,62,85481,5630980886,2,17014166,0,752,5,5,5684,592,0,567,698076,19,33608,15,200,111677023,1136,1,0,4,1262,106552856,7,426146852,14,19,10,465,567,0,0,47096283,1131228,1806810358,0,567,578,3,1,14,14,1904,3,1805059006,1775880193,65064460,108091420,108091420,1,3,1,5620753872,73389,73389,14,14,14,108091424,7,3,120054,714649,1080152,14989,1805059006,698076,46017914,1841
420490.45,18,253952,62,93936,6187621626,2,18285968,0,834,5,5,5684,664,0,585,771463,19,36942,15,200,115266733,1172,1,0,4,1262,117043029,7,468107412,14,19,10,465,585,0,0,51776293,1218800,1990562784,0,585,597,3,1,14,14,1904,3,1989161704,1951696608,71082855,118748324,118764708,1,3,1,6174912880,73389,73389,14,14,14,118748328,7,3,129030,789793,1172125,16560,1989161704,771463,50606133,1910
422498.14,18,253952,62,102527,6753585506,2,19525980,0,927,5,5,5684,707,0,585,840407,19,40301,15,200,115966561,1172,1,0,4,1262,127765439,7,510932484,14,19,10,465,585,0,0,56496380,1311265,2173164136,0,585,597,3,1,14,14,1904,3,2171057877,2130192735,77110866,129624253,129624253,1,3,1,6740461188,73389,73389,14,14,14,129624257,7,3,132213,860379,1253094,18044,2171057877,840407,55245424,1910
424505.69,18,253952,62,110989,7311783004,2,20704758,0,1020,5,5,5684,755,0,585,909458,19,43628,15,200,117740263,1172,1,0,4,1262,138304293,7,553217172,14,19,10,465,585,0,0,61278032,1348553,2348590029,0,585,597,3,1,14,14,1904,3,2346440837,2306354801,83088204,140329865,140329865,1,3,1,7297153012,73389,73389,14,14,14,140329869,7,3,134407,931031,1351700,19489,2346440837,909458,59928646,1910
426513.01,20,253952,62,119586,7877753988,2,21993645,0,1108,5,5,5684,821,0,585,979235,19,47010,15,200,117740263,1172,1,0,4,1262,149013235,7,595923524,14,19,10,465,585,0,0,65992241,1423559,2534321954,0,585,597,3,1,14,14,1904,3,2532519608,2484877480,89143423,151191569,151191569,1,3,1,7861109652,73389,73389,14,14,14,151175189,7,3,138592,1002501,1438309,21061,2532519608,979235,64556431,1910
428518.82,21,253952,62,128114,8439178856,2,23203150,0,1198,5,5,5684,866,0,585,1051506,19,50363,15,200,117740263,1172,1,0,4,1262,159658453,7,638633812,14,19,10,465,585,0,0,70720253,1474529,2713183407,0,585,597,3,1,14,14,1904,3,2710664375,2661859620,95139923,161971353,161987737,1,3,1,8422510388,73389,73389,14,14,14,161971357,7,3,143047,1076382,1524760,22525,2710664375,1051506,69198170,1910
430524.51,21,253952,62,136944,9021903846,2,24923398,0,1227,5,5,5684,932,0,585,1114391,19,53835,15,200,118053979,1172,1,0,4,1262,170647973,7,682591892,14,19,10,465,585,0,0,74918247,1475570,2901609265,0,585,597,3,1,14,14,1904,3,2899826016,2846129404,101059694,173133558,173133558,1,3,1,9002093080,73389,73389,14,14,14,173117178,7,3,146492,1140809,1598514,24120,2899826016,1114391,73322584,1910
432529.20,21,253952,62,142797,9407682066,3,27038974,0,1261,5,5,5684,975,0,585,1148258,19,56131,15,200,118066045,1172,1,0,4,1262,177966451,7,711865804,14,19,10,465,585,0,0,77359957,1475635,3030928611,0,585,597,3,1,14,14,1904,3,3028154493,2967754578,105615138,180540397,180540397,1,3,1,9388100676,73389,73389,14,14,14,180540401,7,3,155049,1175610,1653322,25203,3028154493,1148258,75709592,1910
434537.34,21,253952,62,151071,9953039958,3,28495916,0,1333,6,6,5684,1016,0,585,1216466,19,59384,15,200,118066045,1172,1,0,4,1262,188267584,7,753005752,14,20,10,465,585,0,0,81784158,1547954,3206090548,0,585,597,3,1,14,14,1904,3,3203818458,3139768284,111551881,191004567,191004567,1,3,1,9932237516,73389,73389,14,14,14,191004571,7,3,165029,1245407,1740027,26644,3203818458,1216466,80047252,1910
