timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
552512.29,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
554517.28,0,0,20696,1362185066,0,0,0,1,1,5964,117,0,630,123556,27,1933,12,0,129851264,1262,1,0,11,15,0,10,369,630,0,0,0,1981386,156,447082995,0,630,361,2,1,14,14,479,1,449216708,401666802,1981724,30631542,30647926,1,2,1,1347787848,73389,73389,14,14,14,30631542,7,3,392469,125704,808788,3445,449216708,123556,1172689,1653
556522.78,253952,62,38914,2562756214,0,0,0,24,24,5964,120,0,675,225098,27,6746,35,35,140299886,1352,1,0,34,38,8,10,474,675,0,0,0,5947959,246,802017609,0,675,376,2,1,14,14,479,1,803863344,753052752,9397719,57873311,57889695,1,2,1,2546425684,73389,73389,14,14,14,57873311,7,3,466115,229577,1070308,6152,803863344,225098,4877899,1769
558528.85,253952,62,55865,3679762346,0,0,0,24,24,5964,123,0,675,321768,27,11534,35,35,140830790,1352,1,0,34,38,8,10,474,675,0,0,0,10046380,5291,1129206087,0,675,376,2,1,14,14,479,1,1129970480,1079524832,20418969,83276198,83276198,1,2,1,3664152712,73389,73389,14,14,14,83276198,7,3,476510,328591,1205681,8640,1129970480,321768,8841116,1769
560533.94,253952,62,74051,4878236342,1,1000062,1,24,24,5964,126,0,675,406626,27,16661,35,35,141361694,1352,1,0,34,38,8,10,474,675,0,0,0,13959372,6120,1478807377,0,675,376,2,1,14,14,479,1,1480063792,1429892771,29363507,110509775,110526159,1,2,1,4862430100,73389,73389,14,14,14,110509775,7,3,484055,415553,1322337,11311,1480063792,406626,12637608,1769
562540.01,253952,62,92308,6081363394,12,12002826,19,24,24,5964,129,0,675,520502,27,21806,35,35,141892598,1352,1,0,34,38,8,10,474,675,0,0,0,18497883,352690,1827763490,0,675,376,2,1,14,14,479,1,1831467824,1781558036,150997978,137849848,137866232,1,2,1,6065393312,73389,73389,14,14,14,137849848,7,3,525253,531983,1555265,13992,1831467824,520502,16943359,1769
564544.68,253952,62,108283,7133875486,20,21913482,55,24,24,5964,131,0,675,622169,27,26270,35,35,142158050,1352,1,0,34,38,8,10,474,675,0,0,0,22506893,621418,2138291638,0,675,376,2,1,14,14,479,1,2139618096,2089317150,198069851,161774301,161774301,1,2,1,7118069244,73389,73389,14,14,14,161774301,7,3,539074,635944,1705846,16343,2139618096,622169,20801947,1769
566556.80,253952,62,121422,7999731126,22,25514602,79,25,25,5964,133,0,675,700577,27,29966,35,35,142423502,1352,1,0,34,39,8,10,474,675,0,0,0,25508743,686815,2392690590,0,675,376,2,1,14,14,479,1,2392455984,2342365415,204914469,181453583,181469967,1,2,1,7983957652,73389,73389,14,14,14,181453583,7,3,549711,716253,1799469,18272,2392455984,700577,23710292,1769
568563.72,253952,62,137652,9069220350,24,29869965,127,30,30,5964,136,0,675,819458,27,34556,35,35,142942340,1352,1,0,34,44,8,10,474,675,0,0,0,29976337,1475429,2702567618,0,675,376,2,1,14,14,479,1,2704669488,2655042026,216524599,205760901,205760901,1,2,1,9053479644,73389,73389,14,14,14,205760901,7,3,569900,837724,1987320,20654,2704669488,819458,27990197,1769
570568.93,253952,62,148809,9804133896,28,35353561,150,30,30,5964,138,0,675,876180,27,37707,35,35,143207792,1352,1,0,34,44,8,10,474,675,0,0,0,32384371,1499039,2919591326,0,675,376,2,1,14,14,479,1,2919496496,2869855770,224524849,222466931,222466931,1,2,1,9788544964,73389,73389,14,14,14,222466931,7,3,570415,895896,2053239,22293,2919496496,876180,30332412,1769
572577.43,253952,62,163980,10803618606,28,37080906,184,35,35,5964,141,0,675,991272,27,41966,35,35,143738696,1352,1,0,34,49,8,10,474,675,0,0,0,36452734,2286795,3209248630,0,675,376,2,1,14,14,479,1,3210709968,3161909744,232529421,245185001,245185001,1,2,1,10788140044,73389,73389,14,14,14,245185001,7,3,591375,1013390,2241109,24518,3210709968,991272,34213051,1769
574586.98,253952,62,179627,11834369438,29,42163623,222,36,36,5964,143,0,675,1103455,27,46385,35,35,144004148,1352,1,0,34,50,8,10,474,675,0,0,0,40843690,3668813,3510458492,0,675,376,2,1,14,14,479,1,3511651280,3463227008,246254457,268611901,268611901,1,2,1,11818923644,73389,73389,14,14,14,268611901,7,3,607903,1127956,2435478,26814,3511651280,1103455,38409777,1769
576595.31,253952,62,194830,12836287738,30,45828212,264,39,39,5964,146,0,675,1218388,27,50699,35,35,144535052,1352,1,0,34,53,9,10,474,675,0,0,0,45187164,5219007,3801467558,0,675,376,2,1,14,14,479,1,3804335056,3756056425,261177704,291381282,291397666,1,2,1,12820776408,73389,73389,14,14,14,291381282,7,3,626563,1245327,2636830,29047,3804335056,1218388,42552056,1769
578600.94,253952,62,210227,13850920022,35,53090001,317,39,39,5964,148,1,675,1324627,27,55007,35,35,145065956,1352,1,0,34,53,9,10,474,675,0,0,0,49403417,5911630,4100729612,0,675,376,2,1,14,14,479,1,4100688848,4052654608,275091437,314445575,314445575,1,2,1,13835605300,73389,73389,14,14,14,314445575,7,3,632381,1353953,2792685,31308,4100688848,1324627,46612616,1769
