timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
383329.94,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
385336.09,0,253952,62,8757,576167160,0,1659312,0,45,3,3,5258,111,0,558,64444,0,10,3416,14,95481339,1118,1,0,4,503,10726535,5,42906140,13,17,10,137,558,0,0,4252201,4253,209781526,0,558,396,0,3,1,14,14,1013,3,209748804,184249279,5915344,10896631,10896631,1,3,1,566624844,73389,73389,14,14,14,10896635,7,3,82594,65865,239516,1793,209748804,64444,4012875,1569
387341.50,0,253952,62,17349,1142063850,0,3245127,0,106,3,3,5258,144,0,558,125347,0,10,6775,14,97037853,1118,1,0,4,503,21449231,5,85796924,13,17,10,137,558,0,0,8680256,9777,390143327,0,558,396,0,3,1,14,14,1013,3,390576634,362447096,11933189,21772560,21788944,1,3,1,1132173152,73389,73389,14,14,14,21772564,7,3,93693,128265,321471,3242,390576634,125347,8359155,1569
389348.18,0,253952,62,26335,1733769658,0,4840026,0,159,3,3,5258,230,0,558,186203,0,10,10336,14,99209733,1118,1,0,4,503,32672927,5,130691708,13,17,10,137,558,0,0,13076403,16788,584563262,0,558,396,0,3,1,14,14,1013,3,584161090,548717385,17929413,33156393,33156393,1,3,1,1724132468,73389,73389,14,14,14,33156397,7,3,98245,190695,385576,4909,584161090,186203,12691383,1569
391354.93,0,253952,62,35242,2320949686,0,6265118,0,224,3,3,5258,264,0,558,246864,0,10,13825,14,100778313,1118,1,0,4,503,43810602,5,175242408,13,17,10,137,558,0,0,17628878,82711,768158181,0,558,396,0,3,1,14,14,1013,3,767440784,733766459,23965207,44437604,44437604,1,3,1,2310755440,73389,73389,14,14,14,44437608,7,3,100058,252819,470548,6391,767440784,246864,17159076,1569
393363.89,0,253952,62,44122,2905443226,0,7632521,0,306,3,3,5258,350,0,576,310569,0,10,17335,14,105368163,1154,1,0,4,503,54842771,5,219371084,13,17,10,137,576,0,0,22244279,144190,948468228,0,576,409,0,3,1,14,14,1013,3,947826316,917893106,29986917,55676140,55676140,1,3,1,2895159312,73389,73389,14,14,14,55676144,7,3,106019,318094,579446,7942,947826316,310569,21665773,1632
395374.56,1,253952,62,52791,3476663706,0,8950140,0,384,3,3,5258,385,0,585,377013,0,10,20729,14,108387640,1172,1,0,4,503,65668480,5,262609280,13,17,10,137,585,0,0,26894955,253051,1134506844,0,585,420,0,3,1,14,14,1013,3,1133420070,1097756901,36031542,66656406,66656406,1,3,1,3466133144,73389,73389,14,14,14,66656410,7,3,109833,386181,655246,9437,1133420070,377013,26240836,1665
397385.94,1,253952,62,61168,4027656284,0,10376210,0,457,3,3,5258,435,0,594,439534,0,10,24023,14,111093000,1190,1,0,4,503,76094353,5,304377412,13,17,10,137,594,0,0,31404225,349698,1308839218,0,594,425,0,3,1,14,14,1013,3,1307987072,1271379108,42046255,77231390,77247774,1,3,1,4016032312,73389,73389,14,14,14,77231394,7,3,116939,450199,743168,10886,1307987072,439534,30662360,1695
399390.98,1,253952,62,67630,4453092542,1,12412211,0,488,3,3,5258,483,0,594,478355,0,10,26558,14,112999428,1190,1,0,4,503,84158729,5,336634916,13,17,10,137,594,0,0,34425399,377831,1441004460,0,594,425,0,3,1,14,14,1013,3,1440155383,1405653502,47126886,85410436,85410436,1,3,1,4441342704,73389,73389,14,14,14,85410440,7,3,119668,490019,804206,11991,1440155383,478355,33622607,1695
401402.28,2,253952,62,73975,4872007358,1,14114113,0,531,4,4,5258,527,1,594,518054,0,10,29062,15,114869658,1190,1,0,4,503,92071234,5,368220492,14,18,10,154,594,0,0,37455186,413243,1577147595,0,594,425,0,3,1,14,14,1013,3,1576486838,1537780839,51895785,93433390,93449774,1,3,1,4858536312,73389,73389,14,14,14,93433394,7,3,128528,530731,860315,13140,1576486838,518054,36596400,1695
