timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
384784.19,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
386789.80,0,253952,62,8654,569416952,0,1543625,0,58,3,3,4610,112,0,558,67965,0,15,3373,18,12,95481339,1118,1,0,4,469,10613180,6,42323796,17,17,14,84,558,0,0,0,4364461,12423,209190773,0,558,458,0,3,1,14,14,993,3,209404552,182159896,5919300,10765559,10765559,1,3,1,559809100,73389,73389,14,14,14,10765563,4,3,81458,69537,225912,1793,209404552,67965,4138722,1685
388796.52,0,253952,62,17688,1164618402,0,3180963,0,105,3,3,4610,146,0,558,126637,0,15,6911,18,12,97061985,1118,1,0,4,469,21898512,6,87594048,17,17,14,84,558,0,0,0,8735345,18692,398800542,0,558,458,0,3,1,14,14,993,3,398701321,369558298,11929079,22212769,22212769,1,3,1,1155064020,73389,73389,14,14,14,22212773,4,3,84583,129863,298876,3309,398701321,126637,8436834,1685
390803.26,7,253952,62,26570,1749484334,0,4652705,0,176,3,3,4610,235,1,558,197787,0,15,10436,18,12,98582301,1118,1,0,4,469,32976324,6,131840736,17,17,14,84,558,0,0,0,13240007,67649,592230041,0,558,458,0,3,1,14,14,993,3,592473213,553672981,17945124,33465530,33465530,1,3,1,1740207592,73389,73389,14,14,14,33465534,4,3,87121,202814,373855,4975,592473213,197787,12866711,1685
392809.82,7,253952,62,35457,2335353642,0,5923285,0,248,3,3,4610,269,1,558,264860,0,15,13916,18,12,100150881,1118,1,0,4,469,44081095,6,176259896,17,17,14,84,558,0,0,0,17916520,160708,766801805,0,558,458,0,3,1,14,14,993,3,766073715,738032357,23965372,44722165,44738549,1,3,1,2325552612,73389,73389,14,14,14,44722169,4,3,89307,271557,468081,6372,766073715,264860,17449183,1685
394818.92,8,253952,62,44003,2898561458,0,7301053,0,325,3,3,4610,351,4,567,337360,0,15,17299,18,12,102905041,1136,1,0,4,469,54714326,6,218792668,17,17,14,84,567,0,0,0,22490072,267030,949349199,0,567,466,0,3,1,14,14,993,3,948852046,915841843,30005426,55530399,55546783,1,3,1,2887580780,73389,73389,14,14,14,55530403,4,3,92730,345805,552937,7937,948852046,337360,21938061,1722
396827.83,8,253952,62,52359,3448400418,0,8688466,0,401,3,3,4610,388,4,567,407511,0,15,20574,18,12,104473621,1136,1,0,4,469,65183426,6,260677608,17,17,14,84,567,0,0,0,27061786,359617,1128572434,0,567,466,0,3,1,14,14,993,3,1127886067,1088458820,36033255,66132118,66132118,1,3,1,3438870168,73389,73389,14,14,14,66132122,4,3,97450,417687,653049,9385,1127886067,407511,26409838,1722
398832.90,8,253952,62,59581,3923571640,0,10019978,0,462,3,3,4610,415,4,567,458056,0,15,23384,18,12,105402703,1136,1,0,4,469,74151509,6,296541420,17,17,14,84,567,0,0,0,30746025,419739,1269559252,0,567,466,0,3,1,14,14,993,3,1269648689,1238302210,41055373,75261436,75261436,1,3,1,3913594704,73389,73389,14,14,14,75261440,4,3,101101,469534,717125,10533,1269648689,458056,30030151,1722
400839.35,8,253952,62,65168,4291893152,1,12623271,0,496,3,3,4610,471,4,567,490876,0,15,25609,18,12,106971283,1136,1,0,4,469,81131661,6,324462068,17,17,14,84,567,0,0,0,33196396,425735,1391621360,0,567,466,0,3,1,14,14,993,3,1390565569,1354352327,46151036,82324211,82340595,1,3,1,4280859004,73389,73389,14,14,14,82324215,4,3,110385,503290,772154,11566,1390565569,490876,32425597,1722
402852.07,8,253952,62,72976,4806831928,1,13739806,0,562,4,4,4610,508,4,576,556195,0,15,28670,19,12,110379376,1154,1,0,4,469,90885829,6,363543316,18,18,14,96,576,0,0,0,37603303,545049,1553349703,0,576,477,0,3,1,14,14,993,3,1552134127,1516557686,51754323,92231325,92231325,1,3,1,4796028932,73389,73389,14,14,14,92231329,4,3,112685,570212,846378,12883,1552134127,556195,36758445,1756
404860.94,9,253952,62,80939,5332676876,1,15081727,0,641,4,4,4610,581,5,585,624744,0,15,31840,19,12,114291924,1172,1,0,4,469,100855298,6,403421192,18,18,14,96,585,0,0,0,42171410,688154,1724028048,0,585,486,0,3,1,14,14,993,3,1722907988,1682378580,57815148,102328570,102328570,1,3,1,5321085672,73389,73389,14,14,14,102328574,4,3,118660,640508,929482,14339,1722907988,624744,41243614,1806
406867.38,10,253952,62,88886,5855687480,1,16434474,0,723,4,4,4610,615,5,585,689646,0,15,34951,19,12,114907290,1172,1,0,4,469,110791199,6,443164796,18,18,14,96,585,0,0,0,46750396,802749,1884034075,0,585,486,0,3,1,14,14,993,3,1882857159,1846858391,63845671,112389617,112389617,1,3,1,5844260116,73389,73389,14,14,14,112389621,4,3,120528,707041,1017286,15634,1882857159,689646,45734954,1806
408875.98,10,253952,62,96965,6386769668,1,17664575,0,813,4,4,4610,685,5,585,760567,0,15,38128,19,12,115558854,1172,1,0,4,469,120812675,6,483185972,18,18,14,96,585,0,0,0,51440354,921154,2057519267,0,585,486,0,3,1,14,14,993,3,2055545501,2014523687,69861403,122586054,122586054,1,3,1,6374474840,73389,73389,14,14,14,122586058,4,3,124765,779631,1108757,17106,2055545501,760567,50333609,1806
410882.88,10,253952,62,105113,6923351186,1,19112744,0,890,4,4,4610,724,5,585,828438,0,15,41337,19,12,116584464,1172,1,0,4,469,131036940,6,524147760,18,18,14,96,585,0,0,0,55953140,990899,2229428653,0,585,486,0,3,1,14,14,993,3,2227523263,2183086175,75882828,132923470,132923470,1,3,1,6912020472,73389,73389,14,14,14,132923474,4,3,125062,849052,1189093,18501,2227523263,828438,54766235,1806
412894.23,10,253952,62,113240,7460873120,1,20557309,0,960,4,4,4610,765,5,585,899537,0,15,44522,19,12,118044450,1172,1,0,4,469,141179591,6,564653636,18,18,14,96,585,0,0,0,60477134,1083527,2400332445,0,585,486,0,3,1,14,14,993,3,2398521765,2353069044,81929673,143210846,143210846,1,3,1,7446964024,73389,73389,14,14,14,143210850,4,3,125940,921741,1273791,19906,2398521765,899537,59205703,1806
414901.10,11,253952,62,121507,8006110108,1,21877878,0,1040,4,4,4610,836,5,603,973075,0,15,47780,19,12,121669167,1208,1,0,4,469,151431309,6,605595920,18,18,14,96,603,0,0,0,65105326,1192914,2579301557,0,603,503,0,3,1,14,14,993,3,2577081347,2525233556,87974233,153642248,153642248,1,3,1,7989396928,73389,73389,14,14,14,153642252,4,3,127909,997050,1357557,21429,2577081347,973075,63750303,1871
416913.44,11,253952,62,129847,8554876360,1,23268562,0,1120,4,4,4610,874,5,603,1044127,0,15,51042,19,12,121669167,1208,1,0,4,469,161803135,6,647212540,18,18,14,96,603,0,0,0,69653403,1270156,2758338550,0,603,503,0,3,1,14,14,993,3,2756089586,2698502505,93953492,164178431,164178431,1,3,1,8537278444,73389,73389,14,14,14,164178435,4,3,150916,1069951,1479614,22888,2756089586,1044127,68176499,1871
418921.15,11,253952,62,138236,9108434522,1,24547628,0,1204,4,4,4610,947,5,621,1113962,0,15,54360,19,12,124667186,1244,1,0,4,469,172276792,6,689042688,18,18,14,96,621,0,0,0,74277750,1418296,2938788644,0,621,517,0,3,1,14,14,993,3,2936088751,2873167035,100000115,174785739,174785739,1,3,1,9088858460,73389,73389,14,14,14,174785743,4,3,155142,1141612,1552944,24422,2936088751,1113962,72727691,1934
420931.12,11,253952,62,146818,9673196398,1,25851879,0,1283,4,4,4610,989,5,630,1183744,0,15,57709,19,12,126479542,1262,1,0,4,469,182926922,6,731643040,18,18,14,96,630,0,0,0,78980650,1479602,3119759148,0,630,524,0,3,1,14,14,993,3,3116884940,3051499077,106056717,185604324,185620708,1,3,1,9651424880,73389,73389,14,14,14,185604328,4,3,157451,1213118,1630066,25904,3116884940,1183744,77353653,1965
422940.04,19,253952,62,155367,10235683806,1,27100599,0,1370,4,4,4610,1061,7,657,1253694,0,15,61090,19,12,130917381,1316,1,0,4,469,193598774,6,774330580,18,18,14,96,657,0,0,0,83718024,1546321,3304500965,0,657,550,0,3,1,14,14,993,3,3301319420,3228811110,112068211,196427227,196427227,1,3,1,10214215836,73389,73389,14,14,14,196427231,4,3,158129,1284872,1716012,27465,3301319420,1253694,82005269,2055
424946.28,20,253952,62,163926,10798259472,1,28292944,0,1464,4,4,4610,1102,7,666,1321378,0,15,64419,19,12,132415179,1334,1,0,4,469,204217971,6,816807340,18,18,14,96,666,0,0,0,88499074,1588151,3484388160,0,666,558,0,3,1,14,14,993,3,3481029392,3406570594,118087895,207197104,207197104,1,3,1,10774249440,73389,73389,14,14,14,207197108,4,3,162682,1354345,1806803,28931,3481029392,1321378,86695709,2086
426956.37,20,253952,62,172546,11366470136,1,29584773,0,1547,4,4,4610,1169,7,675,1391619,0,15,67813,19,12,134182970,1352,1,0,4,469,214934295,6,859672756,18,18,14,96,675,0,0,0,93189365,1641833,3676342778,0,675,566,0,3,1,14,14,993,3,3673722304,3586449342,124086792,218066556,218066556,1,3,1,11339460944,73389,73389,14,14,14,218066560,4,3,164042,1426358,1891567,30556,3673722304,1391619,91301419,2116
428962.66,20,253952,62,181341,11947142686,1,30901257,0,1625,4,4,4610,1215,7,675,1458603,0,15,71265,19,12,134810402,1352,1,0,4,469,225894130,6,903576520,18,18,14,96,675,0,0,0,97850678,1663989,3866801447,0,675,566,0,3,1,14,14,993,3,3863605580,3769819413,130103619,229179609,229210218,1,3,1,11917339700,73389,73389,14,14,14,229179613,4,3,169215,1495064,1985188,32124,3863605580,1458603,95869294,2116
430968.06,20,253952,62,189925,12512535546,1,32499412,0,1665,4,4,4610,1279,7,684,1516161,0,15,74628,19,12,136252550,1370,1,0,4,469,236545234,6,946180936,18,18,14,96,684,0,0,0,101838988,1664249,4054175078,0,684,570,0,3,1,14,14,993,3,4050549485,3948763547,135688617,240002068,240018452,1,3,1,12480107568,73389,73389,14,14,14,240002072,4,3,171697,1554109,2048437,33691,4050549485,1516161,99794524,2141
432974.42,20,253952,62,195794,12898783174,2,35107052,0,1682,4,4,4610,1306,7,693,1547230,0,15,76921,19,12,137995353,1388,1,0,4,469,243844105,6,975311700,18,18,14,96,693,0,0,0,104246521,1664380,4177101888,0,693,576,0,3,1,14,14,993,3,4173384495,4070621700,140703640,247421417,247421417,1,3,1,12865913716,73389,73389,14,14,14,247421421,4,3,175255,1586023,2101427,34695,4173384495,1547230,102149160,2164
434981.67,21,253952,62,204459,13469781138,2,36212934,0,1770,5,5,4610,1371,9,702,1618152,0,15,80336,19,12,139808403,1406,1,0,4,469,254629878,6,1018519512,18,19,14,96,702,0,0,0,108996790,1748744,4367939723,0,702,589,0,3,1,14,14,993,3,4364174193,4251077509,146605073,258360723,258360723,1,3,1,13433905660,73389,73389,14,14,14,258344343,4,3,178938,1658767,2198658,36296,4364174193,1618152,106802380,2196
436990.00,21,253952,62,213249,14049189822,2,37497351,0,1862,5,5,4610,1423,9,720,1685772,0,15,83784,19,12,143059154,1442,1,0,4,469,265572801,6,1062226528,18,19,14,96,720,0,0,0,113700907,1809411,4554376629,0,720,611,0,3,1,14,14,993,3,4550166787,4433741177,152655243,269492319,269492319,1,3,1,14013600620,73389,73389,14,14,14,269492323,4,3,182848,1728177,2287796,37833,4550166787,1685772,111417537,2267
438996.68,21,253952,62,222296,14645008536,2,38720045,0,1953,5,5,4610,1471,9,738,1752023,0,15,87343,19,12,146056302,1478,1,0,4,469,276865716,6,1107462864,18,19,14,96,738,0,0,0,118443761,1854153,4738792888,0,738,629,0,3,1,14,14,993,3,4735933789,4621374353,158653307,280945562,280945562,1,3,1,14609169256,73389,73389,14,14,14,280945566,4,3,187790,1796209,2379902,39361,4735933789,1752023,116068472,2335
441001.67,22,253952,62,229958,15149377578,3,40843160,0,2005,5,5,4610,1534,11,738,1806033,0,15,90342,19,12,146997450,1478,1,0,4,469,286350176,6,1145400704,18,19,14,96,738,0,0,0,122048511,1874334,4910517916,0,738,629,0,3,1,14,14,993,3,4906896065,4781371097,164394317,290547857,290564241,1,3,1,15108488596,73389,73389,14,14,14,290547861,4,3,190049,1851759,2442854,40802,4906896065,1806033,119610408,2335
443014.74,22,253952,62,237266,15631145858,3,42397315,0,2044,6,6,4610,1569,12,738,1854015,0,15,93215,19,12,146997450,1478,1,0,4,469,295489951,6,1181959804,18,20,14,96,738,0,0,0,125494372,1895747,5066794858,0,738,629,0,3,1,14,14,993,3,5062121946,4933258720,169412253,299818154,299818154,1,3,1,15590544040,73389,73389,14,14,14,299818158,4,3,194558,1901128,2498776,42068,5062121946,1854015,123000482,2335
445019.71,23,253952,62,243303,16028247320,4,44764666,0,2068,6,6,4610,1619,12,747,1891385,2,15,95582,19,12,148439054,1496,1,0,4,469,302973406,6,1211893624,18,20,14,96,747,0,0,0,128067607,1904764,5201511748,0,745,637,2,3,1,14,14,993,3,5197004278,5058944862,174360806,307407376,307423760,1,3,1,15985183584,73389,73389,14,14,14,307407380,4,3,198204,1939580,2544664,43212,5197004278,1891385,125527926,2357
447027.62,23,253952,62,251170,16546956192,4,46197270,0,2126,7,7,4610,1656,12,747,1950106,2,15,98655,19,12,148439054,1496,1,0,4,469,312772868,6,1250962232,18,21,14,96,747,0,0,0,132239816,2000137,5370317813,0,745,637,2,3,1,14,14,993,3,5365260473,5222469246,180050123,317363642,317363642,1,3,1,16502909416,73389,73389,14,14,14,317363646,4,3,204210,1999856,2622622,44585,5365260473,1950106,129622339,2357
449038.23,23,253952,62,259455,17093119442,4,47504702,0,2208,7,7,4610,1727,13,747,2020918,2,15,101933,19,12,148439054,1496,1,0,4,469,323089263,6,1292357052,18,21,14,96,747,0,0,0,136854150,2103697,5552324758,0,745,637,2,3,1,14,14,993,3,5547360184,5395309957,186046051,327811428,327811428,1,3,1,17046194288,73389,73389,14,14,14,327811432,4,3,209977,2072421,2701362,46130,5547360184,2020918,134158118,2357
451042.92,23,253952,62,266212,17538419724,5,49565120,0,2254,7,7,4610,1755,13,747,2066347,2,15,104560,19,12,148439054,1496,1,0,4,469,331504711,6,1326018844,18,21,14,96,747,0,0,0,140231602,2139691,5692875149,0,745,637,2,3,1,14,14,993,3,5688415831,5535599590,191524319,336346604,336362988,1,3,1,17490023440,73389,73389,14,14,14,336346608,4,3,213204,2119083,2756304,47277,5688415831,2066347,137480753,2357
453047.79,23,253952,62,271877,17912239156,5,51209269,0,2283,7,7,4610,1805,13,747,2101515,2,15,106799,19,12,148439054,1496,1,0,4,469,338563338,6,1354188864,18,21,14,96,747,0,0,0,142730037,2139736,5820115757,0,745,637,2,3,1,14,14,993,3,5815453553,5654051120,195665364,343505524,343505524,1,3,1,17862287280,73389,73389,14,14,14,343505528,4,3,215765,2155181,2788288,48355,5815453553,2101515,139947301,2357
455059.29,23,253952,62,278180,18326832880,5,52811377,0,2311,8,8,4610,1830,14,747,2143233,2,15,109255,19,12,148439054,1496,1,0,4,469,346387065,6,1385548260,18,22,14,96,747,0,0,0,145775245,2162490,5955920923,0,745,637,2,3,1,14,14,993,3,5951278832,5785018747,200333668,351440969,351440969,1,3,1,18274930420,73389,73389,14,14,14,351440973,4,3,220281,2197994,2848892,49455,5951278832,2143233,142932017,2357
457067.68,23,253952,62,286001,18841447772,5,54166487,0,2388,8,8,4610,1896,14,774,2211351,2,15,112319,19,12,152934147,1550,1,0,4,469,356047656,6,1424125848,18,22,14,96,774,0,0,0,150357726,2310635,6130164545,0,772,665,2,3,1,14,14,993,3,6124445895,5947972594,206378942,361272640,361272640,1,3,1,18786177312,73389,73389,14,14,14,361272644,4,3,224086,2267812,2931421,50921,6124445895,2211351,147432131,2455
459075.38,24,253952,62,293779,19353724198,5,55445449,0,2472,8,8,4610,1937,14,792,2275974,2,15,115379,19,12,156571247,1586,1,0,4,469,365777252,6,1463109008,18,22,14,96,792,0,0,0,154941260,2465427,6294482023,0,790,689,2,3,1,14,14,993,3,6289009278,6109350713,212393893,371108185,371108185,1,3,1,19297625652,73389,73389,14,14,14,371108189,4,3,226531,2334051,3013442,52274,6289009278,2275974,151933802,2523
