timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
253649.63,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,430,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
255654.82,1,0,0,19806,1303580508,0,0,0,0,1,1,4476,117,603,128118,31,1850,13,21,124260200,1208,1,0,12,15,7,11,3541,603,0,0,0,1983157,6395,427946236,0,603,397,2,1,14,14,430,0,1,429949124,384481917,1990294,29314789,29331173,1,2,1,0,1289850716,73389,73389,14,14,14,29314789,10,3,376593,130259,845133,3298,429949124,128118,1138105,1738
257667.64,1,253952,62,37057,2440524958,13,14302334,0,49,18,18,4476,120,675,255952,31,6239,30,51,140299886,1352,1,0,29,32,35,11,3640,675,0,0,0,6161593,890005,765942051,0,675,425,2,1,14,14,430,0,1,767949616,717281834,26217294,55108733,55108733,1,2,1,0,2424784252,73389,73389,14,14,14,55108733,10,3,488045,260563,1226068,5878,767949616,255952,4935728,1936
259677.12,1,253952,62,52499,3458106362,15,17905904,0,98,20,20,4476,122,675,380878,31,10568,30,51,140830790,1352,1,0,29,34,35,11,3640,675,0,0,0,10187023,2657599,1059026320,0,675,425,2,1,14,14,430,0,1,1065876272,1014727905,35686000,78222178,78238562,1,2,1,0,3441775832,73389,73389,14,14,14,78222178,10,3,494672,388804,1391318,8151,1065876272,380878,8796053,1936
261691.12,1,253952,62,67762,4463956822,16,21713450,0,151,20,20,4476,125,675,499365,31,14889,30,51,141361694,1352,1,0,29,34,35,11,3640,675,0,0,0,14418184,3344560,1356300970,0,675,425,2,1,14,14,430,0,1,1359215408,1308770452,45167911,101089863,101106247,1,2,1,0,4447953972,73389,73389,14,14,14,101089863,10,3,499138,509874,1562663,10389,1359215408,499365,12855999,1936
263702.23,1,253952,62,83137,5476881862,16,24048154,0,201,21,21,4476,127,675,627629,31,19193,30,51,141361694,1352,1,0,29,35,35,11,3640,675,0,0,0,18661924,4182347,1654490183,0,675,425,2,1,14,14,430,0,1,1654913840,1604853047,53097691,124123547,124123547,1,2,1,0,5460715172,73389,73389,14,14,14,124107163,10,3,509202,640648,1749126,12645,1654913840,627629,16913406,1936
265707.23,1,253952,62,97142,6399757130,17,27365192,0,254,21,21,4476,130,675,734363,31,23145,30,51,141892598,1352,1,0,29,35,35,11,3640,675,0,0,0,22225182,4771838,1925011401,0,675,425,2,1,14,14,430,0,1,1924922160,1874661908,60816234,145095006,145095006,1,2,1,0,6384180264,73389,73389,14,14,14,145095006,10,3,514508,749522,1888665,14705,1924922160,734363,20337246,1936
267716.44,1,253952,62,109482,7212984054,19,30846103,0,271,23,23,4476,132,675,816574,31,26658,30,51,142158050,1352,1,0,29,37,35,11,3640,675,0,0,0,25056368,4964696,2160654553,0,675,425,2,1,14,14,430,0,1,2162555696,2112395744,67456096,163564031,163580415,1,2,1,0,7196817364,73389,73389,14,14,14,163564031,10,3,518336,833447,1979743,16518,2162555696,816574,23077453,1936
269726.46,1,253952,62,124677,8213847162,20,33812593,0,316,24,24,4476,134,675,935384,31,30906,30,51,142423502,1352,1,0,29,38,35,11,3640,675,0,0,0,29131633,5877079,2453082995,0,675,425,2,1,14,14,430,0,1,2454846256,2404939849,74758944,186313154,186329538,1,2,1,0,8197778776,73389,73389,14,14,14,186313154,10,3,525912,954736,2138852,18748,2454846256,935384,26993754,1936
271732.52,1,253952,62,136089,8966256678,22,37575352,0,337,24,24,4476,136,675,1003671,31,34130,30,51,142942340,1352,1,0,29,38,35,11,3640,675,0,0,0,31767096,6048561,2674166385,0,675,425,2,1,14,14,430,0,1,2674522928,2624928283,82631018,203422307,203422307,1,2,1,0,8950581508,73389,73389,14,14,14,203422307,10,3,528930,1024627,2197898,20424,2674522928,1003671,29570269,1936
273742.40,1,253952,62,147605,9724951034,22,39514614,0,386,25,25,4476,138,675,1068552,31,37382,30,51,143207792,1352,1,0,29,39,35,11,3640,675,0,0,0,34299875,6089813,2895769270,0,675,425,2,1,14,14,430,0,1,2896034608,2846671581,87161353,220658658,220675042,1,2,1,0,9708980952,73389,73389,14,14,14,220658658,10,3,529714,1091055,2262898,22114,2896034608,1068552,32038140,1936
275753.81,1,253952,62,161070,10611847038,22,41671682,0,424,27,27,4476,140,675,1177223,31,41159,30,51,143738696,1352,1,0,29,41,35,11,3640,675,0,0,0,37949184,6934057,3153422475,0,675,425,2,1,14,14,430,0,1,3154611152,3105869793,93850333,240827301,240827301,1,2,1,0,10596401244,73389,73389,14,14,14,240827301,10,3,537884,1204654,2385943,24090,3154611152,1177223,35564534,1936
277768.08,1,253952,62,174491,11496183830,23,46395008,0,455,27,27,4476,142,675,1294700,31,44960,30,51,144004148,1352,1,0,29,41,35,11,3640,675,0,0,0,41584514,7986321,3412018718,0,675,425,2,1,14,14,430,0,1,3412691920,3364299514,103128368,260916183,260932567,1,2,1,0,11480312052,73389,73389,14,14,14,260916183,10,3,543495,1324438,2531403,26059,3412691920,1294700,39054520,1936
279779.29,1,253952,62,188339,12408504494,24,51311102,0,492,29,29,4476,144,675,1417745,31,48816,30,51,144269600,1352,1,0,29,43,35,11,3640,675,0,0,0,45376389,9054633,3679141535,0,675,425,2,1,14,14,430,0,1,3679554512,3631085355,113360211,281652233,281668617,1,2,1,0,12392698252,73389,73389,14,14,14,281652233,10,3,552605,1449746,2687817,28095,3679554512,1417745,42690112,1936
281785.76,1,253952,62,201050,13246045274,25,54768883,0,533,29,29,4476,147,675,1508129,31,52448,30,51,144535052,1352,1,0,29,43,35,11,3640,675,0,0,0,48678939,9633492,3923307490,0,675,425,2,1,14,14,430,0,1,3924397008,3875858341,121758222,300694698,300694698,1,2,1,0,13230566712,73389,73389,14,14,14,300694698,10,3,555379,1542044,2826014,29963,3924397008,1508129,45854579,1936
283798.47,1,253952,62,213230,14048786438,27,58148037,0,547,31,31,4476,148,675,1585416,31,55844,30,51,145065956,1352,1,0,29,45,35,11,3640,675,0,0,0,51372233,9798567,4157638067,0,675,425,2,1,14,14,430,0,1,4158753744,4110515988,128103884,318942539,318942539,1,2,1,0,14033471716,73389,73389,14,14,14,318942539,10,3,557991,1621001,2927899,31751,4158753744,1585416,48446096,1936
285805.66,1,253952,62,227807,15009413750,28,60464750,0,592,32,32,4476,151,675,1709290,31,59969,30,51,145596860,1352,1,0,29,46,35,11,3640,675,0,0,0,55436507,10526269,4439848238,0,675,425,2,1,14,14,430,0,1,4439378896,4391300927,135569306,340771999,340788383,1,2,1,0,14993967956,73389,73389,14,14,14,340771999,10,3,561020,1747270,3049944,33892,4439378896,1709290,52388472,1936
287813.07,1,253952,62,243133,16019127526,28,63082966,0,633,32,32,4476,153,675,1833067,31,64258,30,51,145596860,1352,1,0,29,46,35,11,3640,675,0,0,0,59517323,11242576,4734756606,0,675,425,2,1,14,14,430,0,1,4734290896,4686487074,143286942,363701346,363723763,1,2,1,0,16002859224,73389,73389,14,14,14,363701346,10,3,564603,1873523,3204602,36142,4734290896,1833067,56314753,1936
289828.20,1,253952,62,258065,17003020118,28,66916303,0,689,33,33,4476,156,675,1959426,31,68504,30,51,146127764,1352,1,0,29,47,35,11,3640,675,0,0,0,63476961,12100424,5020358814,0,675,425,2,1,14,14,430,0,1,5021600720,4974197110,151590499,386077511,386077511,1,2,1,0,16986689588,73389,73389,14,14,14,386061127,10,3,573444,2002400,3372175,38334,5021600720,1959426,60106948,1936
291836.41,1,253952,62,272683,17966334406,29,70376008,0,734,36,36,4476,158,675,2078611,31,72592,30,51,146658668,1352,1,0,29,50,35,11,3640,675,0,0,0,67464672,13112835,5302819268,0,675,425,2,1,14,14,430,0,1,5303274448,5255749430,161044458,407972507,407988891,1,2,1,0,17950790308,73389,73389,14,14,14,407972507,10,3,583858,2124127,3535053,40483,5303274448,2078611,63931910,1936
293846.24,1,253952,62,287118,18916964170,31,78563380,0,785,37,37,4476,161,675,2192493,31,76725,30,51,146924120,1352,1,0,29,51,35,11,3640,675,0,0,0,71622032,14239256,5579509167,0,675,425,2,1,14,14,430,0,1,5580233547,5533601867,175549291,429582942,429582942,1,2,1,0,18900928552,73389,73389,14,14,14,429566558,10,3,594571,2240425,3685163,42600,5580233547,2192493,67939299,1936
295854.51,1,253952,62,301998,19897448890,32,82750727,0,839,39,39,4476,163,675,2316707,31,80869,30,51,147189572,1352,1,0,29,53,35,11,3640,675,0,0,0,75852345,15271825,5865242838,0,675,425,2,1,14,14,430,0,1,5866756939,5820189013,186304274,451871154,451871154,1,2,1,0,19881609880,73389,73389,14,14,14,451854770,10,3,604819,2367065,3870925,44786,5866756939,2316707,71983975,1936
297868.43,1,253952,62,316672,20863708990,34,89308646,0,891,39,39,4476,167,675,2433360,31,85082,30,51,147720476,1352,1,0,29,53,35,11,3640,675,0,0,0,80133892,16391969,6146151721,0,675,425,2,1,14,14,430,0,1,6148461929,6102635685,199031140,473817461,473833845,1,2,1,0,20847968284,73389,73389,14,14,14,473817461,10,3,614496,2488067,4026930,46942,6148461929,2433360,76109645,1936
299878.25,1,253952,62,331959,21871397766,35,92878145,0,948,39,39,4476,169,675,2552341,31,89367,30,51,148251380,1352,1,0,29,53,35,11,3640,675,0,0,0,84377766,17240937,6442370334,0,675,425,2,1,14,14,430,0,1,6443242857,6397134020,207030111,496723947,496740331,1,2,1,0,21855853668,73389,73389,14,14,14,496723947,10,3,617012,2610437,4166544,49191,6443242857,2552341,80214028,1936
301883.62,1,253952,62,343419,22626008188,37,96164192,0,976,39,39,4476,172,675,2611774,31,92695,30,51,148782284,1352,1,0,29,53,35,11,3640,675,0,0,0,87041935,17407132,6665096424,0,675,425,2,1,14,14,430,0,1,6662991882,6617631891,215019101,513894762,513894762,1,2,1,0,22611369528,73389,73389,14,14,14,513894762,10,3,617295,2671270,4249960,50874,6662991882,2611774,82794873,1936
303891.30,1,253952,62,358357,23610293996,37,98026630,0,1013,41,41,4476,174,675,2717449,31,96877,30,51,149047736,1352,1,0,29,55,35,11,3640,675,0,0,0,90820825,17743277,6952012019,0,675,425,2,1,14,14,430,0,1,6950825994,6905465025,221062114,536256702,536256702,1,2,1,0,23595294888,73389,73389,14,14,14,536256702,10,3,631783,2779071,4384303,53070,6950825994,2717449,86439553,1936
305901.27,1,253952,62,375044,24709572640,37,100161014,0,1076,41,41,4476,178,675,2843881,31,101647,30,51,149844092,1352,1,0,29,55,35,11,3640,675,0,0,0,95362811,18343173,7271947936,0,675,425,2,1,14,14,430,0,1,7270898499,7226709276,228912156,561233605,561249989,1,2,1,0,24694278620,73389,73389,14,14,14,561233605,10,3,637507,2909929,4541260,55518,7270898499,2843881,90824709,1936
307906.21,1,253952,62,389055,25631956388,39,103845691,0,1116,41,41,4476,183,675,2921106,31,105737,30,51,150640448,1352,1,0,29,55,35,11,3640,675,0,0,0,98757212,18498353,7541702836,0,675,425,2,1,14,14,430,0,1,7538829191,7496258196,236319191,582213256,582213256,1,2,1,0,25617383264,73389,73389,14,14,14,582213256,10,3,641672,2989004,4644734,57576,7538829191,2921106,94115755,1936
309771.34,1,253952,62,400982,26415782060,41,105266849,2,1141,46,46,4476,194,675,2991794,31,109422,37,51,158511825,1359,1,1035,36,67,42,29,3674,675,561,1035,868,101811926,18734875,7767254461,8,675,425,2,1,14,14,430,56131206,1,7763869224,7725268584,354217293,600037902,600037902,1,2,1,56131206,26401667688,73389,73389,14,14,14,600037902,10,3,650361,3061220,4766159,59330,7763869224,2991794,97049173,1936
