timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
510184.27,1,0,0,17657,1161947288,0,0,0,0,1,1,3045,117,0,540,123118,12,1649,13,95,111065570,1082,1,0,12,15,11,174,540,0,0,0,1909957,66725,379974190,0,540,451,2,1,14,14,3612,1,383156420,342714097,1977937,26118194,26134578,1,2,1,1149200536,73389,73389,14,14,14,26118194,10,3,332850,125124,787693,2941,383156420,123118,1122352,1846
512198.08,1,253952,62,31425,2069568042,24,24947064,0,48,27,27,3045,119,0,675,234065,12,4699,39,144,140299886,1352,1,0,38,41,11,305,675,0,0,0,5009166,1269297,658188391,0,675,579,2,1,14,14,3612,1,659684144,608832183,35770660,46661510,46677894,1,2,1,2053106440,73389,73389,14,14,14,46661510,10,3,487468,238021,1207812,5052,659684144,234065,3801557,2272
514213.22,1,253952,62,43143,2841500670,24,26549256,0,87,28,28,3045,121,0,675,338580,12,7955,39,144,140565338,1352,1,0,38,42,11,305,675,0,0,0,8319108,2860902,884787422,0,675,579,2,1,14,14,3612,1,885259056,834463233,42717321,64225541,64225541,1,2,1,2825923804,73389,73389,14,14,14,64225541,10,3,493494,344462,1316031,6773,885259056,338580,7003389,2272
516231.27,1,253952,62,54792,3609176766,24,28965227,0,116,31,31,3045,123,0,675,446674,12,11265,39,144,140830790,1352,1,0,38,45,11,305,675,0,0,0,11511098,4598067,1108111545,0,675,579,2,1,14,14,3612,1,1109523248,1058819465,50912198,81664533,81680917,1,2,1,3593239452,73389,73389,14,14,14,81664533,10,3,509264,454514,1464014,8484,1109523248,446674,10047504,2272
518244.73,1,253952,62,66988,4412966506,27,35030565,0,159,34,34,3045,125,0,675,551988,12,14679,39,144,141361694,1352,1,0,38,48,11,305,675,0,0,0,14864873,6438048,1342577340,0,675,579,2,1,14,14,3612,1,1344273200,1293869888,62392856,99936950,99953334,1,2,1,4397225800,73389,73389,14,14,14,99936950,10,3,518181,561844,1587769,10275,1344273200,551988,13277642,2272
520254.09,1,253952,62,79221,5218650174,30,40814701,0,194,34,34,3045,127,0,675,658150,12,18169,39,144,141361694,1352,1,0,38,48,11,305,675,0,0,0,18213938,8125127,1577576244,0,675,579,2,1,14,14,3612,1,1579809584,1529372821,74652756,118254645,118254645,1,2,1,5202483484,73389,73389,14,14,14,118238261,10,3,529861,669980,1741181,12072,1579809584,658150,16484318,2272
522259.79,1,253952,62,91795,6047477974,32,44511014,0,235,34,34,3045,129,0,675,747792,12,21663,39,144,141892598,1352,1,0,38,48,11,305,675,0,0,0,21433089,9021395,1821472468,0,675,579,2,1,14,14,3612,1,1822161712,1771678495,83089607,137073767,137090151,1,2,1,6031245748,73389,73389,14,14,14,137073767,10,3,532588,761413,1844789,13921,1822161712,747792,19589067,2272
524269.80,1,253952,62,103487,6817972118,32,46126423,0,255,37,37,3045,131,0,675,818640,12,24966,39,144,142158050,1352,1,0,38,51,11,305,675,0,0,0,24102151,9536946,2046238283,0,675,579,2,1,14,14,3612,1,2047212336,1996960958,87859253,154594679,154594679,1,2,1,6802165876,73389,73389,14,14,14,154594679,10,3,544095,833965,1946618,15638,2047212336,818640,22156462,2272
526282.53,1,253952,62,117567,7745497134,33,49568511,0,293,37,37,3045,133,0,675,929038,12,28915,39,144,142423502,1352,1,0,38,51,11,305,675,0,0,0,27847190,10820824,2316379713,0,675,579,2,1,14,14,3612,1,2317876016,2268059604,96121200,175666601,175682985,1,2,1,7729330444,73389,73389,14,14,14,175666601,10,3,552426,946650,2097469,17703,2317876016,929038,25750788,2272
528296.47,1,253952,62,132217,8710908574,34,53058053,0,334,39,39,3045,135,0,675,1041256,12,33018,39,144,142688954,1352,1,0,38,53,11,305,675,0,0,0,31911950,12582883,2597794787,0,675,579,2,1,14,14,3612,1,2599942960,2550242155,106937145,197610749,197627133,1,2,1,8694872956,73389,73389,14,14,14,197610749,10,3,571106,1064026,2250947,19855,2599942960,1041256,29662205,2272
