timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
56649.89,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
58654.96,0,253952,62,10087,663330040,0,1624024,46,3,3,5278,116,0,558,62107,0,18,3940,18,82,95481339,1118,1,0,4,432,12406461,7,49625844,17,17,4,14,138,558,0,0,0,4236971,259,243375773,0,558,287,0,3,1,14,14,908,3,244793348,211492053,5831200,12584183,12584183,1,3,1,654377548,73389,73389,14,14,14,12584187,4,3,83072,63625,208958,2071,244793348,62107,4028182,1294
60659.93,0,253952,62,20601,1356417654,0,3323603,101,3,3,5278,160,0,558,117759,0,18,8055,18,82,97954869,1118,1,0,4,432,25544289,7,102112448,17,17,4,14,138,558,0,0,0,8580499,407,463650493,0,558,287,0,3,1,14,14,908,3,464372428,429779042,11865742,25909076,25909076,1,3,1,1347271984,73389,73389,14,14,14,25909080,4,3,87209,120795,269673,3839,464372428,117759,8311159,1294
62664.85,0,253952,62,31049,2043997424,0,4915474,151,3,3,5278,248,0,558,176195,0,18,12182,18,82,98932215,1118,1,0,4,432,38559845,7,154239380,17,17,4,14,138,558,0,0,0,12985148,583,683652648,0,558,287,0,3,1,14,14,908,3,683535528,646670701,17898449,39111533,39111533,1,3,1,2033799748,73389,73389,14,14,14,39111537,4,3,90098,180839,339411,5698,683535528,176195,12646247,1294
64670.25,0,253952,62,41343,2722341336,0,6574890,201,3,3,5278,308,0,567,231931,0,18,16216,18,82,102265543,1136,1,0,4,432,51399788,7,205469980,17,17,4,14,138,567,0,0,0,17384668,757,892425618,0,567,290,0,3,1,14,14,908,3,892185762,860346192,23957504,52151865,52151865,1,3,1,2711897012,73389,73389,14,14,14,52151869,4,3,94741,238099,406374,7429,892185762,231931,16978999,1318
66674.16,0,253952,62,48999,3226896330,1,8748736,240,3,3,5278,362,0,567,272050,0,18,19243,18,82,104135773,1136,1,0,4,432,60959089,7,243836356,17,17,4,14,138,567,0,0,0,20459641,858,1057356794,0,567,290,0,3,1,14,14,908,3,1057274979,1019309755,29204148,61848146,61848146,1,3,1,3216103624,73389,73389,14,14,14,61848150,4,3,98436,279316,442289,8793,1057274979,272050,20018183,1318
68678.85,0,253952,62,58133,3828651380,1,10398834,283,4,4,5278,447,0,567,321510,0,18,22868,19,82,106030135,1136,1,0,4,432,72373509,7,289494036,18,18,4,14,144,567,0,0,0,24304670,933,1243246205,0,567,290,0,3,1,14,14,908,3,1242527461,1208505288,34699506,73426428,73426428,1,3,1,3818174288,73389,73389,14,14,14,73426432,4,3,104561,330109,504278,10381,1242527461,321510,23801392,1318
70684.27,0,253952,62,68385,4504278978,1,11908159,352,4,4,5278,485,0,567,382244,0,18,26868,19,82,108214081,1136,1,0,4,432,85141794,7,340502508,18,18,4,14,144,567,0,0,0,28824774,1180,1456666284,0,567,290,0,3,1,14,14,908,3,1455894607,1421367665,40726546,86409416,86409416,1,3,1,4493289664,73389,73389,14,14,14,86409420,4,3,106698,392375,570936,12091,1455894607,382244,28255047,1318
72688.35,0,253952,62,77428,5099466952,1,13168187,414,4,4,5278,568,0,567,435579,0,18,30451,19,82,109179361,1136,1,0,4,432,96432277,7,385729108,18,18,4,14,144,567,0,0,0,32727075,1298,1650077306,0,567,290,0,3,1,14,14,908,3,1649655617,1608715161,45760241,97828176,97860944,1,3,1,5087065184,73389,73389,14,14,14,97828180,4,3,113655,447092,640655,13746,1649655617,435579,32087783,1318
74693.13,0,253952,62,84792,5584873368,2,15718603,441,5,5,5278,586,0,567,473695,0,18,33318,19,82,110723809,1136,1,0,4,432,105637331,7,422484604,18,19,4,14,144,567,0,0,0,35754037,1372,1797326037,0,567,290,0,3,1,14,14,908,3,1795993542,1762001556,51465590,107164009,107164009,1,3,1,5572528500,73389,73389,14,14,14,107164013,4,3,119442,486203,691632,14903,1795993542,473695,35063902,1318
