timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
169180.52,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2,0,1,2097278,2,1,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,492,0,0,0,0,3,1,14,14,0,0,3,0,0,23,0,0,1,3,1,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
171191.58,0,253952,62,7898,519208106,0,1397133,64,3,3,7603,109,0,558,77072,0,14,3079,12,95758857,1118,1,0,4,994,9665154,7,38660616,11,17,8,609,558,0,0,4393664,121513,194952418,0,558,493,0,3,1,14,14,1574,0,3,195311186,166398279,5906169,9803221,9803221,1,3,1,0,509767524,73389,73389,14,14,14,9803225,10,3,81114,78737,263439,1683,195311186,77072,4130377,2507
173196.36,0,253952,62,13622,896520116,1,3628665,83,3,3,7603,115,0,558,108177,0,14,5301,12,97930737,1118,1,0,4,994,16806539,7,67226156,11,17,8,609,558,0,0,6878318,138221,311049295,0,558,493,0,3,1,14,14,1574,0,3,311182856,285146444,10638731,17062604,17062604,1,3,1,0,887255440,73389,73389,14,14,14,17062608,10,3,84215,110824,296117,2580,311182856,108177,6582446,2507
175202.22,0,253952,62,21126,1390510338,1,5122191,133,4,4,7603,197,1,558,168725,0,14,8293,13,98582301,1118,1,0,4,994,26192546,7,104770184,12,18,8,624,558,0,0,10909431,193836,475113763,0,558,493,0,3,1,14,14,1574,0,3,474835916,440349911,16208037,26566595,26582979,1,3,1,0,1381462972,73389,73389,14,14,14,26566599,10,3,94017,172990,389667,4009,474835916,168725,10520162,2507
177211.46,0,253952,62,26785,1763272924,2,7783265,150,4,4,7603,203,1,567,197717,0,14,10484,13,101650177,1136,1,0,4,994,33229986,7,132919944,12,18,8,624,567,0,0,13273858,193879,587428609,0,567,500,0,3,1,14,14,1574,0,3,586931413,558137414,21231968,33721641,33721641,1,3,1,0,1753525364,73389,73389,14,14,14,33721645,10,3,97566,202878,422429,4880,586931413,197717,12851912,2538
179219.30,1,253952,62,34602,2279308296,2,9183134,210,5,5,7603,285,3,567,261699,0,14,13602,13,104147839,1136,1,0,4,994,43010351,7,172041404,12,19,8,624,567,0,0,17578673,317146,752691513,0,567,500,0,3,1,14,14,1574,0,3,753031736,720373726,27057291,43640821,43657205,1,3,1,0,2269322724,73389,73389,14,14,14,43640825,10,3,105682,268591,515288,6319,753031736,261699,17064034,2538
181226.66,1,253952,62,42429,2794756230,2,10711945,275,5,5,7603,314,3,567,323983,0,14,16669,13,105390637,1136,1,0,4,994,52798563,7,211194252,12,19,8,624,567,0,0,21943442,433601,913154187,0,567,500,0,3,1,14,14,1574,0,3,912598501,882716899,33067960,53568637,53568637,1,3,1,0,2785569156,73389,73389,14,14,14,53568641,10,3,113322,332488,615522,7603,912598501,323983,21328740,2538
183231.74,1,253952,62,50029,3293807176,2,12058935,331,5,5,7603,390,3,567,384328,0,14,19667,13,106054267,1136,1,0,4,994,62257556,7,249030224,12,19,8,624,567,0,0,26127214,514768,1068620389,0,567,500,0,3,1,14,14,1574,0,3,1067779683,1039868335,38668497,63163184,63163184,1,3,1,0,3284485600,73389,73389,14,14,14,63163188,10,3,124560,394477,715291,8944,1067779683,384328,25412905,2538
185239.47,1,253952,62,55408,3648569596,3,14883836,350,5,5,7603,398,3,567,413867,0,14,21752,13,107984827,1136,1,0,4,994,68946056,7,275719528,12,19,8,624,567,0,0,28339496,514999,1186721579,0,567,500,0,3,1,14,14,1574,0,3,1185928604,1151651340,43705426,69980199,69980199,1,3,1,0,3638970380,73389,73389,14,14,14,69980203,10,3,128144,424920,750158,9869,1185928604,413867,27590402,2538
187246.61,1,253952,62,61508,4051114376,3,16062024,376,5,5,7603,460,4,576,451949,0,14,24192,13,111573728,1154,1,0,4,994,76591780,7,306302536,12,19,8,624,576,0,0,31167926,521491,1311560829,0,576,513,0,3,1,14,14,1574,0,3,1310659816,1278387691,47717179,77718592,77718592,1,3,1,0,4041366816,73389,73389,14,14,14,77718596,10,3,130673,464169,806952,10951,1310659816,451949,30362155,2563
