timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
466881.64,1,253952,62,6852,450645384,1,2522456,64,4,4,5157,103,0,558,70999,0,3,2669,16,95433075,1118,1,0,4,4765,8372284,8,33424440,15,18,11,388,558,0,0,4098394,297421,174855118,0,558,2024,0,3,1,14,14,5402,3,175229983,144589734,6912932,8492501,8492501,1,3,1,441610084,73389,73389,14,14,14,8492505,9,1,3,47492,72463,190510,1516,175229983,70999,3907025,2092
468894.32,1,253952,62,13864,912681478,1,4115590,114,4,4,5157,129,0,558,127512,0,3,5410,16,96989589,1118,1,0,4,4765,17127090,8,68379196,15,18,11,388,558,0,0,8287321,587521,318010398,0,558,2024,0,3,1,14,14,5402,3,317715448,290262774,12970989,17371741,17371741,1,3,1,903330564,73389,73389,14,14,14,17371745,9,1,3,52534,130461,259875,2654,317715448,127512,8027739,2092
470899.91,2,253952,62,19049,1254078350,2,6750738,129,4,4,5157,189,0,558,159676,0,3,7479,16,98268585,1118,1,0,4,4765,23594201,8,94376804,15,18,11,388,558,0,0,10592773,600509,432917859,0,558,2024,0,3,1,14,14,5402,3,432532593,397787970,17924167,23930930,23930930,1,3,1,1244408392,73389,73389,14,14,14,23930934,9,1,3,52810,163594,287658,3660,432532593,159676,10305500,2092
472916.15,2,253952,62,25632,1687999500,3,8840430,149,6,6,5157,211,0,558,211947,0,3,10052,17,99825099,1118,1,0,4,4765,31814705,8,127258820,16,20,11,397,558,0,0,14214646,702676,562944157,0,558,2024,0,3,1,14,14,5402,3,562692975,534140637,23733493,32285882,32285882,1,3,1,1678865896,73389,73389,14,14,14,32285886,9,1,3,58109,217161,354830,4699,562692975,211947,13860330,2092
474921.86,2,253952,62,32258,2124147464,3,10914646,181,6,6,5157,251,0,567,269641,0,3,12653,17,102591325,1136,1,0,4,4765,40063984,8,160255936,16,20,11,397,567,0,0,17843389,807241,701397283,0,567,2036,0,3,1,14,14,5402,3,701275680,671601191,29531399,40669728,40669728,1,3,1,2114825888,73389,73389,14,14,14,40669732,9,1,3,62438,276169,437332,5852,701275680,269641,17406707,2128
476930.81,2,253952,62,37415,2463407678,4,13659116,202,6,6,5157,291,0,567,302872,0,3,14684,17,103858255,1136,1,0,4,4765,46484139,8,185936556,16,20,11,397,567,0,0,20123061,812774,815543990,0,567,2036,0,3,1,14,14,5402,3,814937855,778492898,34559504,47181924,47198308,1,3,1,2453460080,73389,73389,14,14,14,47181928,9,1,3,64774,310282,482223,6793,814937855,302872,19641582,2128
478940.09,4,253952,62,42481,2797235020,4,15414144,226,6,6,5157,314,0,567,331972,0,3,16675,17,105076921,1136,1,0,4,4765,52819136,8,211276544,16,20,11,397,567,0,0,22383475,834051,918035324,0,567,2036,0,3,1,14,14,5402,3,917201376,883632824,38593543,53607882,53607882,1,3,1,2787609896,73389,73389,14,14,14,53607886,9,1,3,70231,340170,514157,7638,917201376,331972,21870171,2128
480956.66,7,253952,62,48678,3205581756,4,16635046,275,7,7,5157,369,2,567,385728,0,3,19126,17,106669633,1136,1,0,4,4765,60542193,8,242168772,16,21,11,397,567,0,0,25851734,1299171,1038912585,0,567,2036,0,3,1,14,14,5402,3,1039124697,1012244486,43728595,61457089,61457089,1,3,1,3195768660,73389,73389,14,14,14,61457093,9,1,3,75942,395153,592824,8673,1039124697,385728,25259903,2128
482965.10,7,253952,62,54732,3604532712,4,18601626,336,7,7,5157,391,3,567,440613,0,3,21506,17,108238213,1136,1,0,4,4765,68151072,8,272604288,16,21,11,397,567,0,0,29337389,1700314,1167918088,0,567,2036,0,3,1,14,14,5402,3,1167187742,1137408464,49569830,69142456,69142456,1,3,1,3595407744,73389,73389,14,14,14,69142460,9,1,3,79642,451290,668215,9704,1167187742,440613,28670295,2128
484970.50,7,253952,62,59730,3934253520,5,21300283,358,7,7,5157,445,3,567,470069,0,3,23492,17,110096377,1136,1,0,4,4765,74404127,8,297551760,16,21,11,397,567,0,0,31540035,1706696,1273589639,0,567,2036,0,3,1,14,14,5402,3,1272394812,1241324350,54476545,75484335,75484335,1,3,1,3925185452,73389,73389,14,14,14,75484339,9,1,3,80960,481554,699206,10620,1272394812,470069,30842050,2128
