timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
309896.03,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
311900.65,0,0,20765,1366960436,0,0,0,0,1,1,4362,117,0,630,126293,65,1939,16,0,130104650,1262,1,0,15,15,0,14,67,630,0,0,0,1982541,5638,449835166,0,630,433,2,1,14,14,1173,0,1,450527428,403050133,1989030,30752263,30752263,1,2,1,0,1352378676,73389,73389,14,14,14,30735879,10,3,395047,128453,838602,3455,450527428,126293,1144028,2069
313907.35,253952,62,40743,2683417914,4,4114059,0,29,15,15,4362,120,0,675,274119,65,7245,30,21,140299886,1352,1,0,29,29,277,14,138,675,0,0,0,6540857,580578,834612660,0,675,472,2,1,14,14,1173,0,1,839252784,788312599,21339688,60627538,60643922,1,2,1,0,2667611672,73389,73389,14,14,14,60627538,10,3,508210,279124,1256984,6422,839252784,274119,5284093,2207
315918.66,253952,62,59012,3887331398,11,13568253,0,102,15,15,4362,123,0,675,415734,65,12394,30,21,140830790,1352,1,0,29,29,277,14,138,675,0,0,0,11573783,905211,1190492942,0,675,472,2,1,14,14,1173,0,1,1191050032,1140208579,39653398,87992187,87992187,1,2,1,0,3871656228,73389,73389,14,14,14,87992187,10,3,516820,423602,1454954,9106,1191050032,415734,10119205,2207
317924.81,253952,62,77477,5104089938,12,16991428,0,172,16,16,4362,126,0,675,558721,65,17594,30,21,141361694,1352,1,0,29,30,277,14,138,675,0,0,0,16310078,1194875,1542957528,0,675,472,2,1,14,14,1173,0,1,1546386224,1495944255,48771851,115635364,115651748,1,2,1,0,5087956016,73389,73389,14,14,14,115635364,10,3,531955,569474,1648009,11817,1546386224,558721,14662583,2207
319931.06,253952,62,95315,6279491954,12,19578430,0,240,16,16,4362,129,0,675,680883,65,22623,30,21,141892598,1352,1,0,29,30,277,14,138,675,0,0,0,20840789,1498091,1886908904,0,675,472,2,1,14,14,1173,0,1,1889401648,1839483985,56614452,142363196,142363196,1,2,1,0,6263259728,73389,73389,14,14,14,142346812,10,3,541338,694295,1814988,14434,1889401648,680883,19026463,2207
321936.54,253952,62,107294,7068794930,14,23259096,0,256,17,17,4362,131,0,675,731837,65,26001,30,21,142158050,1352,1,0,29,31,277,14,138,675,0,0,0,23181687,1500671,2120048811,0,675,472,2,1,14,14,1173,0,1,2120219440,2070298059,62650880,160293708,160293708,1,2,1,0,7052923152,73389,73389,14,14,14,160293708,10,3,545081,746681,1879964,16195,2120219440,731837,21302475,2207
323944.46,253952,62,126397,8327365438,15,25923255,0,316,20,20,4362,134,0,675,867993,65,31392,30,21,142423502,1352,1,0,29,34,277,14,138,675,0,0,0,27674983,1810127,2487584918,0,675,472,2,1,14,14,1173,0,1,2488007472,2438124840,70835725,188903541,188903541,1,2,1,0,8311034908,73389,73389,14,14,14,188887157,10,3,558629,885668,2084084,19001,2488007472,867993,25591793,2207
325950.53,253952,62,146477,9650495522,15,29960516,0,384,20,20,4362,138,0,675,1012967,65,37057,30,21,142942340,1352,1,0,29,34,277,14,138,675,0,0,0,32579669,1922434,2871763213,0,675,472,2,1,14,14,1173,0,1,2874538800,2824954465,80655263,218975424,218975424,1,2,1,0,9634918656,73389,73389,14,14,14,218975424,10,3,566182,1033660,2281783,21950,2874538800,1012967,30298915,2207
327957.42,253952,62,167695,11048412106,17,33688396,0,434,21,21,4362,141,0,675,1140450,65,43022,30,21,144004148,1352,1,0,29,35,277,14,138,675,0,0,0,37688041,1957097,3279943716,0,675,472,2,1,14,14,1173,0,1,3282013136,3233456432,91157499,250736574,250752958,1,2,1,0,11032409256,73389,73389,14,14,14,250736574,10,3,583379,1164142,2476268,25062,3282013136,1140450,35212975,2207
