timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
65121.35,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
67126.04,45056,11,22526,1482912302,0,0,0,30,30,5032,117,675,127245,2,15,2131,40,47,139503530,1352,1,0,39,44,86,9,166,675,0,0,0,2008070,51,483653924,0,673,309,2,2,1,14,14,356,1,488407236,437163662,2015585,33336617,33369385,1,2,1,1466811148,73389,73389,14,14,14,33336617,8,3,428335,129342,782476,3744,488407236,127245,1225691,1724
69131.36,253952,62,43283,2850941162,2,3846518,7,30,30,5032,121,675,236259,2,15,7994,40,47,140565338,1352,1,0,39,44,86,9,166,675,0,0,0,6613447,209,885274138,0,673,309,2,2,1,14,14,356,1,888011568,837228248,18048999,64428182,64444566,1,2,1,2834840008,73389,73389,14,14,14,64428182,8,3,489118,240902,1034777,6794,888011568,236259,5578950,1724
71136.90,253952,62,64369,4240265914,2,4225002,20,30,30,5032,124,675,344702,2,15,13910,40,47,141096242,1352,1,0,39,44,86,9,166,675,0,0,0,11085906,480,1290597729,0,673,309,2,2,1,14,14,356,1,1293941552,1243375534,31486153,96005234,96021618,1,2,1,4224230296,73389,73389,14,14,14,96005234,8,3,504279,351871,1177696,9891,1293941552,344702,9908679,1724
73141.54,253952,62,85871,5657119094,4,6750823,20,30,30,5032,128,675,442628,2,15,19994,40,47,141627146,1352,1,0,39,44,86,9,166,675,0,0,0,15415177,585,1705876577,0,673,309,2,2,1,14,14,356,1,1707735856,1657526521,40716764,128219103,128219103,1,2,1,5641640532,73389,73389,14,14,14,128219103,8,3,512212,452076,1291998,13048,1707735856,442628,14123822,1724
75146.73,253952,62,107427,7077511218,4,6750823,22,30,30,5032,131,675,545719,2,15,26038,40,47,142158050,1352,1,0,39,44,86,9,166,675,0,0,0,19750786,764,2119582696,0,673,309,2,2,1,14,14,356,1,2122971952,2072895834,57148063,160490316,160490316,1,2,1,7061573904,73389,73389,14,14,14,160490316,8,3,525421,557522,1454326,16216,2122971952,545719,18297283,1724
77151.15,253952,62,128273,8451107330,6,8750945,22,30,30,5032,135,675,650921,2,15,31943,40,47,142688954,1352,1,0,39,44,86,9,166,675,0,0,0,24237689,4422,2523849919,0,673,309,2,2,1,14,14,356,1,2524183344,2474328874,70801977,191715112,191715112,1,2,1,8435464928,73389,73389,14,14,14,191715112,8,3,535254,665146,1599565,19277,2524183344,650921,22639123,1724
79156.81,253952,62,150160,9893191870,7,9751076,23,30,30,5032,138,675,748039,2,15,38078,40,47,143207792,1352,1,0,39,44,86,9,166,675,0,0,0,28467382,4562,2943321474,0,673,309,2,2,1,14,14,356,1,2945317680,2895851288,102584008,224494229,224494229,1,2,1,9877025180,73389,73389,14,14,14,224477845,8,3,547787,764556,1745740,22490,2945317680,748039,26722811,1724
81162.18,253952,62,170776,11251390330,7,9751076,23,30,30,5032,142,675,852919,2,15,43916,40,47,144004148,1352,1,0,39,44,86,9,166,675,0,0,0,32941890,8377,3336944812,0,673,309,2,2,1,14,14,356,1,3341388752,3292751914,112063955,255364610,255364610,1,2,1,11235321944,73389,73389,14,14,14,255348226,8,3,559288,871946,1903478,25515,3341388752,852919,31039762,1724
83167.43,253952,62,191786,12635734346,7,9751076,23,30,30,5032,145,675,953341,2,15,49814,40,47,144535052,1352,1,0,39,44,86,9,166,675,0,0,0,37478897,8503,3743708743,0,673,309,2,2,1,14,14,356,1,3746008016,3697452326,122865961,286818782,286835166,1,2,1,12620026408,73389,73389,14,14,14,286818782,8,3,572784,974916,2038806,28602,3746008016,953341,35441625,1724
