timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
397853.15,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
399858.50,0,0,20027,1318329416,0,0,0,0,1,1,4693,117,603,127899,2,24,1870,8,21,124525652,1208,1,0,7,15,6,695,603,0,0,0,1972846,12729,432533664,0,601,380,2,2,1,14,14,1355,1,434143428,388764754,1985933,29648502,29664886,1,2,1,1304534088,73389,73389,14,14,14,29648502,9,3,380114,130039,791409,3330,434143428,127899,1181524,1671
401867.57,253952,62,36552,2407163826,0,1689264,0,35,31,31,4693,120,675,232166,2,24,6113,38,36,140299886,1352,1,0,37,45,6,903,675,0,0,0,5777705,376646,749970388,0,673,404,2,2,1,14,14,1355,1,758512432,707544661,22157303,54349036,54349036,1,2,1,2391357584,73389,73389,14,14,14,54349036,9,3,496656,236660,1127077,5806,758512432,232166,4650865,1865
403874.95,253952,62,53600,3530792402,20,24492631,0,39,31,31,4693,122,675,349689,2,24,10862,38,36,140830790,1352,1,0,37,45,6,903,675,0,0,0,10505533,1555572,1081377349,0,673,404,2,2,1,14,14,1355,1,1086716720,1035971417,78213376,79889028,79889028,1,2,1,3515117232,73389,73389,14,14,14,79889028,9,3,525132,356770,1359021,8310,1086716720,349689,9146938,1865
405885.00,253952,62,70847,4667197190,20,24538279,0,42,34,34,4693,125,675,478530,2,24,15729,38,36,141361694,1352,1,0,37,48,6,903,675,0,0,0,14912827,2395893,1412499487,0,673,404,2,2,1,14,14,1355,1,1418591024,1368205988,96988915,105701515,105717899,1,2,1,4650866660,73389,73389,14,14,14,105701515,9,3,549265,488151,1578349,10842,1418591024,478530,13335067,1865
407892.11,253952,62,87498,5764277070,20,25954462,0,65,34,34,4693,128,675,615043,2,24,20440,38,36,141627146,1352,1,0,37,48,6,903,675,0,0,0,19672731,3643921,1733245265,0,673,404,2,2,1,14,14,1355,1,1739193136,1688852166,115120735,130639617,130656001,1,2,1,5748143148,73389,73389,14,14,14,130639617,9,3,574585,627137,1816799,13288,1739193136,615043,17856666,1865
409903.22,253952,62,103642,6828130198,23,29546748,0,68,34,34,4693,131,675,740246,2,24,25004,38,36,142158050,1352,1,0,37,48,6,903,675,0,0,0,24289283,4828723,2047051222,0,673,404,2,2,1,14,14,1355,1,2050095920,1999942492,145267161,154824055,154824055,1,2,1,6812258420,73389,73389,14,14,14,154824055,9,3,599180,756746,2064241,15660,2050095920,740246,22225931,1865
411912.37,253952,62,119408,7866945266,23,29546748,0,68,34,34,4693,133,675,854872,2,24,29416,38,36,142423502,1352,1,0,37,48,6,903,675,0,0,0,28747514,5295640,2348701897,0,673,404,2,2,1,14,14,1355,1,2353527600,2303580618,158350427,178437212,178437212,1,2,1,7850516432,73389,73389,14,14,14,178420828,9,3,607164,873926,2216340,17975,2353527600,854872,26532244,1865
413920.28,253952,62,135571,8932043578,23,29546748,0,68,34,34,4693,136,675,976017,2,24,33990,38,36,142942340,1352,1,0,37,48,6,903,675,0,0,0,33382542,6324773,2660007607,0,673,404,2,2,1,14,14,1355,1,2664692528,2614906650,177132900,202646226,202646226,1,2,1,8915713048,73389,73389,14,14,14,202629842,9,3,642250,997483,2482940,20349,2664692528,976017,30900823,1865
415928.77,253952,62,151587,9987242646,23,29655196,0,71,34,34,4693,138,675,1092254,2,24,38470,38,36,143207792,1352,1,0,37,48,6,903,675,0,0,0,37772675,7039122,2969667313,0,673,404,2,2,1,14,14,1355,1,2972875290,2923345381,192269681,226619831,226636215,1,2,1,9971272564,73389,73389,14,14,14,226619831,9,3,657151,1116182,2680954,22701,2972875290,1092254,35093112,1865
417939.31,253952,62,166987,11001747166,23,29655196,0,71,34,34,4693,141,675,1205956,2,24,42832,38,36,144004148,1352,1,0,37,48,6,903,675,0,0,0,42471795,8153367,3264668677,0,673,404,2,2,1,14,14,1355,1,3268643792,3219767785,208251887,249681965,249698349,1,2,1,10986006460,73389,73389,14,14,14,249681965,9,3,677245,1232277,2899317,24960,3268643792,1205956,39573020,1865
419946.50,253952,62,182757,12040824378,23,29655196,0,71,34,34,4693,144,675,1325898,2,24,47302,38,36,144269600,1352,1,0,37,48,6,903,675,0,0,0,47065183,9153249,3568652391,0,673,404,2,2,1,14,14,1355,1,3572075472,3523623884,221226401,273286930,273303314,1,2,1,12024624920,73389,73389,14,14,14,273286930,9,3,689728,1354680,3105664,27275,3572075472,1325898,43961235,1865
421953.62,253952,62,199083,13116339606,23,29655196,0,71,34,34,4693,146,675,1450510,2,24,51857,38,36,144535052,1352,1,0,37,48,6,903,675,0,0,0,51824861,9841102,3882850877,0,673,404,2,2,1,14,14,1355,1,3885992912,3837957069,234654220,297735671,297752055,1,2,1,13100369524,73389,73389,14,14,14,297735671,9,3,706790,1481936,3328695,29670,3885992912,1450510,48498031,1865
423965.14,253952,62,215602,14205034186,23,29869816,0,74,37,37,4693,149,675,1580394,2,24,56534,38,36,145065956,1352,1,0,37,51,6,903,675,0,0,0,56633666,10777012,4199396646,0,673,404,2,2,1,14,14,1355,1,4204235728,4156185665,257818038,322483198,322499582,1,2,1,14189260712,73389,73389,14,14,14,322483198,9,3,744318,1614285,3579766,32098,4204235728,1580394,53055907,1865
