timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
431878.09,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
433885.54,0,253952,62,6790,446630416,0,453603,42,3,3,10459,98,0,558,53290,0,11,2634,18,22,95481339,1118,1,0,4,482,8243474,7,32973896,17,17,14,81,558,0,0,3496856,41118,169102086,0,558,265,0,3,1,14,14,962,3,169357069,143508093,3988782,8394197,8410581,1,3,1,436498276,73389,73389,14,14,14,8394201,5,1,3,81765,54518,180175,1458,169357069,53290,3316817,1197
435895.11,1,253952,62,15034,990058426,0,1697621,134,3,3,10459,132,0,558,122697,0,11,5873,18,22,97375701,1118,1,0,4,482,18607812,7,74366464,17,17,14,81,558,0,0,8212578,90628,343154164,0,558,265,0,3,1,14,14,962,3,343367133,314248282,9984670,18874751,18874751,1,3,1,981487084,73389,73389,14,14,14,18874755,5,1,3,84735,125623,275730,2855,343367133,122697,7937160,1197
437902.97,1,253952,62,23497,1547488906,0,2941913,221,3,3,10459,217,0,558,202782,0,11,9233,18,22,98606433,1118,1,0,4,482,29152804,7,116546696,17,17,14,81,558,0,0,12974038,160553,524747646,0,558,265,0,3,1,14,14,962,3,524520922,490221546,16038679,29570456,29586840,1,3,1,1537663744,73389,73389,14,14,14,29570460,5,1,3,109784,207484,417441,4416,524520922,202782,12557087,1197
439909.04,2,253952,62,32233,2122798648,0,4208625,309,3,3,10459,251,0,558,274047,0,11,12649,18,22,99511383,1118,1,0,4,482,40068563,7,160274252,17,17,14,81,558,0,0,17695914,202718,700293251,0,558,265,0,3,1,14,14,962,3,700407441,670982838,22059512,40651185,40651185,1,3,1,2113861652,73389,73389,14,14,14,40651189,5,1,3,117070,280435,510331,5832,700407441,274047,17186261,1197
441914.93,2,253952,62,38167,2513294050,1,6809634,333,3,3,10459,315,0,567,305694,0,11,15003,18,22,102301741,1136,1,0,4,482,47447989,7,189727396,17,17,14,81,567,0,0,20116201,202759,823043555,0,567,268,0,3,1,14,14,962,3,822409390,793983774,27080010,48144262,48160646,1,3,1,2503501656,73389,73389,14,14,14,48144266,5,1,3,124419,312918,567391,6895,822409390,305694,19549582,1223
443920.68,2,253952,62,45974,3028022498,1,7778471,389,4,4,10459,339,0,567,368978,0,11,18055,19,22,104449489,1136,1,0,4,482,57199306,7,228797224,18,18,14,93,567,0,0,24046827,238916,992579015,0,567,268,0,3,1,14,14,962,3,991660344,956422951,32008710,58034992,58034992,1,3,1,3017819616,73389,73389,14,14,14,58034996,5,1,3,130991,377652,660378,8245,991660344,368978,23387387,1223
445931.59,4,253952,62,52196,3437090618,2,10394391,407,5,5,10459,405,0,567,407601,0,11,20522,19,22,105125185,1136,1,0,4,482,64944386,7,259712928,18,19,14,93,567,0,0,26790617,250900,1118686615,0,567,268,0,3,1,14,14,962,3,1118584106,1085061523,37357370,65907060,65907060,1,3,1,3427167152,73389,73389,14,14,14,65907064,5,1,3,139403,417273,712277,9350,1118584106,407601,26079378,1223
447938.34,4,253952,62,60382,3975764326,2,11688118,486,5,5,10459,436,0,567,473390,0,11,23713,19,22,106066333,1136,1,0,4,482,75155027,7,300555484,18,19,14,93,567,0,0,31459252,373272,1291369574,0,567,268,0,3,1,14,14,962,3,1290177961,1255147807,43438488,76246635,76246635,1,3,1,3964825052,73389,73389,14,14,14,76246639,5,1,3,143522,484669,807535,10725,1290177961,473390,30652932,1223
449945.14,4,253952,62,68916,4538825208,2,12782143,553,5,5,10459,478,0,567,545448,0,11,27074,19,22,108250279,1136,1,0,4,482,85840745,7,343362980,18,19,14,93,567,0,0,36066420,470281,1471715651,0,567,268,0,3,1,14,14,962,3,1470611687,1432180460,49195356,87083319,87083319,1,3,1,4528332620,73389,73389,14,14,14,87083323,5,1,3,148945,558362,903216,12198,1470611687,545448,35164599,1223
