event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,139171,153573,14402,Total time spent analyzing index of patch parts
ArenaAllocBytes,146800640,167772160,20971520,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,35840,40960,5120,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,156,156,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,22911,23312,401,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,125,128,3,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,33705,33705,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,245465977,280623656,35157679,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,16171567503059,18487771522123,2316204019064,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,24168,29656,5488,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,30657355396,33965864875,3308509479,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,1183951,1277437,93486,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,24168,29656,5488,Total number of CPU slots acquired
ConcurrencyControlUpscales,24168,29656,5488,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,32097374926,34655716172,2558341246,Total time a query was waiting on resource requests for CPU slots.
ContextLock,971306,1115974,144668,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,18723,20604,1881,Context lock wait time in microseconds
CreatedReadBufferOrdinary,634169,713378,79209,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
