event,value,description
RecomputeWeight,2256,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,17763065,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,1280,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,645,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,645,"Same as Query, but only for SELECT queries."
InitialQuery,645,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1609,Count queries with all subqueries
SelectQueriesWithSubqueries,1609,Count SELECT queries with all subqueries
QueryTimeMicroseconds,35757443875,Total time of all queries.
SelectQueryTimeMicroseconds,35757443875,Total time of SELECT queries.
FileOpen,3208,Number of files opened.
Seek,49432,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,534807,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,5760129838320,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,5642861121059,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,280623656,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,18487771522123,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,710267,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,3091,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,991074,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1429096,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,142270164266,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,40960,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,167772160,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,95125564,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,712792,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,8060,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,8580,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,713378,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,3494298654,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,500780801,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,30118228,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,558665,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,269741154,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1436,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,2177557,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,239064,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,29514,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,6843999,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
