event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,1506,4524,3018,Total time spent analyzing index of patch parts
ArenaAllocBytes,9695232,14012416,4317184,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,2249,3303,1054,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,175,175,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,64,64,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,14,14,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,64,64,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsynchronousReaderIgnoredBytes,352273960,380803647,28529687,Number of bytes ignored during asynchronous reading
CommonBackgroundExecutorTaskExecuteStepMicroseconds,7931,8558,627,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,73,74,1,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,43442,43442,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,15788343,23188490,7400147,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,1040104740489,1527615270195,487510529706,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,1595,1595,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,1150107729,1150107729,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,29150,29150,0,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,29798,29798,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,1595,1595,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,1595,1595,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,1166643976,1166643976,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,66179,94123,27944,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,302,925,623,Context lock wait time in microseconds
CreatedReadBufferDirectIO,41104,54181,13077,Number of times a read buffer with O_DIRECT was created for reading data (while choosing among other read methods).
CreatedReadBufferOrdinary,324,324,0,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,646940606,1019612292,372671686,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,9,9,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,6,6,0,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,6,6,0,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,519562,519562,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1340,1586,246,Number of files opened.
FilterTransformPassedBytes,1258657,1258657,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,20582,20582,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,1338,2713,1375,Time spent filtering parts by PK.
FunctionExecute,5328109,7805577,2477468,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,953,1435,482,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
