at_ms,qid
49,q0004
125,q0004
134,q0003
363,q0003
906,q0004
917,q0004
1670,q0003
1955,q0003
2127,q0004
2553,q0004
2707,q0004
3617,q0004
4349,q0004
4559,q0004
5368,q0004
5484,q0004
5953,q0004
6327,q0004
7156,q0004
7345,q0004
7599,q0004
7741,q0003
7839,q0003
8333,q0004
8692,q0004
9269,q0004
9759,q0003
9778,q0004
10327,q0004
10769,q0003
11431,q0004
11764,q0004
12316,q0004
12551,q0004
12567,q0004
13269,q0004
13369,q0004
14227,q0004
15451,q0004
15547,q0003
15982,q0003
15988,q0004
16081,q0004
16287,q0004
16535,q0004
16573,q0004
16878,q0004
17010,q0003
17304,q0004
17508,q0004
17613,q0004
17659,q0004
18025,q0003
18154,q0004
18161,q0004
18378,q0004
18508,q0004
18728,q0003
18733,q0003
18887,q0004
19530,q0004
20166,q0003
20395,q0003
20730,q0004
21239,q0004
22671,q0003
22852,q0003
23640,q0004
23799,q0003
25286,q0003
25303,q0004
25800,q0004
25933,q0004
26264,q0004
26362,q0004
28773,q0004
29067,q0004
29763,q0004
29786,q0004
29858,q0004
29966,q0004
