at_ms,qid
134,q0001
363,q0001
374,q0002
1203,q0002
1392,q0002
1646,q0002
1670,q0001
1955,q0001
2380,q0002
2739,q0002
3316,q0002
3825,q0002
4374,q0002
5478,q0002
5811,q0002
6363,q0002
6598,q0002
6614,q0002
7316,q0002
7416,q0002
7741,q0001
7839,q0001
8274,q0002
9498,q0002
9759,q0001
10035,q0002
10128,q0002
10334,q0002
10582,q0002
10620,q0002
10769,q0001
10925,q0002
11351,q0002
11555,q0002
11660,q0002
11706,q0002
12201,q0002
12208,q0002
12424,q0002
12555,q0002
12934,q0002
13577,q0002
14777,q0002
15286,q0002
15547,q0001
15982,q0001
17010,q0001
17687,q0002
18025,q0001
18728,q0001
18733,q0001
19350,q0002
19847,q0002
19980,q0002
20166,q0001
20311,q0002
20395,q0001
20408,q0002
22671,q0001
22820,q0002
22852,q0001
23114,q0002
23799,q0001
23810,q0002
23833,q0002
23905,q0002
24013,q0002
24161,q0002
24378,q0002
24536,q0002
24821,q0002
25094,q0002
25151,q0002
25184,q0002
25286,q0001
25403,q0002
25450,q0002
25733,q0002
25738,q0002
26121,q0002
26160,q0002
26752,q0002
27011,q0002
29123,q0002
29275,q0002
29595,q0002
30289,q0002
30493,q0002
30707,q0002
31181,q0001
31217,q0002
31425,q0001
31808,q0001
32965,q0002
34042,q0002
34313,q0002
34946,q0002
35514,q0002
35711,q0001
35747,q0002
35764,q0001
35880,q0002
35921,q0002
36977,q0002
37006,q0002
37372,q0002
37758,q0002
37836,q0002
38370,q0002
39607,q0002
40356,q0002
40602,q0002
40670,q0002
41816,q0001
42513,q0002
42877,q0002
43373,q0002
43946,q0001
44184,q0002
44428,q0002
44460,q0002
44533,q0002
44717,q0001
45085,q0002
45300,q0002
46324,q0002
46998,q0002
48965,q0002
49265,q0001
49518,q0002
49699,q0002
50482,q0002
50496,q0002
50865,q0002
51890,q0002
52252,q0002
52326,q0002
52673,q0002
52926,q0001
53067,q0002
53297,q0002
53978,q0001
54417,q0002
54624,q0002
54783,q0002
55136,q0002
55249,q0002
55444,q0002
55698,q0002
57090,q0002
57132,q0002
57242,q0002
57353,q0002
58020,q0001
58600,q0001
