at_ms,qid
538,np_default_58
15189,p_default_140
16329,np_default_58
21095,p_default_140
25262,np_default_58
27002,p_default_140
35234,np_default_58
37022,p_default_140
51876,p_default_140
52601,p_default_140
65770,np_default_58
89351,np_default_58
100351,np_default_58
115961,np_default_58
119411,p_default_140
127930,p_default_140
134266,np_default_58
148910,p_default_140
156285,p_default_140
158602,p_default_140
158729,p_default_140
170275,p_default_140
177628,p_default_140
