event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,185810,202533,16723,Total time spent analyzing index of patch parts
ArenaAllocBytes,297123840,594247680,297123840,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,72540,145080,72540,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,147,147,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,11179,13285,2106,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,95,100,5,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,141180,141180,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,51498810,103083605,51584795,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3376424472612,6758498617438,3382074144826,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,41512,41512,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,14728680057,14728680057,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,127431,127431,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,41512,41512,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,41512,41512,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,4505770132,4505770132,Total time a query was waiting on resource requests for CPU slots.
ContextLock,357334,721521,364187,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,235712,240578,4866,Context lock wait time in microseconds
CreatedReadBufferOrdinary,753708,1580097,826389,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1342509440,1723869109,381359669,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,11,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,1974612,1974612,Number of dequeues invoked at all FairPolicyNodes
FileOpen,4864,8961,4097,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,16855,28985,12130,Time spent filtering parts by PK.
FunctionExecute,17468660,34937320,17468660,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,3008,3008,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,158452472,173321284,14868812,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,89567,145808,56241,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,8144386,8685789,541403,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,1371,1371,0,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,17859735,17859735,0,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,75,131,56,Number of created server HTTP connections
HTTPServerConnectionsExpired,58,101,43,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,1170,2340,1170,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,2,3,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,1114,2242,1128,Number of reused server HTTP connections
IOBufferAllocBytes,143593182829,299043880020,155450697191,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,1519052,3183559,1664507,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1173,2344,1171,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,1190275,2444968,1254693,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,1338691,2667211,1328520,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,2272,4544,2272,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,3988595,4551665,563070,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,33593001912,67186003824,33593001912,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,4875,8437,3562,Total time spent executing JOIN reordering algorithm.
